Batch,scan003
Instrument ID,084303
Data Mode,%T
Sample,Sample001
Cycle,Cycle01
Date Collected,19/06/2025
Time Collected,03:50:25
Entries,Data Points
nm,%T
390.0,XXX.XXX
391.0,XXX.XXX
392.0,XXX.XXX
393.0,XXX.XXX
394.0,98.119
395.0,96.999
396.0,96.075
397.0,95.335
398.0,96.572
399.0,97.934
400.0,98.030
401.0,98.261
402.0,99.989
403.0,102.758
404.0,101.727
405.0,97.140
406.0,95.348
407.0,95.456
408.0,95.723
409.0,99.411
410.0,102.524
411.0,99.691
412.0,96.247
413.0,96.498
414.0,97.516
415.0,98.042
416.0,99.441
417.0,101.543
418.0,102.054
419.0,99.256
420.0,94.965
421.0,94.008
422.0,97.175
423.0,98.988
424.0,97.658
425.0,95.946
426.0,95.962
427.0,98.804
428.0,101.047
429.0,99.328
430.0,96.481
431.0,96.595
432.0,99.665
433.0,101.447
434.0,99.866
435.0,97.933
436.0,98.284
437.0,99.659
438.0,100.449
439.0,101.311
440.0,101.699
441.0,100.189
442.0,97.948
443.0,97.457
444.0,98.269
445.0,98.274
446.0,98.324
447.0,99.059
448.0,99.503
449.0,100.293
450.0,100.862
451.0,100.101
452.0,99.359
453.0,99.022
454.0,98.823
455.0,99.296
456.0,98.725
457.0,96.437
458.0,96.158
459.0,98.677
460.0,100.567
461.0,100.971
462.0,100.877
463.0,99.786
464.0,98.131
465.0,98.521
466.0,100.341
467.0,100.528
468.0,99.554
469.0,99.446
470.0,100.118
471.0,99.816
472.0,98.416
473.0,98.028
474.0,98.895
475.0,99.486
476.0,99.676
477.0,99.697
478.0,99.306
479.0,99.075
480.0,99.118
481.0,98.990
482.0,99.238
483.0,99.632
484.0,99.145
485.0,99.216
486.0,99.830
487.0,98.134
488.0,96.658
489.0,98.290
490.0,99.096
491.0,98.265
492.0,99.052
493.0,99.831
494.0,98.664
495.0,98.248
496.0,99.247
497.0,99.486
498.0,99.734
499.0,100.525
500.0,100.005
501.0,98.995
502.0,99.078
503.0,99.595
504.0,99.626
505.0,98.787
506.0,98.408
507.0,99.239
508.0,99.316
509.0,98.248
510.0,97.901
511.0,98.724
512.0,99.581
513.0,99.666
514.0,99.270
515.0,98.987
516.0,98.902
517.0,98.952
518.0,99.172
519.0,99.438
520.0,99.704
521.0,99.834
522.0,99.381
523.0,98.649
524.0,98.373
525.0,98.326
526.0,98.388
527.0,98.890
528.0,99.383
529.0,99.455
530.0,99.187
531.0,98.896
532.0,99.092
533.0,99.371
534.0,99.302
535.0,99.276
536.0,99.205
