nm,CPS
370,9168200
371,9492950
372,9906670
373,10149460
374,10348710
375,10577850
376,10648390
377,10820140
378,10937240
379,11013730
380,11241500
381,11349020
382,11393050
383,11402360
384,11513770
385,11540240
386,11541990
387,11580210
388,11697770
389,11632090
390,11721770
391,11728730
392,11712890
393,11678450
394,11601470
395,11635980
396,11526730
397,11427900
398,11528930
399,11488610
400,11445420
401,11367060
402,11281190
403,11088710
404,11158020
405,11071240
406,10997600
407,10932910
408,10706040
409,10656860
410,10592700
411,10597680
412,10460270
413,10449970
414,10308070
415,10134970
416,10174690
417,10091270
418,9923890
419,9775550
420,9834620
421,9698080
422,9691990
423,9536630
424,9429710
425,9379710
426,9268960
427,9168920
428,9053110
429,8834860
430,8841110
431,8777670
432,8608060
433,8564450
434,8455030
435,8300160
436,8256610
437,8143940
438,8045180
439,7936090
440,7860510
441,7687110
442,7564870
443,7537790
444,7429470
445,7271880
446,7181390
447,7146020
448,6951090
449,6893390
450,6774450
451,6630970
452,6533830
453,6449470
454,6311760
455,6224240
456,6101890
457,6039270
458,5902650
459,5836890
460,5723550
461,5679970
462,5459990
463,5491340
464,5297090
465,5275840
466,5214000
467,5115050
468,4953870
469,4947050
470,4909720
471,4820250
472,4745880
473,4682420
474,4532090
475,4530700
476,4457910
477,4387010
478,4312140
479,4276020
480,4173920
481,4180330
482,4081460
483,4029470
484,3930510
485,3830020
486,3833960
487,3821850
488,3773920
489,3609620
490,3651170
491,3593600
492,3477670
493,3472430
494,3398230
495,3362780
496,3262610
497,3218260
498,3245620
499,3130420
500,3082870
501,3036370
502,3001550
503,2928690
504,2838770
505,2828830
506,2806510
507,2730410
508,2693810
509,2649740
510,2610790
511,2554200
512,2467430
513,2433900
514,2431250
515,2361280
516,2337100
517,2279510
518,2220100
519,2189300
520,2145720
521,2105940
522,2065960
523,2000570
524,1985100
525,1938520
526,1897500
527,1847330
528,1806560
529,1791500
530,1716760
531,1723210
532,1653750
533,1630630
534,1607660
535,1561660
536,1519910
537,1475340
538,1470430
539,1423910
540,1394390
541,1373890
542,1316720
543,1299320
544,1263690
545,1228130
546,1229660
547,1175740
548,1168210
549,1150050
550,1109490
551,1077520
552,1054900
553,1048990
554,1012210
555,982440
556,961950
557,955320
558,916770
559,908950
560,871870
561,855780
562,833770
563,812830
564,800710
565,782880
566,754110
567,737330
568,726260
569,712070
570,687000
571,674480
572,664540
573,647420
574,631410
575,621560
576,605220
577,577880
578,568370
579,553370
580,533670
581,520500
582,505560
583,498910
584,485080
585,468920
586,464040
587,449910
588,437910
589,427510
590,425130
591,410620
592,397530
593,386970
594,377790
595,368670
596,360020
597,349090
598,335310
599,334800
600,324580
601,309250
602,309930
603,297390
604,293560
605,281940
606,276320
607,271290
608,256210
609,260390
610,248990
611,238010
612,234650
613,232370
614,225560
615,219690
616,211860
617,206680
618,205000
619,194360
620,190380
621,184550
622,181700
623,172080
624,175260
625,168810
626,160220
627,157800
628,154810
629,148940
630,144430
631,140140
632,137730
633,134020
634,130350
635,124700
636,117950
637,120090
638,116030
639,109580
640,109690
641,104850
642,101270
643,100790
644,98670
645,93680
646,91000
647,87840
648,85980
649,85620
650,85400
651,83700
652,83410
653,77910
654,78530
655,81500
656,77160
657,77200
658,77040
659,74050
660,75550
661,74740
662,72050
663,72530
664,74700
665,71420
666,72420
667,70080
668,71510
669,70110
670,68900
671,66340
672,65340
673,65330
674,63700
675,61130
676,61170
677,58350
678,58310
679,54090
680,54920
681,53090
682,52030
683,50090
684,48430
685,45610
686,44870
687,43070
688,41460
689,41310
690,41130
691,38400
692,37600
693,38430
694,36280
695,35390
696,34730
697,34410
698,34080
699,34840
700,33770
701,35000
702,36030
703,37170
704,38620
705,39840
706,43770
707,47320
708,49600
709,56250
710,62300
711,66310
712,74000
713,82650
714,94000
715,102090
716,108060
717,125510
718,137940
719,152360
720,167100
721,178460
722,195870
723,212840
724,227780
725,247180
726,265320
727,281670
728,304160
729,319160
730,339120
731,361910
732,380920
733,396150
734,412970
735,432320
736,461820
737,482150
738,489270
739,509980
740,536530
741,537750
742,551280
743,578020
744,582780
745,606300
746,625010
747,626620
748,630990
749,648520
750,651430
751,661760
752,677790
753,690650
754,698480
755,705760
756,698270
757,696200
758,714030
759,707220
760,713240
761,708500
762,699040
763,703900
764,686870
765,697650
766,693050
767,686290
768,689640
769,679780
770,667400
771,661800
772,664630
773,658210
774,634910
775,629720
776,632020
777,617120
778,610300
779,601730
780,588620
781,576990
782,571670
783,560780
784,543570
785,532730
786,540500
787,524170
788,505890
789,504590
790,485200
791,486460
792,471950
793,463090
794,455810
795,429830
796,435120
797,421560
798,419160
799,407640
800,388600
801,390380
802,384930
803,366840
804,365410
805,356590
806,344980
807,341400
808,327780
809,318150
810,314240
811,300680
812,290510
813,295860
814,284750
815,272500
816,267360
817,260290
818,256470
819,246350
820,243740
821,237650
822,225350
823,222620
824,213380
825,209680
826,202080
827,196330
828,196060
829,186660
830,182570
831,176480
832,172680
833,166370
834,160760
835,160390
836,154420
837,152020
838,146540
839,144670
840,137540
841,136160
842,131070
843,125330
844,121050
845,120300
846,114460
847,108830
848,107650
849,107320
850,105970
