Muestra,Mixteca Alta Oaxaqueña café
Fecha del experimento,17 de junio de 2025
Tipo de experimento,Spectral Acquisition[Emission]
Comentario,Spectral Acquisition[Emission]
Identificador de datos,DfltEm
Número de puntos,481
Tiempo de integración,0.100000 s
Rango espectral,370.00nm - 850.00nm
Incremento,1.00nm
Rendijas,"5.00 nm Bandpass (entrada, salida, frontal)"
Red de difracción,1200 líneas/mm (Blaze: 500)
Excitación,325.00nm (Blaze: 330)
Detector,S2 (SCD2)
Unidades,CPS
Detector Accumulations,1
Accumulations Mode,None
Detector Cycles,1
Saturación detectada,No especificado
Nombre del proyecto,FL3-2iHR_1396C-0311-FL
Archivo de resultados,DfltEm
Directorio de resultados,C:\Users\Public\Documents\Jobin Yvon\Data
Wavelength,S2
nm,CPS
370,14960
371,16530
372,18650
373,19450
374,22220
375,23560
376,26400
377,29060
378,29890
379,33350
380,35960
381,37250
382,40630
383,43130
384,44330
385,45630
386,48840
387,50760
388,53070
389,54870
390,59390
391,62110
392,62950
393,65330
394,68190
395,69630
396,69660
397,73950
398,76380
399,76530
400,77480
401,79590
402,80740
403,82890
404,84250
405,86840
406,83920
407,88980
408,88960
409,93750
410,92690
411,93580
412,95820
413,96620
414,95190
415,97250
416,100350
417,96410
418,101230
419,104530
420,100910
421,102620
422,102140
423,105610
424,103560
425,101920
426,102590
427,105260
428,104530
429,103970
430,102650
431,105570
432,104120
433,105670
434,104810
435,104440
436,106970
437,103790
438,105990
439,104800
440,105080
441,105730
442,103390
443,102690
444,102520
445,104660
446,103100
447,102230
448,101580
449,105950
450,102230
451,103450
452,104540
453,99240
454,103480
455,102520
456,102100
457,98890
458,100610
459,99860
460,100230
461,97550
462,97670
463,95300
464,97240
465,96680
466,94780
467,95820
468,95870
469,94550
470,96000
471,95340
472,94980
473,95250
474,93250
475,92110
476,92430
477,92680
478,92390
479,90430
480,91910
481,90830
482,90580
483,90940
484,90540
485,87350
486,88840
487,89350
488,87120
489,87760
490,89130
491,86830
492,86530
493,86010
494,83490
495,85160
496,82590
497,85540
498,84190
499,80160
500,84360
501,81820
502,81330
503,81020
504,81160
505,81330
506,81850
507,79590
508,78460
509,77540
510,79920
511,78020
512,79730
513,75980
514,72640
515,75970
516,74160
517,74990
518,73880
519,73580
520,70360
521,72410
522,69740
523,70160
524,69710
525,67640
526,69800
527,69910
528,69650
529,69610
530,68420
531,68410
532,65790
533,65500
534,67270
535,66560
536,64360
537,65190
538,65990
539,62790
540,64120
541,63170
542,59140
543,63660
544,62280
545,59290
546,60390
547,59050
548,61320
549,58160
550,59900
551,56790
552,59050
553,57330
554,57310
555,55470
556,56280
557,54870
558,53850
559,53400
560,53300
561,53140
562,51300
563,50120
564,52480
565,49830
566,49380
567,50470
568,48690
569,48570
570,47250
571,47370
572,48410
573,46790
574,47520
575,43910
576,44830
577,44770
578,44160
579,44510
580,42540
581,43630
582,42380
583,42120
584,40210
585,41030
586,39440
587,40530
588,39990
589,37840
590,39760
591,38150
592,37490
593,37150
594,34960
595,35880
596,35820
597,35390
598,35350
599,34490
600,32990
601,33090
602,32850
603,31950
604,31540
605,32070
606,30810
607,31600
608,31090
609,29350
610,29890
611,28950
612,28340
613,29100
614,27000
615,27030
616,27280
617,27290
618,25170
619,25950
620,24890
621,24800
622,24480
623,23660
624,23260
625,22540
626,22110
627,23280
628,21740
629,22420
630,21040
631,19950
632,20230
633,19680
634,19830
635,20340
636,18760
637,17540
638,17850
639,18170
640,17080
641,16860
642,17080
643,16560
644,15690
645,15840
646,15850
647,15050
648,14850
649,14640
650,14950
651,14550
652,14920
653,14520
654,14240
655,14730
656,14660
657,13620
658,13490
659,13070
660,13480
661,13500
662,13330
663,13300
664,12330
665,12520
666,12210
667,12400
668,11810
669,11960
670,12430
671,11830
672,11480
673,11220
674,10770
675,10860
676,10260
677,10710
678,10210
679,10140
680,9950
681,10030
682,9320
683,9110
684,8950
685,8710
686,8730
687,9070
688,8560
689,7410
690,8070
691,7050
692,7310
693,6990
694,7310
695,7140
696,7550
697,6810
698,6570
699,6780
700,6390
701,6390
702,6350
703,6050
704,5780
705,5580
706,5220
707,5580
708,5630
709,5260
710,5430
711,5020
712,5100
713,4890
714,5070
715,4370
716,5010
717,4650
718,4600
719,4310
720,4650
721,4710
722,4320
723,4360
724,3990
725,3970
726,4160
727,3890
728,3690
729,4000
730,3840
731,3630
732,3680
733,3720
734,3140
735,3720
736,3660
737,3320
738,2940
739,3660
740,3300
741,3080
742,3570
743,3320
744,3030
745,2870
746,3040
747,3070
748,2950
749,2500
750,2970
751,2980
752,2930
753,2880
754,2700
755,2780
756,2790
757,3220
758,2600
759,2680
760,3190
761,2560
762,2610
763,2700
764,2730
765,2910
766,2450
767,2380
768,2540
769,2520
770,2560
771,2460
772,2380
773,2620
774,2390
775,2750
776,2510
777,2430
778,2320
779,2480
780,2100
781,2450
782,2470
783,2270
784,2450
785,2290
786,2120
787,2290
788,2010
789,2380
790,2250
791,2420
792,2070
793,2010
794,1890
795,2280
796,1920
797,2160
798,1940
799,1870
800,1960
801,1920
802,1820
803,2070
804,1860
805,2060
806,1880
807,1680
808,1790
809,1780
810,1520
811,1650
812,1770
813,1880
814,1520
815,1580
816,1630
817,1560
818,1810
819,1710
820,1700
821,1320
822,1420
823,1560
824,1330
825,1590
826,1350
827,1390
828,1510
829,1290
830,1150
831,1240
832,1110
833,1000
834,980
835,890
836,960
837,920
838,990
839,1000
840,1070
841,940
842,960
843,810
844,840
845,1040
846,980
847,940
848,890
849,870
850,810
