Muestra,Oaxaca
Fecha del experimento,17 de junio de 2025
Tipo de experimento,Spectral Acquisition[Emission]
Comentario,Spectral Acquisition[Emission]
Identificador de datos,DfltEm
Número de puntos,481
Tiempo de integración,0.100000 s
Rango espectral,370.00nm - 850.00nm
Incremento,1.00nm
Rendijas,"5.00 nm Bandpass (entrada, salida, frontal)"
Red de difracción,1200 líneas/mm (Blaze: 500)
Excitación,325.00nm (Blaze: 330)
Detector,S2 (SCD2)
Unidades,CPS
Detector Accumulations,1
Accumulations Mode,None
Detector Cycles,1
Saturación detectada,No especificado
Nombre del proyecto,FL3-2iHR_1396C-0311-FL
Wavelength,S2
nm,CPS
370,27590
371,29630
372,33980
373,37440
374,39510
375,43850
376,48120
377,51330
378,54240
379,59230
380,61620
381,66590
382,69530
383,73340
384,78200
385,81980
386,82050
387,90280
388,94730
389,95950
390,98690
391,102740
392,108700
393,111450
394,115080
395,117560
396,120580
397,122490
398,127570
399,128260
400,133190
401,134590
402,138610
403,140230
404,142010
405,146770
406,147420
407,151080
408,152210
409,153320
410,156530
411,156150
412,156070
413,159930
414,164840
415,161040
416,167330
417,167210
418,163400
419,173470
420,166150
421,173090
422,172130
423,169560
424,174310
425,172610
426,173450
427,178590
428,178580
429,179350
430,176320
431,181110
432,182390
433,178780
434,184590
435,180180
436,182850
437,181480
438,184580
439,177760
440,179290
441,184280
442,184890
443,180340
444,184530
445,180630
446,179690
447,182030
448,178130
449,175030
450,178600
451,182920
452,175310
453,176950
454,179840
455,176850
456,175750
457,175900
458,179240
459,177120
460,174810
461,172310
462,172300
463,170150
464,170980
465,175080
466,175990
467,173450
468,172930
469,173040
470,172930
471,172570
472,172870
473,168970
474,174080
475,169930
476,174600
477,171130
478,167420
479,167080
480,176320
481,168960
482,171630
483,172070
484,171960
485,169130
486,173590
487,169250
488,168810
489,169470
490,167880
491,164410
492,169770
493,167060
494,165250
495,168680
496,164210
497,159560
498,162520
499,165570
500,163980
501,165530
502,161590
503,158440
504,161510
505,160120
506,161840
507,156970
508,156630
509,159880
510,154130
511,161050
512,154870
513,154970
514,157500
515,154900
516,153500
517,151210
518,152380
519,152030
520,150590
521,153130
522,152660
523,146230
524,145900
525,147470
526,145300
527,143320
528,149650
529,142810
530,141130
531,144430
532,143920
533,141600
534,141580
535,138930
536,141970
537,137000
538,138700
539,137940
540,134770
541,134200
542,135930
543,132940
544,131570
545,133200
546,133060
547,127850
548,129370
549,127800
550,127280
551,123770
552,126830
553,124500
554,122150
555,124900
556,120670
557,120240
558,121850
559,119510
560,119400
561,111950
562,113820
563,116590
564,113570
565,112900
566,110790
567,112130
568,109760
569,108920
570,108360
571,106710
572,106380
573,104040
574,106250
575,104200
576,102800
577,99500
578,101830
579,99290
580,99240
581,97640
582,94790
583,95250
584,94150
585,93850
586,92890
587,90500
588,90630
589,87520
590,87100
591,86360
592,85150
593,84880
594,83590
595,81670
596,80620
597,83970
598,80220
599,80950
600,78890
601,73110
602,77590
603,73130
604,75390
605,72770
606,72630
607,70360
608,71710
609,68940
610,66260
611,67650
612,67300
613,65590
614,62300
615,64620
616,63000
617,59760
618,58630
619,58650
620,56150
621,55480
622,57570
623,55590
624,53440
625,53330
626,52260
627,51910
628,48940
629,49750
630,48280
631,48300
632,46360
633,44850
634,44260
635,44500
636,44930
637,41040
638,42460
639,41150
640,39750
641,37570
642,38600
643,35770
644,33640
645,36530
646,34610
647,35820
648,36280
649,35180
650,34180
651,33850
652,33880
653,34750
654,34070
655,33750
656,32090
657,32140
658,32500
659,32910
660,31370
661,31690
662,30620
663,32120
664,30210
665,29670
666,30060
667,29220
668,29030
669,27820
670,28320
671,27230
672,26690
673,27510
674,25940
675,26000
676,24920
677,24250
678,24810
679,23730
680,22690
681,22010
682,21740
683,21380
684,22160
685,19880
686,20950
687,19920
688,18290
689,18590
690,17990
691,17170
692,17300
693,17260
694,16860
695,16890
696,15510
697,15190
698,14600
699,14260
700,14260
701,14220
702,14230
703,12920
704,13070
705,13560
706,11890
707,12190
708,11690
709,11940
710,10830
711,10230
712,10640
713,10930
714,10010
715,9510
716,9590
717,9700
718,9230
719,9160
720,9500
721,8820
722,8700
723,8250
724,7990
725,7650
726,8270
727,7300
728,7470
729,7530
730,7150
731,7260
732,7400
733,6700
734,6260
735,6500
736,6280
737,6270
738,5970
739,6530
740,6050
741,5330
742,5660
743,5700
744,5330
745,5240
746,5580
747,5520
748,5290
749,5070
750,5220
751,5200
752,4900
753,4850
754,5250
755,4940
756,4630
757,4600
758,4960
759,4910
760,4770
761,4510
762,4950
763,5020
764,4360
765,4380
766,4450
767,4610
768,4470
769,4480
770,4540
771,4140
772,4790
773,3980
774,4200
775,4110
776,4040
777,4040
778,4200
779,3790
780,3970
781,3770
782,4000
783,3820
784,3990
785,3890
786,4400
787,3530
788,3890
789,3570
790,3630
791,3550
792,3410
793,3460
794,3260
795,3480
796,3470
797,3290
798,3120
799,3270
800,3120
801,3170
802,3130
803,3380
804,2860
805,3190
806,3080
807,2980
808,2610
809,2950
810,2580
811,2730
812,2660
813,2620
814,2700
815,2750
816,2390
817,2380
818,2440
819,2260
820,2270
821,2200
822,2140
823,2060
824,1990
825,2170
826,2230
827,2000
828,1920
829,1820
830,1940
831,1550
832,2020
833,1810
834,1630
835,1440
836,1590
837,1600
838,1340
839,1530
840,1420
841,1260
842,1470
843,1520
844,1390
845,1130
846,1350
847,1200
848,1170
849,1170
850,1140
