nm,A
200.0,
200.5,
201.0,
201.5,
202.0,
202.5,
203.0,
203.5,
204.0,0.129
204.5,0.126
205.0,0.123
205.5,0.12
206.0,0.118
206.5,0.115
207.0,0.113
207.5,0.11
208.0,0.107
208.5,0.104
209.0,0.102
209.5,0.099
210.0,0.096
210.5,0.093
211.0,0.091
211.5,0.088
212.0,0.085
212.5,0.082
213.0,0.079
213.5,0.077
214.0,0.074
214.5,0.072
215.0,0.07
215.5,0.067
216.0,0.065
216.5,0.063
217.0,0.061
217.5,0.06
218.0,0.058
218.5,0.057
219.0,0.055
219.5,0.054
220.0,0.053
220.5,0.052
221.0,0.051
221.5,0.05
222.0,0.049
222.5,0.048
223.0,0.047
223.5,0.046
224.0,0.045
224.5,0.045
225.0,0.044
225.5,0.044
226.0,0.044
226.5,0.043
227.0,0.043
227.5,0.042
228.0,0.041
228.5,0.041
229.0,0.04
229.5,0.04
230.0,0.04
230.5,0.039
231.0,0.038
231.5,0.038
232.0,0.037
232.5,0.036
233.0,0.036
233.5,0.035
234.0,0.035
234.5,0.034
235.0,0.034
235.5,0.033
236.0,0.032
236.5,0.032
237.0,0.031
237.5,0.031
238.0,0.031
238.5,0.031
239.0,0.03
239.5,0.03
240.0,0.03
240.5,0.029
241.0,0.029
241.5,0.029
242.0,0.028
242.5,0.028
243.0,0.028
243.5,0.028
244.0,0.028
244.5,0.027
245.0,0.027
245.5,0.027
246.0,0.027
246.5,0.027
247.0,0.027
247.5,0.027
248.0,0.026
248.5,0.026
249.0,0.026
249.5,0.027
250.0,0.027
250.5,0.027
251.0,0.027
251.5,0.027
252.0,0.027
252.5,0.027
253.0,0.027
253.5,0.027
254.0,0.027
254.5,0.027
255.0,0.026
255.5,0.026
256.0,0.026
256.5,0.027
257.0,0.027
257.5,0.027
258.0,0.028
258.5,0.028
259.0,0.028
259.5,0.028
260.0,0.028
260.5,0.029
261.0,0.029
261.5,0.028
262.0,0.028
262.5,0.029
263.0,0.029
263.5,0.029
264.0,0.03
264.5,0.03
265.0,0.03
265.5,0.029
266.0,0.029
266.5,0.029
267.0,0.029
267.5,0.029
268.0,0.029
268.5,0.029
269.0,0.029
269.5,0.029
270.0,0.028
270.5,0.028
271.0,0.028
271.5,0.028
272.0,0.028
272.5,0.028
273.0,0.028
273.5,0.029
274.0,0.029
274.5,0.029
275.0,0.028
275.5,0.028
276.0,0.027
276.5,0.027
277.0,0.028
277.5,0.028
278.0,0.028
278.5,0.027
279.0,0.026
279.5,0.026
280.0,0.026
280.5,0.027
281.0,0.027
281.5,0.027
282.0,0.026
282.5,0.026
283.0,0.025
283.5,0.025
284.0,0.024
284.5,0.024
285.0,0.023
285.5,0.023
286.0,0.023
286.5,0.023
287.0,0.023
287.5,0.023
288.0,0.023
288.5,0.023
289.0,0.022
289.5,0.021
290.0,0.019
290.5,0.018
291.0,0.019
291.5,0.02
292.0,0.02
292.5,0.02
293.0,0.019
293.5,0.018
294.0,0.018
294.5,0.019
295.0,0.019
295.5,0.019
296.0,0.019
296.5,0.018
297.0,0.017
297.5,0.017
298.0,0.017
298.5,0.017
299.0,0.016
299.5,0.016
300.0,0.016
300.5,0.016
301.0,0.017
301.5,0.017
302.0,0.017
302.5,0.017
303.0,0.017
303.5,0.017
