Batch,scan005
Instrument ID,084303
Data Mode,A
Sample,Sample001
Cycle,Cycle01
Date Collected,23/09/2025
Time Collected,08:09:28
Entries,Data Points
nm,A
200.0,XXX.XXX
200.5,XXX.XXX
201.0,XXX.XXX
201.5,XXX.XXX
202.0,XXX.XXX
202.5,XXX.XXX
203.0,XXX.XXX
203.5,XXX.XXX
204.0,0.102
204.5,0.102
205.0,0.102
205.5,0.101
206.0,0.101
206.5,0.099
207.0,0.098
207.5,0.096
208.0,0.094
208.5,0.091
209.0,0.089
209.5,0.086
210.0,0.083
210.5,0.080
211.0,0.076
211.5,0.073
212.0,0.069
212.5,0.066
213.0,0.062
213.5,0.059
214.0,0.056
214.5,0.053
215.0,0.050
215.5,0.047
216.0,0.044
216.5,0.041
217.0,0.038
217.5,0.035
218.0,0.032
218.5,0.030
219.0,0.028
219.5,0.026
220.0,0.025
220.5,0.023
221.0,0.021
221.5,0.020
222.0,0.019
222.5,0.017
223.0,0.016
223.5,0.015
224.0,0.014
224.5,0.013
225.0,0.013
225.5,0.013
226.0,0.013
226.5,0.012
227.0,0.012
227.5,0.011
228.0,0.010
228.5,0.010
229.0,0.010
229.5,0.010
230.0,0.009
230.5,0.009
231.0,0.008
231.5,0.007
232.0,0.007
232.5,0.006
233.0,0.006
233.5,0.005
234.0,0.005
234.5,0.004
235.0,0.004
235.5,0.003
236.0,0.002
236.5,0.002
237.0,0.001
237.5,0.000
238.0,0.000
238.5,-0.001
239.0,-0.001
239.5,-0.001
240.0,-0.001
240.5,-0.002
241.0,-0.002
241.5,-0.003
242.0,-0.004
242.5,-0.004
243.0,-0.004
243.5,-0.004
244.0,-0.004
244.5,-0.003
245.0,-0.003
245.5,-0.003
246.0,-0.003
246.5,-0.003
247.0,-0.003
247.5,-0.003
248.0,-0.003
248.5,-0.002
249.0,-0.002
249.5,-0.001
250.0,-0.001
250.5,0.000
251.0,0.001
251.5,0.001
252.0,0.001
252.5,0.002
253.0,0.002
253.5,0.003
254.0,0.004
254.5,0.004
255.0,0.005
255.5,0.006
256.0,0.007
256.5,0.007
257.0,0.008
257.5,0.008
258.0,0.009
258.5,0.010
259.0,0.011
259.5,0.012
260.0,0.013
260.5,0.014
261.0,0.015
261.5,0.016
262.0,0.016
262.5,0.016
263.0,0.017
263.5,0.018
264.0,0.018
264.5,0.019
265.0,0.019
265.5,0.020
266.0,0.022
266.5,0.023
267.0,0.024
267.5,0.024
268.0,0.024
268.5,0.025
269.0,0.025
269.5,0.025
270.0,0.025
270.5,0.025
271.0,0.026
271.5,0.025
272.0,0.025
272.5,0.024
273.0,0.024
273.5,0.025
274.0,0.025
274.5,0.026
275.0,0.026
275.5,0.025
276.0,0.025
276.5,0.025
277.0,0.024
277.5,0.023
278.0,0.022
278.5,0.020
279.0,0.019
279.5,0.019
280.0,0.018
280.5,0.018
281.0,0.017
281.5,0.017
282.0,0.015
282.5,0.014
283.0,0.013
283.5,0.011
284.0,0.010
284.5,0.009
285.0,0.009
285.5,0.008
286.0,0.007
286.5,0.005
287.0,0.004
287.5,0.002
288.0,0.002
288.5,0.002
289.0,0.001
289.5,0.000
290.0,-0.002
290.5,-0.004
291.0,-0.005
291.5,-0.005
292.0,-0.006
292.5,-0.007
293.0,-0.009
293.5,-0.009
294.0,-0.009
294.5,-0.008
295.0,-0.008
295.5,-0.009
296.0,-0.010
296.5,-0.011
297.0,-0.011
297.5,-0.011
298.0,-0.011
298.5,-0.011
299.0,-0.012
299.5,-0.012
300.0,-0.012
300.5,-0.012
301.0,-0.012
301.5,-0.011
302.0,-0.010
302.5,-0.010
303.0,-0.010
303.5,-0.011
304.0,-0.012
304.5,-0.013
305.0,-0.014
305.5,-0.015
306.0,-0.015
306.5,-0.015
307.0,-0.014
307.5,-0.014
308.0,-0.014
308.5,-0.014
309.0,-0.014
309.5,-0.013
310.0,-0.011
310.5,-0.011
311.0,-0.011
311.5,-0.012
312.0,-0.014
312.5,-0.015
313.0,-0.015
313.5,-0.015
314.0,-0.013
314.5,-0.011
315.0,-0.010
315.5,-0.011
316.0,-0.012
316.5,-0.014
317.0,-0.015
317.5,-0.015
318.0,-0.014
318.5,-0.012
319.0,-0.011
319.5,-0.011
320.0,-0.011
320.5,-0.012
321.0,-0.012
321.5,-0.012
322.0,-0.011
322.5,-0.010
323.0,-0.010
323.5,-0.011
324.0,-0.012
324.5,-0.012
325.0,-0.011
325.5,-0.011
326.0,-0.011
326.5,-0.012
327.0,-0.012
327.5,-0.013
328.0,-0.013
328.5,-0.013
329.0,-0.013
329.5,-0.014
330.0,-0.014
330.5,-0.014
331.0,-0.014
331.5,-0.014
332.0,-0.015
332.5,-0.014
333.0,-0.015
333.5,-0.015
334.0,-0.015
334.5,-0.015
335.0,-0.014
335.5,-0.013
336.0,-0.013
336.5,-0.013
337.0,-0.013
337.5,-0.014
338.0,-0.015
338.5,-0.019
339.0,-0.022
339.5,-0.024
340.0,-0.024
340.5,-0.023
341.0,-0.020
341.5,-0.016
342.0,-0.014
342.5,-0.017
343.0,-0.024
343.5,-0.029
344.0,-0.029
344.5,-0.025
345.0,-0.018
345.5,-0.013
346.0,-0.014
346.5,-0.019
347.0,-0.024
347.5,-0.024
348.0,-0.019
348.5,-0.014
349.0,-0.012
349.5,-0.013
350.0,-0.015
350.5,-0.016
351.0,-0.015
351.5,-0.014
352.0,-0.014
352.5,-0.018
353.0,-0.023
353.5,-0.029
354.0,-0.033
354.5,-0.038
355.0,-0.039
355.5,-0.036
356.0,-0.027
356.5,-0.015
357.0,-0.006
357.5,-0.004
358.0,-0.007
358.5,-0.013
359.0,-0.017
359.5,-0.019
360.0,-0.023
360.5,-0.026
361.0,-0.030
361.5,-0.032
362.0,-0.033
362.5,-0.034
363.0,-0.036
