nm,A
200.0,
200.5,
201.0,
201.5,
202.0,
202.5,
203.0,
203.5,
204.0,0.166
204.5,0.167
205.0,0.167
205.5,0.167
206.0,0.166
206.5,0.165
207.0,0.163
207.5,0.16
208.0,0.158
208.5,0.155
209.0,0.151
209.5,0.147
210.0,0.143
210.5,0.138
211.0,0.134
211.5,0.13
212.0,0.125
212.5,0.121
213.0,0.116
213.5,0.112
214.0,0.108
214.5,0.104
215.0,0.1
215.5,0.095
216.0,0.09
216.5,0.086
217.0,0.082
217.5,0.078
218.0,0.074
218.5,0.071
219.0,0.068
219.5,0.065
220.0,0.063
220.5,0.06
221.0,0.058
221.5,0.056
222.0,0.055
222.5,0.053
223.0,0.051
223.5,0.05
224.0,0.049
224.5,0.048
225.0,0.048
225.5,0.047
226.0,0.047
226.5,0.046
227.0,0.046
227.5,0.045
228.0,0.044
228.5,0.044
229.0,0.043
229.5,0.043
230.0,0.043
230.5,0.043
231.0,0.042
231.5,0.041
232.0,0.04
232.5,0.04
233.0,0.039
233.5,0.038
234.0,0.037
234.5,0.036
235.0,0.036
235.5,0.035
236.0,0.034
236.5,0.033
237.0,0.033
237.5,0.032
238.0,0.031
238.5,0.03
239.0,0.03
239.5,0.029
240.0,0.029
240.5,0.029
241.0,0.028
241.5,0.028
242.0,0.027
242.5,0.027
243.0,0.027
243.5,0.027
244.0,0.026
244.5,0.026
245.0,0.026
245.5,0.026
246.0,0.027
246.5,0.027
247.0,0.027
247.5,0.028
248.0,0.028
248.5,0.029
249.0,0.029
249.5,0.03
250.0,0.031
250.5,0.031
251.0,0.032
251.5,0.033
252.0,0.033
252.5,0.034
253.0,0.035
253.5,0.036
254.0,0.037
254.5,0.037
255.0,0.038
255.5,0.039
256.0,0.039
256.5,0.041
257.0,0.042
257.5,0.043
258.0,0.044
258.5,0.045
259.0,0.046
259.5,0.047
260.0,0.048
260.5,0.049
261.0,0.051
261.5,0.052
262.0,0.053
262.5,0.053
263.0,0.054
263.5,0.055
264.0,0.056
264.5,0.057
265.0,0.058
265.5,0.059
266.0,0.06
266.5,0.061
267.0,0.062
267.5,0.062
268.0,0.063
268.5,0.064
269.0,0.064
269.5,0.065
270.0,0.065
270.5,0.065
271.0,0.065
271.5,0.065
272.0,0.064
272.5,0.064
273.0,0.065
273.5,0.065
274.0,0.065
274.5,0.065
275.0,0.065
275.5,0.064
276.0,0.064
276.5,0.063
277.0,0.062
277.5,0.062
278.0,0.061
278.5,0.06
279.0,0.059
279.5,0.058
280.0,0.056
280.5,0.055
281.0,0.054
281.5,0.053
282.0,0.052
282.5,0.051
283.0,0.049
283.5,0.047
284.0,0.046
284.5,0.044
285.0,0.042
285.5,0.04
286.0,0.038
286.5,0.037
287.0,0.035
287.5,0.034
288.0,0.033
288.5,0.032
289.0,0.031
289.5,0.029
290.0,0.027
290.5,0.026
291.0,0.025
291.5,0.024
292.0,0.024
292.5,0.022
293.0,0.021
293.5,0.019
294.0,0.019
294.5,0.018
295.0,0.018
295.5,0.018
296.0,0.017
296.5,0.017
297.0,0.017
297.5,0.017
298.0,0.017
298.5,0.016
299.0,0.015
299.5,0.015
300.0,0.015
300.5,0.016
301.0,0.017
301.5,0.017
302.0,0.016
302.5,0.015
303.0,0.014
303.5,0.013
