Batch,scan001
Instrument ID,084303
Data Mode,A
Sample,Sample001
Cycle,Cycle01
Date Collected,23/09/2025
Time Collected,07:53:50
Entries,Data Points
nm,A
200.0,XXX.XXX
200.5,XXX.XXX
201.0,XXX.XXX
201.5,XXX.XXX
202.0,XXX.XXX
202.5,XXX.XXX
203.0,XXX.XXX
203.5,XXX.XXX
204.0,0.071
204.5,0.069
205.0,0.066
205.5,0.062
206.0,0.058
206.5,0.053
207.0,0.048
207.5,0.044
208.0,0.041
208.5,0.039
209.0,0.036
209.5,0.034
210.0,0.032
210.5,0.031
211.0,0.029
211.5,0.027
212.0,0.024
212.5,0.023
213.0,0.022
213.5,0.022
214.0,0.022
214.5,0.020
215.0,0.018
215.5,0.017
216.0,0.015
216.5,0.014
217.0,0.013
217.5,0.011
218.0,0.009
218.5,0.006
219.0,0.002
219.5,-0.002
220.0,-0.002
220.5,0.002
221.0,0.004
221.5,0.002
222.0,-0.003
222.5,-0.009
223.0,-0.012
223.5,-0.015
224.0,-0.019
224.5,-0.022
225.0,-0.023
225.5,-0.021
226.0,-0.018
226.5,-0.015
227.0,-0.013
227.5,-0.012
228.0,-0.012
228.5,-0.011
229.0,-0.009
229.5,-0.008
230.0,-0.007
230.5,-0.007
231.0,-0.007
231.5,-0.006
232.0,-0.005
232.5,-0.005
233.0,-0.005
233.5,-0.006
234.0,-0.007
234.5,-0.008
235.0,-0.010
235.5,-0.011
236.0,-0.012
236.5,-0.012
237.0,-0.012
237.5,-0.012
238.0,-0.013
238.5,-0.014
239.0,-0.014
239.5,-0.015
240.0,-0.014
240.5,-0.013
241.0,-0.012
241.5,-0.010
242.0,-0.008
242.5,-0.006
243.0,-0.004
243.5,-0.004
244.0,-0.004
244.5,-0.006
245.0,-0.007
245.5,-0.010
246.0,-0.012
246.5,-0.015
247.0,-0.017
247.5,-0.019
248.0,-0.020
248.5,-0.022
249.0,-0.023
249.5,-0.025
250.0,-0.026
250.5,-0.025
251.0,-0.024
251.5,-0.023
252.0,-0.024
252.5,-0.026
253.0,-0.027
253.5,-0.027
254.0,-0.027
254.5,-0.027
255.0,-0.028
255.5,-0.029
256.0,-0.029
256.5,-0.028
257.0,-0.028
257.5,-0.027
258.0,-0.027
258.5,-0.026
259.0,-0.025
259.5,-0.025
260.0,-0.026
260.5,-0.027
261.0,-0.027
261.5,-0.026
262.0,-0.024
262.5,-0.023
263.0,-0.024
263.5,-0.025
264.0,-0.027
264.5,-0.028
265.0,-0.031
265.5,-0.035
266.0,-0.038
266.5,-0.039
267.0,-0.038
267.5,-0.035
268.0,-0.033
268.5,-0.032
269.0,-0.031
269.5,-0.031
270.0,-0.031
270.5,-0.031
271.0,-0.031
271.5,-0.031
272.0,-0.031
272.5,-0.031
273.0,-0.032
273.5,-0.031
274.0,-0.028
274.5,-0.024
275.0,-0.020
275.5,-0.020
276.0,-0.023
276.5,-0.028
277.0,-0.036
277.5,-0.042
278.0,-0.047
278.5,-0.047
279.0,-0.043
279.5,-0.034
280.0,-0.024
280.5,-0.018
281.0,-0.019
281.5,-0.025
282.0,-0.031
282.5,-0.035
283.0,-0.038
283.5,-0.039
284.0,-0.040
284.5,-0.041
285.0,-0.042
285.5,-0.042
286.0,-0.040
286.5,-0.038
287.0,-0.037
287.5,-0.038
288.0,-0.039
288.5,-0.041
289.0,-0.042
289.5,-0.043
290.0,-0.043
290.5,-0.040
291.0,-0.039
291.5,-0.040
292.0,-0.045
292.5,-0.053
293.0,-0.059
293.5,-0.062
294.0,-0.064
294.5,-0.065
295.0,-0.065
295.5,-0.065
296.0,-0.065
296.5,-0.065
297.0,-0.066
297.5,-0.067
298.0,-0.068
298.5,-0.069
299.0,-0.072
299.5,-0.077
300.0,-0.083
300.5,-0.086
301.0,-0.082
301.5,-0.076
302.0,-0.073
302.5,-0.074
303.0,-0.076
303.5,-0.073
304.0,-0.063
304.5,-0.047
305.0,-0.029
305.5,-0.014
306.0,-0.006
306.5,-0.005
307.0,-0.008
307.5,-0.012
308.0,-0.014
308.5,-0.013
309.0,-0.010
309.5,-0.007
310.0,-0.004
310.5,-0.001
311.0,-0.002
311.5,-0.008
312.0,-0.017
312.5,-0.024
313.0,-0.023
313.5,-0.017
314.0,-0.010
314.5,-0.007
315.0,-0.005
315.5,-0.003
316.0,0.000
316.5,0.002
317.0,0.002
317.5,0.000
318.0,-0.001
318.5,-0.002
319.0,-0.002
319.5,-0.002
320.0,-0.002
320.5,-0.002
321.0,-0.002
321.5,-0.003
322.0,-0.003
322.5,-0.002
323.0,-0.001
323.5,-0.002
324.0,-0.002
324.5,-0.002
325.0,-0.001
325.5,-0.001
326.0,-0.001
326.5,-0.002
327.0,-0.002
327.5,-0.001
328.0,0.000
328.5,0.000
329.0,-0.001
329.5,-0.003
330.0,-0.004
330.5,-0.006
331.0,-0.007
331.5,-0.007
332.0,-0.005
332.5,-0.004
333.0,-0.003
333.5,-0.003
334.0,-0.003
334.5,-0.003
335.0,-0.003
335.5,-0.003
336.0,-0.003
336.5,-0.002
337.0,0.000
337.5,0.002
338.0,0.004
338.5,0.005
339.0,0.002
339.5,-0.004
340.0,-0.014
340.5,-0.025
341.0,-0.035
341.5,-0.039
342.0,-0.033
342.5,-0.019
343.0,-0.007
343.5,-0.005
344.0,-0.014
344.5,-0.025
345.0,-0.032
345.5,-0.034
346.0,-0.035
346.5,-0.033
347.0,-0.027
347.5,-0.018
348.0,-0.007
348.5,0.003
349.0,0.008
349.5,0.007
350.0,0.003
350.5,-0.004
351.0,-0.008
351.5,-0.007
352.0,-0.001
352.5,0.008
353.0,0.014
353.5,0.014
354.0,0.006
354.5,-0.003
355.0,-0.010
355.5,-0.011
356.0,-0.008
356.5,-0.004
357.0,-0.003
357.5,-0.006
