nm,AChMG20,AChMG05,AChMG,AChMG50
200.0,,,,
200.5,,,,
201.0,,,,
201.5,,,,
202.0,,,,
202.5,,,,
203.0,,,,
203.5,,,,
204.0,,1.449,,
204.5,,1.378,,
205.0,,1.344,,
205.5,,1.329,,
206.0,,1.302,,
206.5,,1.25,,
207.0,,1.183,,
207.5,1.528,1.12,,
208.0,1.445,1.07,1.796,
208.5,1.388,1.034,1.748,
209.0,1.339,1.007,1.692,
209.5,1.289,0.982,1.633,
210.0,1.243,0.956,1.575,
210.5,1.204,0.929,1.524,
211.0,1.17,0.902,1.482,
211.5,1.139,0.875,1.448,
212.0,1.107,0.85,1.417,
212.5,1.075,0.829,1.387,
213.0,1.044,0.81,1.357,
213.5,1.015,0.79,1.327,
214.0,0.989,0.77,1.297,
214.5,0.964,0.749,1.266,
215.0,0.94,0.729,1.235,
215.5,0.917,0.71,1.205,
216.0,0.895,0.693,1.175,
216.5,0.875,0.676,1.146,
217.0,0.854,0.66,1.118,
217.5,0.834,0.644,1.091,
218.0,0.814,0.628,1.066,
218.5,0.795,0.612,1.041,
219.0,0.777,0.597,1.017,
219.5,0.759,0.582,0.993,
220.0,0.741,0.567,0.969,
220.5,0.725,0.553,0.945,1.555
221.0,0.708,0.539,0.922,1.507
221.5,0.692,0.526,0.9,1.461
222.0,0.676,0.513,0.879,1.417
222.5,0.661,0.501,0.858,1.375
223.0,0.647,0.489,0.838,1.337
223.5,0.634,0.477,0.818,1.303
224.0,0.621,0.467,0.8,1.271
224.5,0.608,0.456,0.782,1.241
225.0,0.596,0.446,0.766,1.212
225.5,0.584,0.437,0.751,1.185
226.0,0.574,0.428,0.737,1.161
226.5,0.565,0.42,0.725,1.139
227.0,0.556,0.413,0.713,1.119
227.5,0.548,0.406,0.702,1.101
228.0,0.54,0.4,0.692,1.085
228.5,0.533,0.394,0.682,1.069
229.0,0.526,0.388,0.672,1.053
229.5,0.519,0.383,0.663,1.038
230.0,0.513,0.378,0.655,1.024
230.5,0.506,0.373,0.647,1.011
231.0,0.5,0.368,0.639,0.998
231.5,0.494,0.363,0.632,0.985
232.0,0.489,0.359,0.624,0.972
232.5,0.483,0.354,0.616,0.96
233.0,0.477,0.35,0.609,0.948
233.5,0.472,0.346,0.601,0.936
234.0,0.467,0.341,0.594,0.924
234.5,0.461,0.337,0.587,0.913
235.0,0.456,0.333,0.581,0.903
235.5,0.451,0.33,0.574,0.892
236.0,0.446,0.326,0.567,0.883
236.5,0.442,0.322,0.561,0.874
237.0,0.438,0.318,0.556,0.865
237.5,0.434,0.315,0.551,0.856
238.0,0.431,0.312,0.546,0.848
238.5,0.427,0.31,0.542,0.841
239.0,0.424,0.307,0.537,0.834
239.5,0.421,0.305,0.533,0.827
240.0,0.418,0.303,0.529,0.821
240.5,0.415,0.301,0.525,0.815
241.0,0.413,0.299,0.521,0.809
241.5,0.411,0.297,0.518,0.804
242.0,0.409,0.295,0.515,0.8
242.5,0.407,0.293,0.512,0.796
243.0,0.405,0.292,0.51,0.792
243.5,0.403,0.291,0.507,0.789
244.0,0.402,0.29,0.505,0.785
244.5,0.401,0.289,0.503,0.782
245.0,0.4,0.288,0.501,0.779
245.5,0.399,0.287,0.499,0.777
246.0,0.398,0.286,0.497,0.774
