Batch	scan001
Instrument ID	084303
Data Mode	A
Sample	Sample001
Cycle	Cycle01
Date Collected	14/02/2025
Time Collected	12:17:39
Entries	Data Points
nm	A
200.0	XXX.XXX
200.5	XXX.XXX
201.0	XXX.XXX
201.5	XXX.XXX
202.0	XXX.XXX
202.5	XXX.XXX
203.0	XXX.XXX
203.5	XXX.XXX
204.0	XXX.XXX
204.5	XXX.XXX
205.0	XXX.XXX
205.5	XXX.XXX
206.0	XXX.XXX
206.5	XXX.XXX
207.0	XXX.XXX
207.5	XXX.XXX
208.0	XXX.XXX
208.5	XXX.XXX
209.0	XXX.XXX
209.5	1.165
210.0	1.115
210.5	1.078
211.0	1.046
211.5	1.014
212.0	0.980
212.5	0.949
213.0	0.922
213.5	0.896
214.0	0.870
214.5	0.846
215.0	0.823
215.5	0.802
216.0	0.782
216.5	0.764
217.0	0.745
217.5	0.727
218.0	0.709
218.5	0.692
219.0	0.677
219.5	0.662
220.0	0.647
220.5	0.632
221.0	0.617
221.5	0.603
222.0	0.589
222.5	0.576
223.0	0.563
223.5	0.551
224.0	0.539
224.5	0.528
225.0	0.518
225.5	0.508
226.0	0.499
226.5	0.491
227.0	0.483
227.5	0.476
228.0	0.469
228.5	0.462
229.0	0.456
229.5	0.450
230.0	0.444
230.5	0.438
231.0	0.432
231.5	0.427
232.0	0.422
232.5	0.418
233.0	0.413
233.5	0.408
234.0	0.403
234.5	0.398
235.0	0.394
235.5	0.389
236.0	0.385
236.5	0.382
237.0	0.378
237.5	0.374
238.0	0.371
238.5	0.368
239.0	0.365
239.5	0.362
240.0	0.359
240.5	0.357
241.0	0.354
241.5	0.352
242.0	0.350
242.5	0.348
243.0	0.346
243.5	0.345
244.0	0.343
244.5	0.341
245.0	0.340
245.5	0.339
246.0	0.338
246.5	0.337
247.0	0.336
247.5	0.335
248.0	0.334
248.5	0.333
249.0	0.333
249.5	0.332
250.0	0.332
250.5	0.331
251.0	0.331
251.5	0.330
252.0	0.329
252.5	0.329
253.0	0.329
253.5	0.329
254.0	0.329
254.5	0.329
255.0	0.330
255.5	0.331
256.0	0.331
256.5	0.332
257.0	0.332
257.5	0.332
258.0	0.333
258.5	0.334
259.0	0.335
259.5	0.336
260.0	0.337
260.5	0.338
261.0	0.340
261.5	0.341
262.0	0.344
262.5	0.346
263.0	0.349
263.5	0.351
264.0	0.353
264.5	0.354
265.0	0.356
265.5	0.357
266.0	0.359
266.5	0.360
267.0	0.361
267.5	0.362
268.0	0.364
268.5	0.366
269.0	0.367
269.5	0.368
270.0	0.370
270.5	0.371
271.0	0.373
271.5	0.375
272.0	0.376
272.5	0.376
273.0	0.376
273.5	0.376
274.0	0.375
274.5	0.376
275.0	0.376
275.5	0.376
276.0	0.376
276.5	0.375
277.0	0.375
277.5	0.374
278.0	0.373
278.5	0.372
279.0	0.371
279.5	0.371
280.0	0.370
280.5	0.370
281.0	0.368
281.5	0.367
282.0	0.364
282.5	0.362
283.0	0.361
283.5	0.360
284.0	0.358
284.5	0.356
285.0	0.354
285.5	0.351
286.0	0.348
286.5	0.345
287.0	0.343
287.5	0.340
288.0	0.338
288.5	0.335
289.0	0.332
289.5	0.329
290.0	0.326
290.5	0.324
291.0	0.321
291.5	0.319
292.0	0.317
292.5	0.315
293.0	0.313
293.5	0.311
294.0	0.310
294.5	0.308
295.0	0.307
295.5	0.305
296.0	0.303
296.5	0.302
297.0	0.301
297.5	0.299
298.0	0.297
298.5	0.295
299.0	0.293
299.5	0.293
300.0	0.293
300.5	0.292
301.0	0.292
301.5	0.291
302.0	0.290
302.5	0.289
303.0	0.288
303.5	0.288
304.0	0.288
304.5	0.287
305.0	0.286
305.5	0.285
306.0	0.285
306.5	0.285
307.0	0.285
307.5	0.284
308.0	0.284
308.5	0.284
309.0	0.284
309.5	0.285
310.0	0.285
310.5	0.284
311.0	0.283
311.5	0.283
312.0	0.283
312.5	0.284
313.0	0.285
313.5	0.286
314.0	0.285
314.5	0.285
315.0	0.285
315.5	0.285
316.0	0.287
316.5	0.288
317.0	0.290
317.5	0.290
318.0	0.290
318.5	0.289
319.0	0.288
319.5	0.286
320.0	0.286
320.5	0.287
321.0	0.287
321.5	0.286
322.0	0.286
322.5	0.286
323.0	0.286
323.5	0.286
324.0	0.286
324.5	0.285
325.0	0.283
325.5	0.282
326.0	0.280
326.5	0.279
327.0	0.278
327.5	0.278
328.0	0.277
328.5	0.275
329.0	0.273
329.5	0.270
330.0	0.268
330.5	0.267
331.0	0.265
331.5	0.263
332.0	0.262
332.5	0.261
333.0	0.260
333.5	0.258
334.0	0.256
334.5	0.253
335.0	0.251
335.5	0.249
336.0	0.246
336.5	0.242
337.0	0.239
337.5	0.237
338.0	0.235
338.5	0.232
339.0	0.230
339.5	0.227
340.0	0.226
340.5	0.226
341.0	0.225
341.5	0.221
342.0	0.215
342.5	0.211
343.0	0.209
343.5	0.205
344.0	0.198
344.5	0.188
345.0	0.180
345.5	0.175
346.0	0.174
346.5	0.177
347.0	0.180
347.5	0.180
348.0	0.173
348.5	0.162
349.0	0.153
349.5	0.152
350.0	0.155
350.5	0.156
351.0	0.155
351.5	0.153
352.0	0.152
352.5	0.153
353.0	0.155
353.5	0.154
354.0	0.151
354.5	0.145
355.0	0.140
355.5	0.139
356.0	0.139
356.5	0.140
357.0	0.139
357.5	0.136
358.0	0.134
358.5	0.133
359.0	0.130
359.5	0.123
360.0	0.115
360.5	0.108
361.0	0.105
361.5	0.105
362.0	0.108
362.5	0.112
363.0	0.115
363.5	0.118
364.0	0.118
364.5	0.115
365.0	0.111
365.5	0.107
366.0	0.102
366.5	0.098
367.0	0.094
367.5	0.089
368.0	0.085
368.5	0.084
369.0	0.089
369.5	0.097
370.0	0.103
370.5	0.105
371.0	0.102
