Batch,scan003
Instrument ID,084303
Data Mode,A
Sample,Sample001
Cycle,Cycle01
Date Collected,14/02/2025
Time Collected,12:31:30
Entries,Data Points
nm,A
200.0,XXX.XXX
200.5,XXX.XXX
201.0,XXX.XXX
201.5,XXX.XXX
202.0,XXX.XXX
202.5,XXX.XXX
203.0,XXX.XXX
203.5,XXX.XXX
204.0,XXX.XXX
204.5,XXX.XXX
205.0,XXX.XXX
205.5,XXX.XXX
206.0,XXX.XXX
206.5,XXX.XXX
207.0,XXX.XXX
207.5,XXX.XXX
208.0,XXX.XXX
208.5,XXX.XXX
209.0,XXX.XXX
209.5,XXX.XXX
210.0,XXX.XXX
210.5,XXX.XXX
211.0,XXX.XXX
211.5,XXX.XXX
212.0,XXX.XXX
212.5,XXX.XXX
213.0,XXX.XXX
213.5,XXX.XXX
214.0,XXX.XXX
214.5,1.230
215.0,1.189
215.5,1.152
216.0,1.118
216.5,1.086
217.0,1.057
217.5,1.030
218.0,1.004
218.5,0.978
219.0,0.952
219.5,0.928
220.0,0.905
220.5,0.884
221.0,0.864
221.5,0.844
222.0,0.824
222.5,0.804
223.0,0.786
223.5,0.768
224.0,0.751
224.5,0.735
225.0,0.720
225.5,0.707
226.0,0.694
226.5,0.683
227.0,0.671
227.5,0.661
228.0,0.651
228.5,0.642
229.0,0.633
229.5,0.625
230.0,0.617
230.5,0.610
231.0,0.602
231.5,0.595
232.0,0.587
232.5,0.580
233.0,0.573
233.5,0.566
234.0,0.560
234.5,0.553
235.0,0.546
235.5,0.540
236.0,0.534
236.5,0.529
237.0,0.524
237.5,0.519
238.0,0.514
238.5,0.510
239.0,0.505
239.5,0.501
240.0,0.497
240.5,0.494
241.0,0.490
241.5,0.487
242.0,0.484
242.5,0.482
243.0,0.479
243.5,0.477
244.0,0.475
244.5,0.473
245.0,0.471
245.5,0.469
246.0,0.467
246.5,0.466
247.0,0.464
247.5,0.463
248.0,0.462
248.5,0.461
249.0,0.461
249.5,0.460
250.0,0.459
250.5,0.458
251.0,0.457
251.5,0.456
252.0,0.455
252.5,0.454
253.0,0.454
253.5,0.454
254.0,0.454
254.5,0.454
255.0,0.454
255.5,0.455
256.0,0.455
256.5,0.456
257.0,0.457
257.5,0.458
258.0,0.459
258.5,0.460
259.0,0.462
259.5,0.463
260.0,0.465
260.5,0.466
261.0,0.469
261.5,0.471
262.0,0.474
262.5,0.477
263.0,0.480
263.5,0.482
264.0,0.485
264.5,0.488
265.0,0.491
265.5,0.493
266.0,0.495
266.5,0.496
267.0,0.497
267.5,0.499
268.0,0.500
268.5,0.502
269.0,0.505
269.5,0.507
270.0,0.509
270.5,0.512
271.0,0.514
271.5,0.516
272.0,0.517
272.5,0.519
273.0,0.520
273.5,0.520
274.0,0.520
274.5,0.520
275.0,0.521
275.5,0.521
276.0,0.520
276.5,0.519
277.0,0.519
277.5,0.518
278.0,0.518
278.5,0.517
279.0,0.516
279.5,0.515
280.0,0.514
280.5,0.512
281.0,0.511
281.5,0.510
282.0,0.508
282.5,0.506
283.0,0.503
283.5,0.500
284.0,0.498
284.5,0.495
285.0,0.492
285.5,0.489
286.0,0.486
286.5,0.482
287.0,0.479
287.5,0.475
288.0,0.471
288.5,0.468
289.0,0.464
289.5,0.460
290.0,0.457
290.5,0.453
291.0,0.449
291.5,0.445
292.0,0.442
292.5,0.438
293.0,0.435
293.5,0.432
294.0,0.430
294.5,0.428
295.0,0.426
295.5,0.423
296.0,0.420
296.5,0.417
297.0,0.415
297.5,0.413
298.0,0.412
298.5,0.412
299.0,0.411
299.5,0.410
300.0,0.408
300.5,0.406
301.0,0.404
301.5,0.402
302.0,0.400
302.5,0.399
303.0,0.399
303.5,0.398
304.0,0.397
304.5,0.396
305.0,0.395
305.5,0.395
306.0,0.395
306.5,0.394
307.0,0.393
307.5,0.393
308.0,0.392
308.5,0.393
309.0,0.393
309.5,0.392
310.0,0.393
310.5,0.393
311.0,0.394
311.5,0.395
312.0,0.395
312.5,0.394
313.0,0.394
313.5,0.394
314.0,0.394
314.5,0.395
315.0,0.395
315.5,0.395
316.0,0.396
316.5,0.396
317.0,0.397
317.5,0.397
318.0,0.398
318.5,0.398
319.0,0.398
319.5,0.398
320.0,0.397
320.5,0.397
321.0,0.397
321.5,0.397
322.0,0.396
322.5,0.395
323.0,0.395
323.5,0.394
324.0,0.393
324.5,0.392
325.0,0.390
325.5,0.389
326.0,0.387
326.5,0.386
327.0,0.384
327.5,0.382
328.0,0.380
328.5,0.378
329.0,0.376
329.5,0.374
330.0,0.372
330.5,0.370
331.0,0.367
331.5,0.364
332.0,0.361
332.5,0.358
333.0,0.355
333.5,0.352
334.0,0.348
334.5,0.344
335.0,0.340
335.5,0.336
336.0,0.333
336.5,0.329
337.0,0.326
337.5,0.323
338.0,0.320
338.5,0.317
339.0,0.313
339.5,0.307
340.0,0.300
340.5,0.291
341.0,0.282
341.5,0.277
342.0,0.275
342.5,0.276
343.0,0.276
343.5,0.272
344.0,0.266
344.5,0.260
345.0,0.256
345.5,0.253
346.0,0.249
346.5,0.246
347.0,0.243
347.5,0.240
348.0,0.237
348.5,0.232
349.0,0.225
349.5,0.218
350.0,0.213
350.5,0.211
351.0,0.210
351.5,0.208
352.0,0.204
352.5,0.199
353.0,0.196
353.5,0.193
354.0,0.187
354.5,0.178
355.0,0.171
355.5,0.167
356.0,0.167
356.5,0.170
357.0,0.174
357.5,0.176
358.0,0.176
358.5,0.173
359.0,0.165
359.5,0.154
360.0,0.144
360.5,0.139
361.0,0.140
361.5,0.145
362.0,0.150
362.5,0.153
363.0,0.153
363.5,0.152
364.0,0.148
364.5,0.143
365.0,0.137
365.5,0.135
366.0,0.135
366.5,0.138
367.0,0.141
367.5,0.142
368.0,0.139
368.5,0.131
