Batch,scan002
Instrument ID,084303
Data Mode,A
Sample,Sample001
Cycle,Cycle01
Date Collected,19/06/2025
Time Collected,03:39:39
Entries,Data Points
nm,A
190.0,XXX.XXX
190.5,XXX.XXX
191.0,XXX.XXX
191.5,XXX.XXX
192.0,XXX.XXX
192.5,XXX.XXX
193.0,XXX.XXX
193.5,XXX.XXX
194.0,XXX.XXX
194.5,XXX.XXX
195.0,XXX.XXX
195.5,XXX.XXX
196.0,XXX.XXX
196.5,XXX.XXX
197.0,XXX.XXX
197.5,XXX.XXX
198.0,XXX.XXX
198.5,XXX.XXX
199.0,XXX.XXX
199.5,1.254
200.0,1.258
200.5,1.259
201.0,1.252
201.5,1.239
202.0,1.219
202.5,1.194
203.0,1.166
203.5,1.140
204.0,1.123
204.5,1.113
205.0,1.105
205.5,1.091
206.0,1.073
206.5,1.055
207.0,1.039
207.5,1.024
208.0,1.007
208.5,0.988
209.0,0.970
209.5,0.953
210.0,0.936
210.5,0.916
211.0,0.893
211.5,0.871
212.0,0.848
212.5,0.824
213.0,0.799
213.5,0.773
214.0,0.747
214.5,0.721
215.0,0.696
215.5,0.672
216.0,0.648
216.5,0.624
217.0,0.601
217.5,0.578
218.0,0.557
218.5,0.537
219.0,0.518
219.5,0.501
220.0,0.486
220.5,0.471
221.0,0.457
221.5,0.443
222.0,0.430
222.5,0.417
223.0,0.406
223.5,0.396
224.0,0.386
224.5,0.376
225.0,0.367
225.5,0.358
226.0,0.350
226.5,0.343
227.0,0.336
227.5,0.330
228.0,0.325
228.5,0.319
229.0,0.314
229.5,0.310
230.0,0.305
230.5,0.301
231.0,0.298
231.5,0.294
232.0,0.290
232.5,0.287
233.0,0.284
233.5,0.280
234.0,0.277
234.5,0.274
235.0,0.271
235.5,0.267
236.0,0.265
236.5,0.262
237.0,0.260
237.5,0.258
238.0,0.256
238.5,0.254
239.0,0.252
239.5,0.250
240.0,0.249
240.5,0.248
241.0,0.246
241.5,0.245
242.0,0.243
242.5,0.242
243.0,0.241
243.5,0.240
244.0,0.239
244.5,0.239
245.0,0.238
245.5,0.238
246.0,0.238
246.5,0.237
247.0,0.237
247.5,0.237
248.0,0.236
248.5,0.236
249.0,0.236
249.5,0.236
250.0,0.236
250.5,0.236
251.0,0.236
251.5,0.236
252.0,0.236
252.5,0.236
253.0,0.237
253.5,0.237
254.0,0.237
254.5,0.238
255.0,0.238
255.5,0.239
256.0,0.240
256.5,0.241
257.0,0.242
257.5,0.243
258.0,0.245
258.5,0.246
259.0,0.248
259.5,0.249
260.0,0.251
260.5,0.252
261.0,0.254
261.5,0.256
262.0,0.258
262.5,0.260
263.0,0.263
263.5,0.265
264.0,0.267
264.5,0.269
265.0,0.271
265.5,0.272
266.0,0.274
266.5,0.276
267.0,0.277
267.5,0.279
268.0,0.281
268.5,0.283
269.0,0.285
269.5,0.287
270.0,0.288
270.5,0.290
271.0,0.292
271.5,0.293
272.0,0.294
272.5,0.295
273.0,0.296
273.5,0.297
274.0,0.297
274.5,0.297
275.0,0.297
275.5,0.298
276.0,0.298
276.5,0.298
277.0,0.298
277.5,0.298
278.0,0.298
278.5,0.297
279.0,0.297
279.5,0.296
280.0,0.296
280.5,0.296
281.0,0.297
281.5,0.296
282.0,0.296
282.5,0.295
283.0,0.294
283.5,0.292
284.0,0.291
284.5,0.290
285.0,0.289
285.5,0.288
286.0,0.287
286.5,0.286
287.0,0.284
287.5,0.282
288.0,0.280
288.5,0.279
289.0,0.277
289.5,0.276
290.0,0.274
290.5,0.273
291.0,0.272
291.5,0.271
292.0,0.270
292.5,0.268
293.0,0.267
293.5,0.266
294.0,0.265
294.5,0.264
295.0,0.264
295.5,0.264
296.0,0.263
296.5,0.263
297.0,0.262
297.5,0.262
298.0,0.261
298.5,0.261
299.0,0.261
299.5,0.260
300.0,0.259
300.5,0.258
301.0,0.258
301.5,0.259
302.0,0.260
302.5,0.260
303.0,0.260
303.5,0.260
304.0,0.260
304.5,0.260
305.0,0.261
305.5,0.260
306.0,0.260
306.5,0.260
307.0,0.260
307.5,0.261
308.0,0.262
308.5,0.263
309.0,0.262
309.5,0.262
310.0,0.261
310.5,0.261
311.0,0.262
311.5,0.263
312.0,0.264
312.5,0.265
313.0,0.265
313.5,0.266
314.0,0.267
314.5,0.268
315.0,0.269
315.5,0.270
316.0,0.271
316.5,0.271
317.0,0.272
317.5,0.273
318.0,0.274
318.5,0.274
319.0,0.274
319.5,0.274
320.0,0.274
320.5,0.274
321.0,0.275
321.5,0.275
322.0,0.274
322.5,0.273
323.0,0.274
323.5,0.274
324.0,0.275
324.5,0.274
325.0,0.273
325.5,0.272
326.0,0.271
326.5,0.270
327.0,0.270
327.5,0.270
328.0,0.271
328.5,0.271
329.0,0.270
329.5,0.268
330.0,0.266
330.5,0.265
331.0,0.263
331.5,0.262
332.0,0.262
332.5,0.261
333.0,0.259
333.5,0.258
334.0,0.256
334.5,0.254
335.0,0.253
335.5,0.251
336.0,0.249
336.5,0.246
337.0,0.241
337.5,0.237
338.0,0.234
338.5,0.233
339.0,0.233
339.5,0.236
340.0,0.241
340.5,0.247
341.0,0.252
341.5,0.253
342.0,0.250
342.5,0.246
343.0,0.244
343.5,0.245
344.0,0.245
344.5,0.241
345.0,0.234
345.5,0.227
346.0,0.222
346.5,0.220
347.0,0.220
347.5,0.220
348.0,0.218
348.5,0.215
349.0,0.209
349.5,0.201
350.0,0.195
350.5,0.196
351.0,0.200
351.5,0.203
352.0,0.201
352.5,0.197
353.0,0.195
353.5,0.194
354.0,0.192
354.5,0.186
355.0,0.179
355.5,0.173
356.0,0.170
356.5,0.169
357.0,0.167
357.5,0.163
358.0,0.160
358.5,0.158
359.0,0.155
359.5,0.155
360.0,0.157
360.5,0.162
361.0,0.166
