Batch,scan006
Instrument ID,084303
Data Mode,%T
Sample,Sample001
Cycle,Cycle01
Date Collected,04/02/2025
Time Collected,12:04:44
Entries,Data Points
nm,%T
390.0,XXX.XXX
391.0,XXX.XXX
392.0,XXX.XXX
393.0,XXX.XXX
394.0,67.500
395.0,69.901
396.0,74.487
397.0,75.195
398.0,72.614
399.0,73.524
400.0,75.578
401.0,75.615
402.0,75.242
403.0,75.570
404.0,77.285
405.0,78.486
406.0,78.109
407.0,77.836
408.0,76.305
409.0,74.505
410.0,75.654
411.0,77.403
412.0,78.206
413.0,78.990
414.0,78.290
415.0,76.792
416.0,77.595
417.0,80.033
418.0,81.478
419.0,82.011
420.0,82.301
421.0,81.822
422.0,80.944
423.0,80.593
424.0,80.931
425.0,81.797
426.0,82.544
427.0,82.712
428.0,82.540
429.0,81.888
430.0,81.802
431.0,83.658
432.0,84.652
433.0,83.529
434.0,84.130
435.0,85.845
436.0,85.123
437.0,83.442
438.0,83.377
439.0,84.873
440.0,86.601
441.0,87.610
442.0,87.703
443.0,86.274
444.0,84.661
445.0,84.983
446.0,85.962
447.0,86.395
448.0,86.652
449.0,87.248
450.0,88.394
451.0,88.465
452.0,87.232
453.0,86.850
454.0,87.963
455.0,88.987
456.0,88.127
457.0,86.761
458.0,87.634
459.0,89.293
460.0,89.088
461.0,88.272
462.0,88.440
463.0,88.711
464.0,88.851
465.0,89.586
466.0,90.383
467.0,90.319
468.0,89.550
469.0,89.101
470.0,89.565
471.0,90.154
472.0,90.344
473.0,90.515
474.0,90.497
475.0,90.329
476.0,90.051
477.0,89.551
478.0,89.665
479.0,90.165
480.0,90.618
481.0,91.619
482.0,92.187
483.0,91.745
484.0,91.205
485.0,90.470
486.0,89.824
487.0,90.656
488.0,92.122
489.0,91.697
490.0,90.393
491.0,90.633
492.0,91.674
493.0,92.346
494.0,92.449
495.0,91.796
496.0,91.404
497.0,92.171
498.0,92.761
499.0,92.352
500.0,91.895
501.0,91.646
502.0,91.761
503.0,92.304
504.0,92.319
505.0,92.164
506.0,92.588
507.0,92.914
508.0,93.014
509.0,92.954
510.0,92.985
511.0,93.685
512.0,93.910
513.0,93.360
514.0,93.124
515.0,93.011
516.0,93.036
517.0,93.356
518.0,93.690
519.0,93.761
520.0,93.432
521.0,93.422
522.0,93.759
523.0,93.713
524.0,93.725
525.0,94.215
526.0,94.245
527.0,93.776
528.0,93.860
529.0,94.107
530.0,94.200
531.0,94.517
532.0,94.482
533.0,94.097
534.0,94.093
535.0,94.221
536.0,94.267
