nm,TChMG20,TChMG05,TChMG50,TChMG
390.0,,,,
391.0,,,,
392.0,,,,
393.0,,,,
394.0,43.391,67.5,50.758,50.229
395.0,45.328,69.901,50.904,50.547
396.0,46.0,74.487,51.008,50.026
397.0,46.883,75.195,51.622,50.368
398.0,47.246,72.614,51.614,51.373
399.0,47.684,73.524,52.313,51.265
400.0,49.419,75.578,53.612,51.045
401.0,49.642,75.615,53.134,53.127
402.0,48.467,75.242,52.83,55.201
403.0,49.041,75.57,54.546,55.474
404.0,50.47,77.285,55.354,56.227
405.0,51.242,78.486,54.268,57.382
406.0,51.576,78.109,53.519,57.284
407.0,51.751,77.836,54.374,56.528
408.0,52.714,76.305,56.679,57.133
409.0,53.561,74.505,59.242,59.126
410.0,52.925,75.654,60.617,60.556
411.0,52.406,77.403,59.994,60.879
412.0,52.536,78.206,58.877,60.055
413.0,52.815,78.99,59.469,59.153
414.0,54.306,78.29,60.247,59.239
415.0,56.615,76.792,60.638,59.156
416.0,58.077,77.595,61.758,59.525
417.0,58.223,80.033,62.21,60.743
418.0,57.594,81.478,62.271,61.01
419.0,57.072,82.011,62.528,60.902
420.0,57.139,82.301,62.143,61.944
421.0,57.731,81.822,62.289,62.787
422.0,58.784,80.944,63.226,61.722
423.0,60.757,80.593,63.812,61.465
424.0,62.625,80.931,64.603,63.246
425.0,62.1,81.797,65.691,63.79
426.0,61.491,82.544,66.161,64.655
427.0,63.427,82.712,66.295,67.14
428.0,63.824,82.54,66.06,66.774
429.0,61.604,81.888,65.339,64.69
430.0,61.379,81.802,64.947,65.321
431.0,63.746,83.658,65.677,66.67
432.0,65.619,84.652,67.379,66.606
433.0,64.872,83.529,68.162,66.465
434.0,63.128,84.13,67.693,66.749
435.0,62.969,85.845,67.269,67.517
436.0,63.98,85.123,67.971,68.536
437.0,64.883,83.442,69.95,69.082
438.0,64.325,83.377,70.756,69.166
439.0,63.524,84.873,70.658,68.929
440.0,64.81,86.601,71.837,68.894
441.0,66.192,87.61,72.562,69.14
442.0,65.896,87.703,72.145,68.673
443.0,65.766,86.274,71.834,68.325
444.0,66.785,84.661,71.636,69.472
445.0,67.496,84.983,72.538,70.882
446.0,66.848,85.962,73.945,70.869
447.0,65.806,86.395,73.257,69.831
448.0,66.203,86.652,72.124,69.717
449.0,67.843,87.248,73.736,71.094
450.0,68.367,88.394,76.044,72.285
451.0,67.833,88.465,75.765,72.251
452.0,68.482,87.232,74.125,71.573
453.0,69.541,86.85,73.264,71.949
454.0,69.092,87.963,73.514,74.063
455.0,69.02,88.987,74.504,74.766
456.0,70.31,88.127,75.4,72.713
457.0,69.982,86.761,76.032,71.773
458.0,68.76,87.634,76.419,73.287
459.0,69.609,89.293,76.532,74.296
460.0,70.884,89.088,77.005,73.482
461.0,70.716,88.272,77.539,73.014
462.0,70.561,88.44,77.28,74.444
463.0,71.747,88.711,77.05,75.824
464.0,73.07,88.851,77.283,75.829
465.0,73.088,89.586,77.237,75.889
466.0,72.528,90.383,77.547,76.28
467.0,72.861,90.319,78.822,76.258
468.0,73.795,89.55,79.782,76.514
469.0,73.894,89.101,79.238,76.928
470.0,73.411,89.565,78.153,76.806
471.0,73.291,90.154,78.249,76.857
472.0,73.338,90.344,79.709,77.305
473.0,73.198,90.515,81.125,77.701
474.0,73.43,90.497,81.289,77.685
475.0,74.454,90.329,80.654,77.277
476.0,75.162,90.051,80.126,77.176
477.0,75.217,89.551,79.734,77.455
478.0,75.438,89.665,79.59,78.056
479.0,75.137,90.165,80.163,78.739
480.0,74.621,90.618,81.213,78.528
481.0,75.427,91.619,81.914,77.917
482.0,76.31,92.187,82.131,78.21
483.0,76.143,91.745,82.444,79.069
484.0,75.608,91.205,82.47,79.457
485.0,75.197,90.47,82.101,79.586
486.0,75.66,89.824,82.673,80.021
487.0,76.381,90.656,83.499,79.957
488.0,76.675,92.122,82.979,79.38
489.0,77.187,91.697,82.471,79.615
490.0,77.142,90.393,83.325,80.554
491.0,76.604,90.633,84.186,81.133
492.0,77.128,91.674,84.0,80.795
493.0,77.971,92.346,83.791,80.287
494.0,78.191,92.449,84.289,80.727
495.0,78.322,91.796,84.686,81.38
496.0,78.278,91.404,84.588,81.5
497.0,78.289,92.171,84.567,81.6
498.0,78.584,92.761,84.807,81.412
499.0,78.679,92.352,85.152,80.972
500.0,78.935,91.895,85.31,81.323
501.0,79.169,91.646,85.25,82.058
502.0,78.801,91.761,85.295,82.206
503.0,78.438,92.304,85.106,81.927
504.0,78.45,92.319,85.127,81.871
505.0,78.806,92.164,85.809,82.448
506.0,79.307,92.588,86.157,83.123
507.0,79.58,92.914,86.197,83.173
508.0,79.777,93.014,86.136,82.757
509.0,79.57,92.954,86.106,82.53
510.0,79.021,92.985,86.843,82.92
511.0,79.471,93.685,87.225,83.487
512.0,80.526,93.91,86.579,83.498
513.0,80.951,93.36,86.362,83.406
514.0,81.208,93.124,86.79,83.545
515.0,81.108,93.011,87.399,83.154
516.0,80.256,93.036,87.872,82.815
517.0,80.138,93.356,87.563,83.617
518.0,80.937,93.69,87.268,84.556
519.0,81.032,93.761,87.506,84.517
520.0,80.595,93.432,87.552,84.408
521.0,80.675,93.422,87.735,84.81
522.0,81.039,93.759,88.232,84.964
523.0,81.38,93.713,88.782,84.854
524.0,81.953,93.725,89.192,84.774
525.0,82.229,94.215,88.899,84.812
526.0,82.0,94.245,88.634,84.987
527.0,82.176,93.776,88.842,84.95
528.0,82.391,93.86,88.763,85.024
529.0,82.019,94.107,88.751,85.535
530.0,81.796,94.2,89.017,86.014
531.0,82.074,94.517,89.198,86.083
532.0,82.375,94.482,89.429,85.69
533.0,82.454,94.097,89.732,85.336
534.0,82.458,94.093,89.846,85.606
535.0,82.541,94.221,89.593,86.124
536.0,82.923,94.267,89.331,86.187
