Batch,scan008
Instrument ID,084303
Data Mode,%T
Sample,Sample001
Cycle,Cycle01
Date Collected,16/01/2025
Time Collected,03:48:54
Entries,Data Points
nm,%T
390.0,XXX.XXX
391.0,XXX.XXX
392.0,XXX.XXX
393.0,XXX.XXX
394.0,45.814
395.0,46.919
396.0,50.278
397.0,51.182
398.0,51.130
399.0,50.128
400.0,49.525
401.0,51.151
402.0,52.369
403.0,53.150
404.0,55.149
405.0,56.177
406.0,55.246
407.0,55.038
408.0,56.113
409.0,56.117
410.0,55.432
411.0,56.677
412.0,59.217
413.0,59.999
414.0,58.587
415.0,57.902
416.0,59.372
417.0,60.376
418.0,59.852
419.0,60.083
420.0,61.214
421.0,62.050
422.0,62.063
423.0,61.190
424.0,61.215
425.0,62.971
426.0,64.757
427.0,65.604
428.0,65.467
429.0,64.290
430.0,64.437
431.0,66.528
432.0,66.599
433.0,64.771
434.0,64.466
435.0,65.731
436.0,66.606
437.0,65.958
438.0,66.253
439.0,68.981
440.0,70.627
441.0,70.078
442.0,69.430
443.0,69.100
444.0,69.131
445.0,69.361
446.0,69.906
447.0,71.257
448.0,71.303
449.0,70.029
450.0,70.700
451.0,72.388
452.0,72.571
453.0,71.984
454.0,71.952
455.0,72.607
456.0,73.526
457.0,73.915
458.0,73.742
459.0,74.169
460.0,74.869
461.0,75.066
462.0,75.303
463.0,75.672
464.0,75.870
465.0,75.610
466.0,75.425
467.0,75.820
468.0,75.797
469.0,75.536
470.0,75.923
471.0,77.010
472.0,78.076
473.0,77.901
474.0,77.883
475.0,78.782
476.0,78.690
477.0,78.228
478.0,78.519
479.0,78.834
480.0,79.003
481.0,78.987
482.0,79.041
483.0,79.830
484.0,80.522
485.0,80.566
486.0,80.515
487.0,80.271
488.0,80.367
489.0,80.902
490.0,80.784
491.0,80.543
492.0,81.189
493.0,82.030
494.0,82.532
495.0,82.906
496.0,82.617
497.0,82.031
498.0,82.103
499.0,82.132
500.0,82.085
501.0,82.873
502.0,83.928
503.0,84.323
504.0,84.064
505.0,83.652
506.0,83.682
507.0,84.152
508.0,84.279
509.0,84.098
510.0,84.788
511.0,85.611
512.0,84.886
513.0,84.128
514.0,84.861
515.0,85.518
516.0,85.345
517.0,85.349
518.0,85.594
519.0,85.663
520.0,85.802
521.0,86.059
522.0,86.304
523.0,86.606
524.0,86.773
525.0,86.736
526.0,86.991
527.0,87.408
528.0,87.013
529.0,86.340
530.0,86.619
531.0,87.106
532.0,87.203
533.0,87.403
534.0,87.576
535.0,87.729
536.0,88.099
