Batch,scan002
Instrument ID,084303
Data Mode,%T
Sample,Sample001
Cycle,Cycle01
Date Collected,05/02/2025
Time Collected,03:47:05
Entries,Data Points
nm,%T
390.0,XXX.XXX
391.0,XXX.XXX
392.0,XXX.XXX
393.0,XXX.XXX
394.0,21.408
395.0,22.361
396.0,23.057
397.0,22.907
398.0,23.500
399.0,24.949
400.0,25.625
401.0,25.647
402.0,26.568
403.0,28.001
404.0,29.109
405.0,30.583
406.0,31.679
407.0,31.653
408.0,32.018
409.0,32.881
410.0,33.270
411.0,33.876
412.0,34.627
413.0,35.109
414.0,36.174
415.0,37.458
416.0,38.627
417.0,40.200
418.0,40.942
419.0,40.571
420.0,41.154
421.0,42.844
422.0,43.921
423.0,44.045
424.0,44.148
425.0,44.782
426.0,45.831
427.0,46.432
428.0,45.819
429.0,45.294
430.0,46.202
431.0,47.386
432.0,47.572
433.0,47.312
434.0,47.722
435.0,48.887
436.0,49.994
437.0,50.575
438.0,51.109
439.0,51.710
440.0,52.092
441.0,52.906
442.0,53.739
443.0,53.581
444.0,53.544
445.0,54.655
446.0,55.730
447.0,55.328
448.0,54.704
449.0,55.873
450.0,56.976
451.0,56.322
452.0,56.586
453.0,58.519
454.0,59.373
455.0,58.899
456.0,58.706
457.0,58.756
458.0,58.542
459.0,58.800
460.0,60.264
461.0,61.443
462.0,61.061
463.0,60.611
464.0,60.799
465.0,60.841
466.0,61.272
467.0,62.515
468.0,63.094
469.0,62.555
470.0,62.703
471.0,63.881
472.0,64.769
473.0,64.767
474.0,64.410
475.0,64.782
476.0,65.377
477.0,65.002
478.0,64.727
479.0,65.785
480.0,67.067
481.0,67.511
482.0,67.463
483.0,67.295
484.0,67.357
485.0,67.778
486.0,68.131
487.0,68.233
488.0,68.271
489.0,68.537
490.0,68.995
491.0,69.407
492.0,70.030
493.0,70.574
494.0,70.472
495.0,70.257
496.0,70.366
497.0,70.504
498.0,70.643
499.0,71.026
500.0,71.147
501.0,70.863
502.0,71.219
503.0,72.196
504.0,72.950
505.0,73.258
506.0,73.118
507.0,73.181
508.0,73.923
509.0,74.359
510.0,74.288
511.0,74.511
512.0,74.673
513.0,74.527
514.0,74.544
515.0,74.609
516.0,74.935
517.0,75.810
518.0,76.302
519.0,76.284
520.0,76.371
521.0,76.195
522.0,75.953
523.0,76.381
524.0,77.103
525.0,77.352
526.0,77.095
527.0,76.872
528.0,77.122
529.0,77.690
530.0,78.204
531.0,78.525
532.0,78.745
533.0,78.977
534.0,79.192
535.0,79.257
536.0,79.227
