Batch	scan002
Instrument ID	084303
Data Mode	%T
Sample	Sample001
Cycle	Cycle01
Date Collected	16/01/2025
Time Collected	03:04:05
Entries	Data Points
nm	%T
390.0	XXX.XXX
391.0	XXX.XXX
392.0	XXX.XXX
393.0	XXX.XXX
394.0	58.853
395.0	57.428
396.0	54.906
397.0	55.418
398.0	57.603
399.0	59.165
400.0	59.661
401.0	60.465
402.0	61.447
403.0	61.157
404.0	60.478
405.0	59.831
406.0	59.025
407.0	59.139
408.0	61.805
409.0	64.476
410.0	63.102
411.0	61.416
412.0	63.102
413.0	64.830
414.0	63.846
415.0	62.405
416.0	63.811
417.0	65.607
418.0	64.905
419.0	64.347
420.0	65.243
421.0	66.991
422.0	68.837
423.0	68.641
424.0	67.212
425.0	67.462
426.0	68.670
427.0	69.441
428.0	70.336
429.0	69.820
430.0	67.707
431.0	67.752
432.0	69.813
433.0	70.418
434.0	70.412
435.0	71.692
436.0	72.464
437.0	72.056
438.0	72.086
439.0	72.698
440.0	73.313
441.0	73.124
442.0	71.919
443.0	72.045
444.0	73.808
445.0	74.274
446.0	74.140
447.0	75.033
448.0	75.090
449.0	74.254
450.0	74.196
451.0	74.214
452.0	73.746
453.0	74.215
454.0	75.741
455.0	76.478
456.0	75.750
457.0	75.721
458.0	77.465
459.0	78.057
460.0	77.134
461.0	77.019
462.0	77.120
463.0	77.146
464.0	77.669
465.0	78.231
466.0	78.476
467.0	78.454
468.0	78.627
469.0	78.930
470.0	79.033
471.0	79.019
472.0	79.438
473.0	80.572
474.0	81.163
475.0	80.843
476.0	80.922
477.0	80.903
478.0	80.008
479.0	80.108
480.0	81.541
481.0	82.136
482.0	81.926
483.0	81.847
484.0	81.799
485.0	81.977
486.0	81.587
487.0	80.799
488.0	81.503
489.0	82.367
490.0	81.904
491.0	82.336
492.0	83.729
493.0	83.790
494.0	83.348
495.0	83.478
496.0	83.116
497.0	82.414
498.0	82.558
499.0	83.619
500.0	84.533
501.0	84.523
502.0	83.815
503.0	83.446
504.0	84.171
505.0	84.944
506.0	84.817
507.0	84.607
508.0	84.688
509.0	84.312
510.0	84.071
511.0	85.029
512.0	85.759
513.0	85.471
514.0	85.438
515.0	85.343
516.0	85.203
517.0	85.738
518.0	85.816
519.0	85.643
520.0	86.410
521.0	86.946
522.0	86.526
523.0	86.325
524.0	86.473
525.0	86.304
526.0	86.184
527.0	86.757
528.0	87.641
529.0	87.831
530.0	87.167
531.0	86.434
532.0	86.399
533.0	86.937
534.0	87.208
535.0	86.972
536.0	86.842
