Batch	scan004
Instrument ID	084303
Data Mode	%T
Sample	Sample001
Cycle	Cycle01
Date Collected	19/02/2025
Time Collected	01:12:25
Entries	Data Points
nm	%T
390.0	XXX.XXX
391.0	XXX.XXX
392.0	XXX.XXX
393.0	XXX.XXX
394.0	52.298
395.0	52.344
396.0	50.736
397.0	51.784
398.0	53.968
399.0	54.219
400.0	54.320
401.0	55.510
402.0	55.751
403.0	55.919
404.0	57.329
405.0	57.596
406.0	56.239
407.0	56.542
408.0	58.457
409.0	59.075
410.0	59.013
411.0	60.088
412.0	60.834
413.0	59.910
414.0	59.762
415.0	61.362
416.0	62.710
417.0	63.488
418.0	63.854
419.0	64.291
420.0	65.340
421.0	64.609
422.0	62.504
423.0	62.894
424.0	64.267
425.0	64.319
426.0	65.345
427.0	66.836
428.0	66.862
429.0	67.324
430.0	67.695
431.0	66.455
432.0	66.251
433.0	67.535
434.0	68.622
435.0	68.791
436.0	67.705
437.0	67.705
438.0	69.409
439.0	70.893
440.0	72.168
441.0	72.104
442.0	71.210
443.0	71.915
444.0	72.109
445.0	70.991
446.0	71.256
447.0	72.434
448.0	72.952
449.0	73.441
450.0	73.931
451.0	73.974
452.0	74.635
453.0	75.505
454.0	75.058
455.0	74.284
456.0	74.629
457.0	75.512
458.0	75.661
459.0	75.643
460.0	76.570
461.0	77.236
462.0	76.919
463.0	76.553
464.0	76.526
465.0	77.148
466.0	77.990
467.0	78.304
468.0	78.539
469.0	78.663
470.0	78.538
471.0	78.659
472.0	78.816
473.0	78.759
474.0	78.587
475.0	78.566
476.0	79.432
477.0	80.841
478.0	81.370
479.0	80.946
480.0	80.648
481.0	80.870
482.0	81.103
483.0	81.094
484.0	81.189
485.0	81.278
486.0	81.107
487.0	80.965
488.0	81.328
489.0	82.253
490.0	82.664
491.0	82.053
492.0	81.970
493.0	83.094
494.0	83.623
495.0	82.930
496.0	82.797
497.0	83.520
498.0	83.845
499.0	83.721
500.0	83.514
501.0	83.782
502.0	84.909
503.0	85.332
504.0	84.678
505.0	84.909
506.0	85.701
507.0	85.691
508.0	85.550
509.0	85.594
510.0	85.707
511.0	86.143
512.0	86.252
513.0	86.341
514.0	87.060
515.0	87.138
516.0	86.499
517.0	86.252
518.0	85.931
519.0	85.603
520.0	86.235
521.0	87.207
522.0	87.403
523.0	87.260
524.0	87.623
525.0	88.001
526.0	87.708
527.0	87.491
528.0	88.072
529.0	88.603
530.0	88.386
531.0	88.201
532.0	88.460
533.0	88.313
534.0	87.834
535.0	88.163
536.0	88.770
