Batch	scan006
Instrument ID	084303
Data Mode	%T
Sample	Sample001
Cycle	Cycle01
Date Collected	18/02/2025
Time Collected	11:04:07
Entries	Data Points
nm	%T
390.0	XXX.XXX
391.0	XXX.XXX
392.0	XXX.XXX
393.0	XXX.XXX
394.0	70.454
395.0	74.328
396.0	74.831
397.0	72.808
398.0	72.763
399.0	74.194
400.0	75.714
401.0	77.863
402.0	78.060
403.0	74.964
404.0	73.242
405.0	75.048
406.0	77.048
407.0	77.155
408.0	76.208
409.0	76.494
410.0	78.169
411.0	78.932
412.0	78.773
413.0	78.241
414.0	77.762
415.0	78.606
416.0	79.493
417.0	79.339
418.0	79.654
419.0	80.755
420.0	82.143
421.0	83.116
422.0	82.484
423.0	82.038
424.0	83.190
425.0	82.736
426.0	80.549
427.0	81.358
428.0	85.269
429.0	87.510
430.0	86.131
431.0	84.246
432.0	84.560
433.0	85.641
434.0	86.839
435.0	87.878
436.0	86.743
437.0	84.691
438.0	84.534
439.0	86.024
440.0	87.442
441.0	87.509
442.0	86.181
443.0	85.260
444.0	85.584
445.0	85.933
446.0	86.436
447.0	87.366
448.0	87.239
449.0	86.710
450.0	87.770
451.0	89.000
452.0	89.339
453.0	90.262
454.0	90.862
455.0	90.063
456.0	88.903
457.0	87.733
458.0	87.543
459.0	88.681
460.0	89.250
461.0	89.260
462.0	89.862
463.0	90.385
464.0	90.272
465.0	89.852
466.0	89.521
467.0	89.485
468.0	89.400
469.0	89.382
470.0	89.895
471.0	89.760
472.0	88.643
473.0	88.670
474.0	89.724
475.0	90.124
476.0	90.112
477.0	89.841
478.0	89.379
479.0	89.329
480.0	89.679
481.0	90.420
482.0	90.968
483.0	90.616
484.0	90.543
485.0	91.094
486.0	90.885
487.0	90.215
488.0	90.013
489.0	90.541
490.0	91.319
491.0	91.319
492.0	91.286
493.0	91.699
494.0	91.379
495.0	90.434
496.0	90.255
497.0	91.195
498.0	91.904
499.0	91.514
500.0	91.061
501.0	91.475
502.0	91.971
503.0	91.474
504.0	90.505
505.0	90.676
506.0	92.138
507.0	93.189
508.0	93.020
509.0	92.151
510.0	91.339
511.0	91.352
512.0	91.807
513.0	92.127
514.0	92.447
515.0	92.312
516.0	92.209
517.0	93.067
518.0	93.485
519.0	92.600
520.0	92.087
521.0	92.773
522.0	93.382
523.0	93.192
524.0	92.817
525.0	92.774
526.0	93.243
527.0	93.621
528.0	93.288
529.0	93.237
530.0	93.902
531.0	93.944
532.0	93.184
533.0	92.828
534.0	93.077
535.0	93.295
536.0	93.347
