nm,TOxMM20,TOxMM05,TOxMM50,TOxMM
390.0,,,,
391.0,,,,
392.0,,,,
393.0,,,,
394.0,31.186,48.866,28.14,39.213
395.0,32.795,50.579,29.17,40.955
396.0,34.787,51.672,30.068,41.226
397.0,34.369,53.133,30.233,40.217
398.0,33.189,55.511,30.418,41.047
399.0,33.786,55.412,30.953,43.176
400.0,35.176,52.916,31.708,44.22
401.0,36.205,52.779,32.746,44.399
402.0,36.98,54.098,33.649,43.857
403.0,37.844,55.151,34.076,43.11
404.0,39.06,57.474,34.835,43.441
405.0,40.285,58.508,36.223,44.803
406.0,41.22,57.853,37.287,46.901
407.0,41.647,58.704,37.821,48.851
408.0,40.748,58.853,38.377,49.685
409.0,40.058,56.837,38.732,49.406
410.0,41.449,56.275,38.288,48.493
411.0,42.606,57.856,37.642,47.917
412.0,42.692,59.601,37.948,48.332
413.0,43.537,60.78,39.28,49.441
414.0,45.015,62.053,40.974,50.236
415.0,45.933,64.177,42.366,50.334
416.0,45.376,64.923,42.787,50.752
417.0,44.337,62.858,42.312,50.913
418.0,45.488,61.317,42.35,49.756
419.0,48.369,62.286,43.122,49.972
420.0,49.473,64.014,43.617,52.802
421.0,48.577,65.423,44.615,54.865
422.0,48.293,66.007,46.14,54.678
423.0,49.464,65.639,46.285,54.35
424.0,50.642,65.837,45.788,55.456
425.0,50.563,67.574,46.309,57.195
426.0,50.049,68.88,46.662,57.977
427.0,49.66,68.62,46.93,57.586
428.0,50.07,68.589,48.139,56.978
429.0,51.886,68.367,48.283,56.944
430.0,53.512,68.889,47.381,57.659
431.0,54.29,71.423,48.157,59.065
432.0,54.385,71.745,49.731,60.44
433.0,53.756,70.181,50.258,60.532
434.0,53.371,70.183,51.021,59.511
435.0,53.596,70.394,52.29,58.864
436.0,54.059,70.788,52.448,58.991
437.0,54.647,71.876,51.993,59.574
438.0,55.507,72.129,52.303,61.037
439.0,55.832,71.428,53.159,62.239
440.0,54.93,70.586,53.486,62.186
441.0,54.506,70.909,53.207,62.405
442.0,56.01,73.055,53.58,62.84
443.0,58.21,74.741,54.507,63.328
444.0,58.869,74.626,54.695,64.46
445.0,57.83,74.549,54.638,64.06
446.0,57.164,75.617,55.17,62.247
447.0,57.585,76.722,55.78,62.667
448.0,57.928,76.201,56.512,64.494
449.0,57.944,74.853,56.881,64.358
450.0,58.474,74.45,56.886,63.527
451.0,59.754,74.717,58.178,64.291
452.0,60.643,75.841,59.097,65.344
453.0,60.306,77.242,58.435,65.144
454.0,60.092,77.318,58.918,64.695
455.0,61.238,76.896,60.076,65.521
456.0,62.679,76.538,60.228,67.181
457.0,63.083,76.111,60.642,68.204
458.0,62.829,76.153,61.409,68.255
459.0,62.867,76.076,61.729,68.201
460.0,63.25,76.198,61.597,68.444
461.0,63.102,77.378,61.155,68.319
462.0,62.488,78.838,61.291,67.695
463.0,62.894,79.698,62.33,67.118
464.0,64.288,79.062,63.111,67.469
465.0,65.478,77.518,63.034,69.178
466.0,66.052,77.223,62.807,70.507
467.0,66.015,78.245,62.908,70.311
468.0,65.843,79.158,63.502,70.292
469.0,65.999,79.508,64.538,70.877
470.0,66.254,79.782,65.323,70.775
471.0,66.603,79.981,65.581,70.781
472.0,67.229,79.484,65.701,71.38
473.0,67.388,79.164,65.886,71.459
474.0,67.212,80.016,65.919,71.361
475.0,67.748,80.899,65.801,72.015
476.0,68.058,81.325,66.008,72.744
477.0,67.687,81.582,66.843,72.865
478.0,68.061,80.736,67.787,73.134
479.0,68.604,79.617,67.757,73.088
480.0,68.172,80.121,67.246,72.632
481.0,68.047,81.077,67.701,73.384
482.0,68.897,81.214,68.446,74.641
483.0,69.864,81.522,68.712,75.106
484.0,70.52,81.816,68.941,75.214
485.0,70.791,81.099,69.038,75.369
486.0,71.213,80.821,69.511,75.4
487.0,71.748,82.188,70.218,75.198
488.0,71.538,83.505,70.054,75.288
489.0,71.446,83.947,69.958,75.603
490.0,72.201,83.924,70.706,75.481
491.0,72.575,83.46,71.32,75.32
492.0,72.337,83.273,71.546,75.682
493.0,72.352,83.483,72.01,76.571
494.0,72.807,83.817,72.674,77.532
495.0,73.395,83.965,72.914,77.621
496.0,73.719,83.591,72.663,77.409
497.0,73.971,83.994,72.303,78.102
498.0,74.183,85.082,72.04,78.704
499.0,73.798,84.832,72.383,78.445
500.0,73.607,84.048,73.584,77.951
501.0,74.506,84.576,74.458,77.439
502.0,75.142,85.246,74.523,77.239
503.0,74.656,84.733,74.822,77.777
504.0,74.31,84.168,75.135,78.734
505.0,74.589,84.367,75.027,79.266
506.0,74.721,84.574,75.2,79.289
507.0,74.982,84.507,75.23,79.29
508.0,75.933,84.682,74.799,79.2
509.0,76.689,85.132,75.01,79.364
510.0,76.513,85.328,75.876,79.948
511.0,76.129,85.142,76.451,80.266
512.0,76.44,85.206,76.675,80.229
513.0,76.866,85.643,76.862,80.048
514.0,76.674,85.654,76.868,79.86
515.0,76.698,85.472,76.902,80.092
516.0,77.095,86.063,77.365,80.564
517.0,77.278,86.796,77.722,80.686
518.0,77.485,86.636,77.778,80.919
519.0,77.593,85.96,77.97,81.516
520.0,77.494,85.655,78.249,81.42
521.0,77.637,85.929,78.56,80.825
522.0,77.959,86.495,78.655,80.983
523.0,78.136,86.914,78.586,81.617
524.0,78.298,87.03,78.933,81.954
525.0,78.682,87.485,79.478,82.148
526.0,79.043,87.758,79.911,82.511
527.0,79.145,87.137,79.924,82.63
528.0,79.324,86.97,79.617,82.244
529.0,79.559,87.775,80.139,82.473
530.0,79.682,88.357,80.909,83.397
531.0,79.981,88.152,80.739,83.517
532.0,80.221,88.006,80.618,83.098
533.0,80.128,88.272,80.89,83.249
534.0,80.034,87.925,80.664,83.832
535.0,80.197,87.271,80.548,84.173
536.0,80.609,87.338,81.338,83.849
