nm,TMiMG20,TMiMG50,TMiMG,TMiMG05
390.0,,,,
391.0,,,,
392.0,,,,
393.0,,,,
394.0,61.142,54.249,75.654,70.454
395.0,61.882,55.521,75.661,74.328
396.0,61.594,57.036,76.301,74.831
397.0,59.76,56.346,76.991,72.808
398.0,58.96,55.012,76.758,72.763
399.0,59.89,56.318,77.756,74.194
400.0,63.168,59.245,79.461,75.714
401.0,66.119,60.803,78.852,77.863
402.0,65.092,60.623,76.472,78.06
403.0,62.095,60.037,74.194,74.964
404.0,60.838,59.352,74.557,73.242
405.0,61.959,59.633,77.812,75.048
406.0,64.467,60.631,78.057,77.048
407.0,66.633,60.456,74.673,77.155
408.0,67.532,61.371,74.606,76.208
409.0,68.197,63.364,76.539,76.494
410.0,69.41,62.591,75.406,78.169
411.0,69.34,61.556,74.587,78.932
412.0,66.881,62.772,75.602,78.773
413.0,65.608,63.006,75.339,78.241
414.0,67.873,62.402,74.051,77.762
415.0,69.766,63.729,73.767,78.606
416.0,68.647,65.485,74.832,79.493
417.0,68.157,65.013,74.663,79.339
418.0,70.497,63.951,73.044,79.654
419.0,71.888,65.659,72.718,80.755
420.0,70.752,68.492,73.041,82.143
421.0,71.04,68.709,73.163,83.116
422.0,72.766,67.493,73.999,82.484
423.0,72.332,67.259,73.821,82.038
424.0,71.059,67.443,71.044,83.19
425.0,71.371,67.38,69.89,82.736
426.0,71.902,67.598,72.725,80.549
427.0,71.554,68.356,74.57,81.358
428.0,71.433,68.89,74.129,85.269
429.0,72.498,68.669,74.517,87.51
430.0,74.141,68.807,73.71,86.131
431.0,75.166,69.593,70.983,84.246
432.0,75.31,69.973,71.354,84.56
433.0,74.997,70.495,74.12,85.641
434.0,74.708,71.146,74.993,86.839
435.0,74.412,70.658,74.742,87.878
436.0,74.684,70.586,73.975,86.743
437.0,76.129,72.733,72.816,84.691
438.0,77.29,73.945,73.06,84.534
439.0,77.497,71.643,74.171,86.024
440.0,77.024,70.276,74.536,87.442
441.0,76.276,72.419,73.784,87.509
442.0,76.716,73.929,72.451,86.181
443.0,77.326,73.456,72.218,85.26
444.0,76.506,73.209,73.557,85.584
445.0,76.148,73.934,74.669,85.933
446.0,77.162,74.868,74.67,86.436
447.0,78.175,75.129,74.563,87.366
448.0,78.777,75.073,75.03,87.239
449.0,78.837,75.199,75.394,86.71
450.0,78.657,75.671,74.67,87.77
451.0,78.934,75.56,73.81,89.0
452.0,79.347,74.274,74.973,89.339
453.0,79.8,73.935,76.798,90.262
454.0,79.85,75.119,76.297,90.862
455.0,78.825,75.906,74.548,90.063
456.0,77.823,75.92,73.816,88.903
457.0,78.3,76.379,73.977,87.733
458.0,80.254,77.108,74.41,87.543
459.0,81.312,77.111,75.069,88.681
460.0,80.461,77.353,75.946,89.25
461.0,80.542,77.979,76.76,89.26
462.0,81.873,77.351,77.283,89.862
463.0,82.316,76.481,77.575,90.385
464.0,82.215,77.788,77.232,90.272
465.0,81.986,79.681,76.376,89.852
466.0,81.183,79.575,76.415,89.521
467.0,80.643,78.903,77.331,89.485
468.0,81.139,79.03,77.692,89.4
469.0,82.012,79.198,77.534,89.382
470.0,82.452,79.34,77.601,89.895
471.0,82.622,80.033,78.15,89.76
472.0,82.929,80.747,79.187,88.643
473.0,83.145,80.612,79.483,88.67
474.0,83.178,80.402,78.42,89.724
475.0,83.255,80.932,77.791,90.124
476.0,83.365,81.302,78.392,90.112
477.0,83.246,80.945,78.74,89.841
478.0,82.978,80.902,78.278,89.379
479.0,83.393,81.347,78.193,89.329
480.0,84.414,81.525,78.9,89.679
481.0,84.804,81.495,79.491,90.42
482.0,84.236,81.153,79.442,90.968
483.0,83.519,81.09,79.414,90.616
484.0,83.277,81.979,79.61,90.543
485.0,83.724,82.601,79.397,91.094
486.0,84.62,82.62,79.155,90.885
487.0,85.004,82.723,79.434,90.215
488.0,84.878,82.888,80.374,90.013
489.0,85.113,83.26,81.33,90.541
490.0,85.332,83.52,81.244,91.319
491.0,84.813,83.757,80.886,91.319
492.0,84.279,84.183,81.136,91.286
493.0,84.811,84.075,81.303,91.699
494.0,85.59,83.868,81.087,91.379
495.0,85.572,83.708,80.998,90.434
496.0,85.472,83.37,81.128,90.255
497.0,85.671,83.726,81.293,91.195
498.0,85.97,84.273,81.682,91.904
499.0,86.457,84.557,82.352,91.514
500.0,86.694,84.964,82.47,91.061
501.0,86.422,84.955,82.054,91.475
502.0,86.515,84.971,82.375,91.971
503.0,87.299,85.423,82.995,91.474
504.0,87.525,85.535,82.897,90.505
505.0,86.844,85.586,82.817,90.676
506.0,86.551,85.729,83.132,92.138
507.0,86.893,85.53,83.131,93.189
508.0,87.047,85.558,82.944,93.02
509.0,87.487,85.735,83.041,92.151
510.0,88.401,85.622,83.063,91.339
511.0,88.183,85.942,82.977,91.352
512.0,87.107,86.335,83.268,91.807
513.0,87.183,85.964,83.665,92.127
514.0,88.024,85.975,83.616,92.447
515.0,88.014,86.601,83.637,92.312
516.0,87.426,86.434,84.081,92.209
517.0,87.112,86.087,84.145,93.067
518.0,87.221,86.591,83.932,93.485
519.0,88.045,87.024,84.009,92.6
520.0,88.643,86.961,83.922,92.087
521.0,88.235,86.995,83.99,92.773
522.0,88.051,86.896,84.542,93.382
523.0,88.433,86.775,84.595,93.192
524.0,88.857,87.392,84.16,92.817
525.0,89.075,88.02,84.251,92.774
526.0,88.855,88.166,84.82,93.243
527.0,88.634,88.047,85.048,93.621
528.0,88.825,87.485,84.848,93.288
529.0,89.104,87.571,84.937,93.237
530.0,88.878,88.516,85.155,93.902
531.0,88.397,88.641,84.96,93.944
532.0,88.423,88.077,84.89,93.184
533.0,88.691,87.912,85.236,92.828
534.0,88.654,87.784,85.573,93.077
535.0,88.435,87.776,85.593,93.295
536.0,88.559,88.44,85.612,93.347
