nm,AOxMM05,AOxMM,AOxMM50,AOxMM20
200.0,,,,
200.5,,,,
201.0,,,,
201.5,,,,
202.0,,,,
202.5,,,,
203.0,,,,
203.5,,,,
204.0,1.348,,,
204.5,1.313,,,
205.0,1.265,,,
205.5,1.211,,,
206.0,1.159,,,
206.5,1.11,,,
207.0,1.067,,,
207.5,1.028,,,
208.0,0.992,,,
208.5,0.958,,,
209.0,0.929,,,
209.5,0.903,,,
210.0,0.878,,,
210.5,0.851,,,
211.0,0.823,,,
211.5,0.796,,,
212.0,0.773,,,
212.5,0.751,,,
213.0,0.729,,,
213.5,0.708,,,
214.0,0.689,,,
214.5,0.671,,,
215.0,0.654,,,
215.5,0.637,,,
216.0,0.62,,,
216.5,0.603,,,
217.0,0.588,,,
217.5,0.574,,,
218.0,0.56,,,
218.5,0.546,,,
219.0,0.533,1.912,,
219.5,0.519,1.854,,
220.0,0.505,1.8,,
220.5,0.492,1.748,,
221.0,0.48,1.698,,
221.5,0.468,1.65,,1.581
222.0,0.457,1.604,,1.531
222.5,0.446,1.56,,1.484
223.0,0.435,1.52,,1.441
223.5,0.425,1.483,,1.402
224.0,0.416,1.449,,1.366
224.5,0.406,1.416,,1.333
225.0,0.397,1.385,1.755,1.303
225.5,0.389,1.357,1.702,1.275
226.0,0.382,1.332,1.658,1.25
226.5,0.375,1.31,1.619,1.228
227.0,0.369,1.29,1.584,1.208
227.5,0.363,1.271,1.551,1.19
228.0,0.358,1.254,1.523,1.172
228.5,0.353,1.237,1.496,1.155
229.0,0.348,1.221,1.472,1.14
229.5,0.343,1.205,1.448,1.125
230.0,0.339,1.191,1.427,1.112
230.5,0.334,1.177,1.406,1.099
231.0,0.33,1.164,1.385,1.086
231.5,0.326,1.151,1.365,1.074
232.0,0.322,1.138,1.346,1.061
232.5,0.319,1.125,1.327,1.048
233.0,0.315,1.112,1.308,1.036
233.5,0.311,1.098,1.289,1.024
234.0,0.307,1.085,1.271,1.011
234.5,0.303,1.072,1.253,0.999
235.0,0.299,1.059,1.236,0.987
235.5,0.295,1.047,1.219,0.976
236.0,0.291,1.035,1.202,0.964
236.5,0.288,1.024,1.186,0.954
237.0,0.285,1.013,1.171,0.943
237.5,0.282,1.002,1.157,0.934
238.0,0.279,0.992,1.144,0.924
238.5,0.276,0.982,1.132,0.915
239.0,0.273,0.973,1.12,0.907
239.5,0.271,0.965,1.108,0.899
240.0,0.268,0.956,1.097,0.891
240.5,0.266,0.948,1.086,0.884
241.0,0.264,0.941,1.077,0.876
241.5,0.262,0.933,1.067,0.87
242.0,0.26,0.926,1.058,0.863
242.5,0.258,0.92,1.05,0.857
243.0,0.256,0.913,1.041,0.851
243.5,0.255,0.907,1.033,0.845
244.0,0.253,0.901,1.025,0.84
244.5,0.251,0.895,1.018,0.835
245.0,0.25,0.89,1.012,0.83
245.5,0.249,0.885,1.007,0.825
246.0,0.248,0.88,1.002,0.821
246.5,0.246,0.876,0.997,0.817
247.0,0.245,0.871,0.992,0.813
247.5,0.244,0.866,0.987,0.809
248.0,0.243,0.862,0.983,0.806
248.5,0.242,0.858,0.98,0.803
249.0,0.241,0.855,0.976,0.8
249.5,0.24,0.851,0.973,0.797
250.0,0.24,0.848,0.969,0.794
