nm,CPS
370,73040
371,78250
372,88070
373,97200
374,103540
375,112370
376,120030
377,131230
378,138590
379,146050
380,156060
381,164670
382,173520
383,183300
384,193110
385,200490
386,207560
387,216920
388,220440
389,231170
390,243940
391,249520
392,259090
393,266910
394,264390
395,279220
396,282560
397,298330
398,296210
399,304590
400,314790
401,324760
402,319910
403,327090
404,342580
405,339310
406,339140
407,347460
408,353290
409,366230
410,366380
411,358020
412,376340
413,366620
414,385800
415,385200
416,378000
417,383170
418,392590
419,396390
420,396000
421,406050
422,409030
423,398850
424,403010
425,407260
426,412570
427,419000
428,421830
429,419710
430,424820
431,424480
432,422100
433,429430
434,432230
435,438110
436,431360
437,433870
438,432600
439,432390
440,432260
441,439410
442,428360
443,442690
444,427450
445,439830
446,432270
447,446360
448,443830
449,438720
450,432650
451,443660
452,439190
453,440110
454,443670
455,439950
456,441730
457,441430
458,441020
459,436680
460,436190
461,431290
462,418650
463,438770
464,439000
465,441800
466,442730
467,436350
468,434010
469,433740
470,437340
471,437780
472,445370
473,448010
474,431230
475,437180
476,442890
477,448420
478,443650
479,440780
480,445600
481,439170
482,443390
483,447500
484,452270
485,445570
486,444270
487,453680
488,447710
489,453950
490,442750
491,455120
492,453470
493,444560
494,454950
495,447210
496,447790
497,451620
498,446120
499,450740
500,452940
501,451880
502,452610
503,453720
504,446670
505,450410
506,451890
507,438000
508,446800
509,448590
510,444090
511,450240
512,450950
513,427300
514,444510
515,445320
516,438490
517,445570
518,435220
519,433350
520,435350
521,433410
522,436770
523,435050
524,435620
525,428330
526,434550
527,428070
528,425130
529,430000
530,430000
531,427690
532,423780
533,424750
534,422580
535,419820
536,423450
537,417670
538,414670
539,396270
540,416770
541,408690
542,405010
543,396190
544,404900
545,404620
546,396770
547,394250
548,390060
549,385920
550,395770
551,388370
552,386250
553,385230
554,382140
555,375870
556,380780
557,371320
558,373400
559,372280
560,365510
561,365750
562,367260
563,365430
564,349320
565,357680
566,355470
567,353590
568,339040
569,333260
570,344940
571,336430
572,337040
573,334740
574,327390
575,326860
576,326430
577,321590
578,318140
579,317540
580,313150
581,310970
582,309010
583,309740
584,300240
585,299890
586,288860
587,290030
588,290520
589,287870
590,284320
591,284630
592,283300
593,268450
594,277470
595,268100
596,265900
597,263830
598,259810
599,263380
600,254300
601,254530
602,249230
603,246790
604,243570
605,244770
606,242760
607,236970
608,233680
609,227980
610,226080
611,225390
612,220340
613,215740
614,211330
615,213770
616,209160
617,204710
618,203160
619,202510
620,195280
621,196330
622,189520
623,191010
624,186690
625,185820
626,182320
627,181500
628,173970
629,166730
630,167770
631,168370
632,164990
633,163550
634,158380
635,153830
636,152940
637,147540
638,142420
639,143100
640,141320
641,137810
642,137110
643,129840
644,126530
645,124590
646,122840
647,125700
648,121470
649,123750
650,118480
651,120250
652,119940
653,114840
654,116910
655,119760
656,114000
657,116260
658,115410
659,114040
660,115340
661,110950
662,105420
663,107740
664,107560
665,104710
666,103900
667,104760
668,102440
669,102010
670,100850
671,99520
672,95380
673,95760
674,94650
675,91610
676,90960
677,88530
678,85220
679,83330
680,83350
681,82880
682,81790
683,76690
684,74250
685,76280
686,71930
687,69030
688,70260
689,69430
690,67770
691,65800
692,63620
693,62970
694,60800
695,61000
696,58660
697,55950
698,56090
699,54490
700,51000
701,52660
702,50310
703,48960
704,47600
705,46620
706,45770
707,44740
708,43780
709,42100
710,40990
711,41310
712,38200
713,38830
714,38260
715,35800
716,36630
717,35080
718,35840
719,33430
720,33240
721,31900
722,31480
723,31330
724,29550
725,29140
726,28250
727,28610
728,27630
729,27690
730,27290
731,26100
732,24900
733,24350
734,24360
735,23850
736,22850
737,23220
738,22740
739,22330
740,20300
741,21100
742,21350
743,20380
744,20610
745,20920
746,19070
747,18910
748,18500
749,18950
750,18780
751,18450
752,17590
753,17170
754,17120
755,17540
756,17620
757,17540
758,16780
759,16310
760,16060
761,16270
762,15320
763,15410
764,15110
765,15030
766,15160
767,15260
768,14410
769,14910
770,14630
771,14130
772,14270
773,13760
774,13770
775,14180
776,13160
777,13010
778,12380
779,13410
780,13250
781,13100
782,12330
783,12400
784,11350
785,11400
786,11840
787,11910
788,11530
789,10730
790,10810
791,10490
792,11170
793,11020
794,10470
795,10160
796,9870
797,9920
798,9880
799,9550
800,10140
801,8800
802,9550
803,9210
804,9100
805,9440
806,8990
807,8890
808,8240
809,8350
810,8330
811,7900
812,8130
813,7770
814,7290
815,7240
816,7550
817,7220
818,7550
819,6550
820,6900
821,6740
822,6150
823,6180
824,6370
825,6090
826,5430
827,5140
828,4890
829,5060
830,4900
831,4770
832,4540
833,4540
834,4730
835,4310
836,4510
837,3950
838,4180
839,4130
840,3890
841,3830
842,3570
843,3440
844,3280
845,3100
846,3430
847,3370
848,2950
849,3470
850,3010
