nm,CPS
370,6320
371,6050
372,6590
373,7570
374,8460
375,8030
376,9300
377,9410
378,10230
379,10140
380,11430
381,11600
382,12000
383,12330
384,13250
385,13100
386,14240
387,14250
388,15120
389,15540
390,14870
391,16420
392,16180
393,16370
394,17580
395,17280
396,17690
397,19020
398,18590
399,19320
400,19990
401,20260
402,19570
403,20860
404,20870
405,20260
406,21470
407,22660
408,21670
409,22180
410,23090
411,22400
412,23390
413,22900
414,23430
415,23950
416,25450
417,24470
418,25520
419,24650
420,24080
421,24840
422,25420
423,25080
424,25470
425,26560
426,27530
427,26530
428,27030
429,26470
430,27880
431,28030
432,28630
433,29520
434,28120
435,28620
436,28510
437,30860
438,30270
439,29670
440,30510
441,29220
442,30420
443,31130
444,30630
445,30650
446,32310
447,31350
448,32640
449,32770
450,32870
451,34280
452,33880
453,34370
454,33360
455,33530
456,34510
457,34560
458,34990
459,34700
460,36340
461,36400
462,35370
463,36770
464,38190
465,35930
466,37450
467,38060
468,37130
469,38170
470,39050
471,39930
472,40750
473,39850
474,39600
475,41060
476,41780
477,41690
478,42000
479,42050
480,43390
481,43960
482,43510
483,43050
484,45050
485,45400
486,43970
487,44780
488,45500
489,45860
490,46330
491,47370
492,45850
493,48610
494,48310
495,47000
496,49180
497,47810
498,48150
499,48860
500,49450
501,50880
502,47730
503,49750
504,49730
505,50390
506,50650
507,51920
508,50930
509,50630
510,49860
511,49320
512,50620
513,50380
514,50240
515,51120
516,50680
517,51820
518,50130
519,52790
520,52220
521,51940
522,52780
523,51920
524,50360
525,51530
526,50450
527,52940
528,52090
529,52120
530,50550
531,53260
532,52020
533,52670
534,53210
535,50120
536,51970
537,50750
538,52450
539,51220
540,51160
541,52430
542,50110
543,51370
544,48620
545,50360
546,51490
547,51660
548,49860
549,50720
550,50220
551,52180
552,49260
553,49280
554,49450
555,48930
556,48000
557,47890
558,47820
559,48540
560,47060
561,48560
562,47420
563,45590
564,46860
565,46970
566,44470
567,43410
568,46130
569,44860
570,44280
571,45480
572,46130
573,43980
574,44740
575,43590
576,44550
577,45430
578,42370
579,42210
580,42370
581,43170
582,43210
583,42320
584,40200
585,40690
586,40450
587,39670
588,40640
589,39300
590,38320
591,39430
592,37480
593,38090
594,37130
595,37280
596,38070
597,37490
598,36790
599,36020
600,35270
601,35450
602,35440
603,34210
604,34580
605,32290
606,33220
607,32000
608,31690
609,32650
610,32150
611,31910
612,31050
613,30780
614,31170
615,29450
616,29350
617,29650
618,27630
619,28080
620,27720
621,27680
622,27410
623,26590
624,27780
625,25910
626,25210
627,25690
628,24870
629,24760
630,24670
631,23310
632,22780
633,22300
634,22220
635,22000
636,22250
637,22030
638,20870
639,20050
640,20280
641,19500
642,19230
643,18910
644,18190
645,17800
646,17650
647,17120
648,17710
649,17560
650,17300
651,17070
652,16170
653,17060
654,17330
655,16300
656,16210
657,16180
658,16610
659,16590
660,16610
661,16150
662,14730
663,15080
664,14790
665,15210
666,15100
667,15260
668,14870
669,14250
670,14260
671,14540
672,13940
673,12990
674,13610
675,13510
676,13100
677,13360
678,12920
679,12590
680,12170
681,12710
682,11580
683,11220
684,11810
685,11430
686,10740
687,10810
688,10810
689,9970
690,9890
691,9830
692,9120
693,9050
694,9120
695,9620
696,8520
697,8410
698,8010
699,8320
700,7870
701,7550
702,7790
703,7400
704,7050
705,6840
706,6790
707,6530
708,6840
709,6800
710,6030
711,6140
712,5890
713,6620
714,5410
715,5560
716,5600
717,5250
718,5390
719,5140
720,5390
721,5230
722,5300
723,5100
724,4960
725,4300
726,4820
727,4540
728,4510
729,4070
730,4260
731,4100
732,3600
733,4190
734,4210
735,4020
736,3770
737,3800
738,3880
739,3520
740,3520
741,3600
742,3580
743,3310
744,2950
745,3360
746,3550
747,2780
748,2820
749,3170
750,3130
751,2830
752,2730
753,2710
754,2630
755,2670
756,2720
757,2690
758,2680
759,2520
760,2410
761,2320
762,2290
763,2390
764,2000
765,1970
766,2150
767,2040
768,2110
769,2130
770,1960
771,2060
772,2020
773,1990
774,2070
775,1920
776,1960
777,1720
778,2010
779,1740
780,1770
781,1820
782,1640
783,1410
784,1550
785,1510
786,1670
787,1870
788,1710
789,1540
790,1450
791,1290
792,1500
793,1550
794,1300
795,1390
796,1390
797,1140
798,1400
799,1420
800,1340
801,1410
802,1400
803,1260
804,1100
805,1070
806,1330
807,1130
808,1150
809,1000
810,1170
811,1130
812,970
813,900
814,1190
815,950
816,1080
817,830
818,800
819,870
820,740
821,860
822,730
823,980
824,770
825,770
826,750
827,830
828,710
829,730
830,540
831,610
832,650
833,490
834,560
835,500
836,450
837,500
838,510
839,530
840,590
841,670
842,470
843,510
844,540
845,430
846,320
847,470
848,330
849,440
850,430
