nm,AGoMG50,AGoMG20,AGoMG,AGoMG05
200.0,,,,
200.5,,,,
201.0,,,,
201.5,,,,
202.0,,,,
202.5,,,,
203.0,,,,
203.5,,,,
204.0,,,,
204.5,,,,
205.0,,,,
205.5,,,,
206.0,,,,
206.5,,,,
207.0,,,,
207.5,,,,1.416
208.0,,,,1.314
208.5,,,,1.243
209.0,,,,1.198
209.5,,,,1.164
210.0,,,,1.129
210.5,,,,1.086
211.0,,,,1.036
211.5,,,,0.989
212.0,,,,0.952
212.5,,,,0.925
213.0,,,,0.902
213.5,,,,0.878
214.0,,,,0.853
214.5,,,,0.828
215.0,,,,0.804
215.5,,,,0.78
216.0,,,,0.758
216.5,,,,0.737
217.0,,,1.881,0.717
217.5,,,1.812,0.696
218.0,,,1.748,0.676
218.5,,,1.689,0.657
219.0,,1.45,1.636,0.639
219.5,1.36,1.4,1.588,0.622
220.0,1.316,1.351,1.543,0.605
220.5,1.276,1.307,1.5,0.59
221.0,1.24,1.269,1.458,0.575
221.5,1.204,1.234,1.417,0.56
222.0,1.169,1.2,1.377,0.546
222.5,1.136,1.167,1.341,0.532
223.0,1.105,1.135,1.307,0.519
223.5,1.077,1.106,1.276,0.507
224.0,1.051,1.079,1.246,0.495
224.5,1.026,1.053,1.217,0.484
225.0,1.002,1.03,1.189,0.474
225.5,0.979,1.008,1.163,0.464
226.0,0.959,0.988,1.14,0.455
226.5,0.94,0.97,1.119,0.447
227.0,0.923,0.952,1.099,0.438
227.5,0.907,0.936,1.081,0.43
228.0,0.891,0.92,1.063,0.423
228.5,0.877,0.905,1.046,0.416
229.0,0.863,0.891,1.03,0.409
229.5,0.849,0.877,1.014,0.403
230.0,0.836,0.864,0.999,0.396
230.5,0.823,0.85,0.984,0.391
231.0,0.81,0.837,0.969,0.385
231.5,0.798,0.825,0.955,0.379
232.0,0.785,0.812,0.941,0.373
232.5,0.773,0.8,0.928,0.368
233.0,0.762,0.788,0.914,0.363
233.5,0.751,0.777,0.902,0.357
234.0,0.74,0.766,0.889,0.352
234.5,0.73,0.755,0.877,0.347
235.0,0.72,0.745,0.865,0.343
235.5,0.71,0.735,0.854,0.338
236.0,0.701,0.726,0.843,0.334
236.5,0.693,0.717,0.832,0.33
237.0,0.685,0.708,0.822,0.326
237.5,0.677,0.7,0.813,0.322
238.0,0.669,0.693,0.804,0.319
238.5,0.662,0.686,0.796,0.315
239.0,0.655,0.679,0.789,0.312
239.5,0.649,0.672,0.782,0.31
240.0,0.643,0.666,0.775,0.307
240.5,0.639,0.66,0.769,0.305
241.0,0.634,0.655,0.763,0.302
241.5,0.63,0.651,0.757,0.3
242.0,0.626,0.647,0.752,0.299
242.5,0.622,0.643,0.748,0.297
243.0,0.619,0.64,0.744,0.295
243.5,0.616,0.636,0.741,0.293
244.0,0.614,0.634,0.738,0.292
244.5,0.612,0.631,0.735,0.291
245.0,0.61,0.629,0.733,0.291
245.5,0.609,0.628,0.731,0.29
246.0,0.608,0.626,0.729,0.29
246.5,0.607,0.625,0.728,0.29
247.0,0.607,0.625,0.728,0.29
247.5,0.607,0.625,0.728,0.29
248.0,0.607,0.625,0.728,0.29
248.5,0.608,0.626,0.728,0.291
249.0,0.61,0.627,0.728,0.292
249.5,0.611,0.628,0.73,0.293
