nm,TGoMG20,TGoMG05,TGoMG,TGoMG50
390.0,,,,44.922
391.0,,,,40.351
392.0,,,,43.282
393.0,,,,43.747
394.0,52.298,75.661,58.853,43.58
395.0,52.344,75.124,57.428,49.177
396.0,50.736,72.342,54.906,46.856
397.0,51.784,70.186,55.418,45.366
398.0,53.968,70.472,57.603,48.141
399.0,54.219,72.034,59.165,48.696
400.0,54.32,73.223,59.661,49.436
401.0,55.51,72.296,60.465,47.756
402.0,55.751,73.425,61.447,48.657
403.0,55.919,75.956,61.157,48.708
404.0,57.329,73.854,60.478,49.95
405.0,57.596,72.449,59.831,51.83
406.0,56.239,74.532,59.025,53.352
407.0,56.542,74.971,59.139,52.591
408.0,58.457,74.578,61.805,52.396
409.0,59.075,76.408,64.476,47.33
410.0,59.013,78.535,63.102,55.066
411.0,60.088,77.319,61.416,54.671
412.0,60.834,74.778,63.102,54.146
413.0,59.91,75.239,64.83,55.774
414.0,59.762,77.356,63.846,53.813
415.0,61.362,77.537,62.405,55.155
416.0,62.71,76.805,63.811,57.547
417.0,63.488,77.218,65.607,55.559
418.0,63.854,77.784,64.905,56.254
419.0,64.291,78.506,64.347,54.379
420.0,65.34,79.748,65.243,58.169
421.0,64.609,80.116,66.991,59.086
422.0,62.504,79.072,68.837,56.319
423.0,62.894,79.185,68.641,60.007
424.0,64.267,81.651,67.212,57.237
425.0,64.319,82.973,67.462,59.88
426.0,65.345,82.27,68.67,61.701
427.0,66.836,82.06,69.441,61.309
428.0,66.862,82.783,70.336,60.822
429.0,67.324,83.567,69.82,62.062
430.0,67.695,83.006,67.707,62.064
431.0,66.455,81.761,67.752,63.245
432.0,66.251,82.82,69.813,64.18
433.0,67.535,84.451,70.418,62.443
434.0,68.622,84.037,70.412,63.895
435.0,68.791,83.788,71.692,63.505
436.0,67.705,84.188,72.464,62.551
437.0,67.705,84.309,72.056,64.677
438.0,69.409,84.684,72.086,64.263
439.0,70.893,84.874,72.698,64.35
440.0,72.168,84.844,73.313,64.0
441.0,72.104,85.041,73.124,67.301
442.0,71.21,84.914,71.919,67.485
443.0,71.915,84.476,72.045,65.232
444.0,72.109,85.436,73.808,66.553
445.0,70.991,87.381,74.274,69.143
446.0,71.256,87.386,74.14,67.121
447.0,72.434,86.033,75.033,68.178
448.0,72.952,85.186,75.09,69.433
449.0,73.441,84.898,74.254,68.158
450.0,73.931,85.287,74.196,66.999
451.0,73.974,85.654,74.214,69.834
452.0,74.635,85.494,73.746,67.224
453.0,75.505,85.238,74.215,69.574
454.0,75.058,85.388,75.741,67.851
455.0,74.284,86.259,76.478,70.606
456.0,74.629,87.643,75.75,70.137
457.0,75.512,88.955,75.721,73.125
458.0,75.661,88.533,77.465,70.055
459.0,75.643,86.917,78.057,72.695
460.0,76.57,87.314,77.134,70.245
461.0,77.236,88.371,77.019,69.888
462.0,76.919,87.361,77.12,69.761
463.0,76.553,86.806,77.146,72.056
464.0,76.526,88.032,77.669,71.941
465.0,77.148,88.667,78.231,73.437
466.0,77.99,88.903,78.476,74.371
467.0,78.304,89.839,78.454,74.558
468.0,78.539,89.675,78.627,73.078
469.0,78.663,88.322,78.93,73.962
470.0,78.538,87.937,79.033,74.068
471.0,78.659,88.66,79.019,74.079
472.0,78.816,89.687,79.438,73.525
473.0,78.759,90.133,80.572,75.087
474.0,78.587,90.281,81.163,74.767
475.0,78.566,91.171,80.843,74.701
476.0,79.432,91.527,80.922,75.329
477.0,80.841,91.0,80.903,75.071
478.0,81.37,90.751,80.008,76.93
479.0,80.946,90.004,80.108,77.279
480.0,80.648,89.193,81.541,76.301
481.0,80.87,90.229,82.136,77.259
482.0,81.103,91.333,81.926,76.886
483.0,81.094,90.527,81.847,76.437
484.0,81.189,90.067,81.799,76.598
485.0,81.278,91.011,81.977,78.532
486.0,81.107,91.322,81.587,77.195
487.0,80.965,90.517,80.799,76.489
488.0,81.328,90.285,81.503,77.559
489.0,82.253,91.18,82.367,78.122
490.0,82.664,91.741,81.904,77.885
491.0,82.053,91.221,82.336,78.964
492.0,81.97,90.673,83.729,80.153
493.0,83.094,91.164,83.79,78.759
494.0,83.623,91.889,83.348,79.602
495.0,82.93,91.354,83.478,79.683
496.0,82.797,91.002,83.116,79.017
497.0,83.52,92.462,82.414,78.994
498.0,83.845,93.749,82.558,80.171
499.0,83.721,93.5,83.619,80.689
500.0,83.514,92.521,84.533,80.179
501.0,83.782,91.817,84.523,79.926
502.0,84.909,92.341,83.815,79.194
503.0,85.332,93.207,83.446,81.226
