Batch	scan007
Instrument ID	084303
Data Mode	A
Sample	Sample001
Cycle	Cycle01
Date Collected	16/01/2025
Time Collected	03:42:36
Entries	Data Points
nm	A
200.0	XXX.XXX
200.5	XXX.XXX
201.0	XXX.XXX
201.5	XXX.XXX
202.0	XXX.XXX
202.5	XXX.XXX
203.0	XXX.XXX
203.5	XXX.XXX
204.0	XXX.XXX
204.5	XXX.XXX
205.0	XXX.XXX
205.5	XXX.XXX
206.0	XXX.XXX
206.5	XXX.XXX
207.0	XXX.XXX
207.5	XXX.XXX
208.0	XXX.XXX
208.5	XXX.XXX
209.0	XXX.XXX
209.5	XXX.XXX
210.0	XXX.XXX
210.5	XXX.XXX
211.0	XXX.XXX
211.5	XXX.XXX
212.0	XXX.XXX
212.5	XXX.XXX
213.0	XXX.XXX
213.5	XXX.XXX
214.0	XXX.XXX
214.5	XXX.XXX
215.0	XXX.XXX
215.5	1.808
216.0	1.748
216.5	1.691
217.0	1.636
217.5	1.587
218.0	1.543
218.5	1.505
219.0	1.467
219.5	1.430
220.0	1.392
220.5	1.355
221.0	1.319
221.5	1.285
222.0	1.254
222.5	1.225
223.0	1.196
223.5	1.169
224.0	1.144
224.5	1.119
225.0	1.095
225.5	1.073
226.0	1.053
226.5	1.035
227.0	1.018
227.5	1.003
228.0	0.988
228.5	0.975
229.0	0.962
229.5	0.950
230.0	0.938
230.5	0.926
231.0	0.914
231.5	0.903
232.0	0.892
232.5	0.882
233.0	0.871
233.5	0.861
234.0	0.851
234.5	0.841
235.0	0.832
235.5	0.823
236.0	0.815
236.5	0.807
237.0	0.799
237.5	0.791
238.0	0.784
238.5	0.776
239.0	0.770
239.5	0.764
240.0	0.758
240.5	0.753
241.0	0.748
241.5	0.743
242.0	0.738
242.5	0.733
243.0	0.729
243.5	0.726
244.0	0.722
244.5	0.719
245.0	0.716
245.5	0.713
246.0	0.710
246.5	0.707
247.0	0.705
247.5	0.702
248.0	0.700
248.5	0.698
249.0	0.696
249.5	0.694
250.0	0.692
250.5	0.690
251.0	0.689
251.5	0.687
252.0	0.686
252.5	0.685
253.0	0.684
253.5	0.683
254.0	0.682
254.5	0.682
255.0	0.682
255.5	0.682
256.0	0.682
256.5	0.684
257.0	0.685
257.5	0.687
258.0	0.689
258.5	0.690
259.0	0.692
259.5	0.693
260.0	0.695
260.5	0.697
261.0	0.700
261.5	0.704
262.0	0.709
262.5	0.714
263.0	0.719
263.5	0.724
264.0	0.728
264.5	0.733
265.0	0.736
265.5	0.740
266.0	0.742
266.5	0.745
267.0	0.747
267.5	0.750
268.0	0.754
268.5	0.758
269.0	0.762
269.5	0.765
270.0	0.769
270.5	0.773
271.0	0.777
271.5	0.780
272.0	0.783
272.5	0.786
273.0	0.788
273.5	0.790
274.0	0.792
274.5	0.792
275.0	0.792
275.5	0.791
276.0	0.791
276.5	0.792
277.0	0.792
277.5	0.792
278.0	0.792
278.5	0.792
279.0	0.792
279.5	0.791
280.0	0.790
280.5	0.788
281.0	0.785
281.5	0.783
282.0	0.780
282.5	0.777
283.0	0.773
283.5	0.769
284.0	0.765
284.5	0.761
285.0	0.756
285.5	0.752
286.0	0.746
286.5	0.741
287.0	0.736
287.5	0.731
288.0	0.725
288.5	0.720
289.0	0.714
289.5	0.709
290.0	0.703
290.5	0.697
291.0	0.692
291.5	0.687
292.0	0.682
292.5	0.677
293.0	0.673
293.5	0.668
294.0	0.664
294.5	0.660
295.0	0.656
295.5	0.652
296.0	0.648
296.5	0.644
297.0	0.641
297.5	0.638
298.0	0.635
298.5	0.632
299.0	0.630
299.5	0.627
300.0	0.624
300.5	0.621
301.0	0.620
301.5	0.619
302.0	0.618
302.5	0.617
303.0	0.616
303.5	0.615
304.0	0.614
304.5	0.612
305.0	0.610
305.5	0.608
306.0	0.607
306.5	0.607
307.0	0.607
307.5	0.607
308.0	0.607
308.5	0.606
309.0	0.605
309.5	0.605
310.0	0.605
310.5	0.605
311.0	0.606
311.5	0.606
312.0	0.607
312.5	0.608
313.0	0.610
313.5	0.612
314.0	0.613
314.5	0.614
315.0	0.614
315.5	0.614
316.0	0.614
316.5	0.615
317.0	0.617
317.5	0.618
318.0	0.619
318.5	0.619
319.0	0.618
319.5	0.617
320.0	0.617
320.5	0.617
321.0	0.616
321.5	0.614
322.0	0.612
322.5	0.611
323.0	0.609
323.5	0.608
324.0	0.607
324.5	0.605
325.0	0.604
325.5	0.602
326.0	0.600
326.5	0.597
327.0	0.593
327.5	0.591
328.0	0.589
328.5	0.587
329.0	0.583
329.5	0.578
330.0	0.572
330.5	0.566
331.0	0.561
331.5	0.556
332.0	0.551
332.5	0.547
333.0	0.542
333.5	0.537
334.0	0.531
334.5	0.524
335.0	0.518
335.5	0.513
336.0	0.507
336.5	0.501
337.0	0.495
337.5	0.489
338.0	0.482
338.5	0.476
339.0	0.468
339.5	0.461
340.0	0.453
340.5	0.444
341.0	0.434
341.5	0.424
342.0	0.419
342.5	0.418
343.0	0.418
343.5	0.412
344.0	0.399
344.5	0.382
345.0	0.368
345.5	0.361
346.0	0.362
346.5	0.364
347.0	0.362
347.5	0.355
348.0	0.347
348.5	0.340
349.0	0.335
349.5	0.327
350.0	0.318
350.5	0.310
351.0	0.303
351.5	0.296
352.0	0.290
352.5	0.286
353.0	0.283
353.5	0.280
354.0	0.273
354.5	0.264
355.0	0.254
355.5	0.246
356.0	0.241
356.5	0.239
357.0	0.238
357.5	0.236
358.0	0.231
358.5	0.223
359.0	0.216
359.5	0.210
360.0	0.207
360.5	0.204
361.0	0.202
361.5	0.201
362.0	0.203
362.5	0.202
363.0	0.197
363.5	0.188
364.0	0.180
364.5	0.177
365.0	0.177
365.5	0.179
366.0	0.178
366.5	0.175
367.0	0.172
367.5	0.171
368.0	0.170
