Batch	scan006
Instrument ID	084303
Data Mode	%T
Sample	Sample001
Cycle	Cycle01
Date Collected	19/02/2025
Time Collected	01:23:59
Entries	Data Points
nm	%T
390.0	XXX.XXX
391.0	XXX.XXX
392.0	XXX.XXX
393.0	XXX.XXX
394.0	75.661
395.0	75.124
396.0	72.342
397.0	70.186
398.0	70.472
399.0	72.034
400.0	73.223
401.0	72.296
402.0	73.425
403.0	75.956
404.0	73.854
405.0	72.449
406.0	74.532
407.0	74.971
408.0	74.578
409.0	76.408
410.0	78.535
411.0	77.319
412.0	74.778
413.0	75.239
414.0	77.356
415.0	77.537
416.0	76.805
417.0	77.218
418.0	77.784
419.0	78.506
420.0	79.748
421.0	80.116
422.0	79.072
423.0	79.185
424.0	81.651
425.0	82.973
426.0	82.270
427.0	82.060
428.0	82.783
429.0	83.567
430.0	83.006
431.0	81.761
432.0	82.820
433.0	84.451
434.0	84.037
435.0	83.788
436.0	84.188
437.0	84.309
438.0	84.684
439.0	84.874
440.0	84.844
441.0	85.041
442.0	84.914
443.0	84.476
444.0	85.436
445.0	87.381
446.0	87.386
447.0	86.033
448.0	85.186
449.0	84.898
450.0	85.287
451.0	85.654
452.0	85.494
453.0	85.238
454.0	85.388
455.0	86.259
456.0	87.643
457.0	88.955
458.0	88.533
459.0	86.917
460.0	87.314
461.0	88.371
462.0	87.361
463.0	86.806
464.0	88.032
465.0	88.667
466.0	88.903
467.0	89.839
468.0	89.675
469.0	88.322
470.0	87.937
471.0	88.660
472.0	89.687
473.0	90.133
474.0	90.281
475.0	91.171
476.0	91.527
477.0	91.000
478.0	90.751
479.0	90.004
480.0	89.193
481.0	90.229
482.0	91.333
483.0	90.527
484.0	90.067
485.0	91.011
486.0	91.322
487.0	90.517
488.0	90.285
489.0	91.180
490.0	91.741
491.0	91.221
492.0	90.673
493.0	91.164
494.0	91.889
495.0	91.354
496.0	91.002
497.0	92.462
498.0	93.749
499.0	93.500
500.0	92.521
501.0	91.817
502.0	92.341
503.0	93.207
504.0	93.155
505.0	92.763
506.0	92.516
507.0	92.531
508.0	92.891
509.0	93.140
510.0	93.090
511.0	92.952
512.0	92.886
513.0	92.937
514.0	92.720
515.0	92.435
516.0	92.867
517.0	93.418
518.0	93.320
519.0	93.081
520.0	93.208
521.0	93.726
522.0	94.178
523.0	94.100
524.0	93.843
525.0	93.795
526.0	93.863
527.0	93.814
528.0	93.854
529.0	94.408
530.0	94.924
531.0	94.719
532.0	94.371
533.0	94.587
534.0	94.869
535.0	94.818
536.0	94.699
