Batch	scan004
Instrument ID	084303
Data Mode	%T
Sample	Sample001
Cycle	Cycle01
Date Collected	18/02/2025
Time Collected	10:51:15
Entries	Data Points
nm	%T
390.0	XXX.XXX
391.0	XXX.XXX
392.0	XXX.XXX
393.0	XXX.XXX
394.0	61.142
395.0	61.882
396.0	61.594
397.0	59.760
398.0	58.960
399.0	59.890
400.0	63.168
401.0	66.119
402.0	65.092
403.0	62.095
404.0	60.838
405.0	61.959
406.0	64.467
407.0	66.633
408.0	67.532
409.0	68.197
410.0	69.410
411.0	69.340
412.0	66.881
413.0	65.608
414.0	67.873
415.0	69.766
416.0	68.647
417.0	68.157
418.0	70.497
419.0	71.888
420.0	70.752
421.0	71.040
422.0	72.766
423.0	72.332
424.0	71.059
425.0	71.371
426.0	71.902
427.0	71.554
428.0	71.433
429.0	72.498
430.0	74.141
431.0	75.166
432.0	75.310
433.0	74.997
434.0	74.708
435.0	74.412
436.0	74.684
437.0	76.129
438.0	77.290
439.0	77.497
440.0	77.024
441.0	76.276
442.0	76.716
443.0	77.326
444.0	76.506
445.0	76.148
446.0	77.162
447.0	78.175
448.0	78.777
449.0	78.837
450.0	78.657
451.0	78.934
452.0	79.347
453.0	79.800
454.0	79.850
455.0	78.825
456.0	77.823
457.0	78.300
458.0	80.254
459.0	81.312
460.0	80.461
461.0	80.542
462.0	81.873
463.0	82.316
464.0	82.215
465.0	81.986
466.0	81.183
467.0	80.643
468.0	81.139
469.0	82.012
470.0	82.452
471.0	82.622
472.0	82.929
473.0	83.145
474.0	83.178
475.0	83.255
476.0	83.365
477.0	83.246
478.0	82.978
479.0	83.393
480.0	84.414
481.0	84.804
482.0	84.236
483.0	83.519
484.0	83.277
485.0	83.724
486.0	84.620
487.0	85.004
488.0	84.878
489.0	85.113
490.0	85.332
491.0	84.813
492.0	84.279
493.0	84.811
494.0	85.590
495.0	85.572
496.0	85.472
497.0	85.671
498.0	85.970
499.0	86.457
500.0	86.694
501.0	86.422
502.0	86.515
503.0	87.299
504.0	87.525
505.0	86.844
506.0	86.551
507.0	86.893
508.0	87.047
509.0	87.487
510.0	88.401
511.0	88.183
512.0	87.107
513.0	87.183
514.0	88.024
515.0	88.014
516.0	87.426
517.0	87.112
518.0	87.221
519.0	88.045
520.0	88.643
521.0	88.235
522.0	88.051
523.0	88.433
524.0	88.857
525.0	89.075
526.0	88.855
527.0	88.634
528.0	88.825
529.0	89.104
530.0	88.878
531.0	88.397
532.0	88.423
533.0	88.691
534.0	88.654
535.0	88.435
536.0	88.559
