Batch	scan005
Instrument ID	084303
Data Mode	A
Sample	Sample001
Cycle	Cycle01
Date Collected	04/02/2025
Time Collected	11:59:18
Entries	Data Points
nm	A
200.0	XXX.XXX
200.5	XXX.XXX
201.0	XXX.XXX
201.5	XXX.XXX
202.0	XXX.XXX
202.5	XXX.XXX
203.0	XXX.XXX
203.5	XXX.XXX
204.0	1.449
204.5	1.378
205.0	1.344
205.5	1.329
206.0	1.302
206.5	1.250
207.0	1.183
207.5	1.120
208.0	1.070
208.5	1.034
209.0	1.007
209.5	0.982
210.0	0.956
210.5	0.929
211.0	0.902
211.5	0.875
212.0	0.850
212.5	0.829
213.0	0.810
213.5	0.790
214.0	0.770
214.5	0.749
215.0	0.729
215.5	0.710
216.0	0.693
216.5	0.676
217.0	0.660
217.5	0.644
218.0	0.628
218.5	0.612
219.0	0.597
219.5	0.582
220.0	0.567
220.5	0.553
221.0	0.539
221.5	0.526
222.0	0.513
222.5	0.501
223.0	0.489
223.5	0.477
224.0	0.467
224.5	0.456
225.0	0.446
225.5	0.437
226.0	0.428
226.5	0.420
227.0	0.413
227.5	0.406
228.0	0.400
228.5	0.394
229.0	0.388
229.5	0.383
230.0	0.378
230.5	0.373
231.0	0.368
231.5	0.363
232.0	0.359
232.5	0.354
233.0	0.350
233.5	0.346
234.0	0.341
234.5	0.337
235.0	0.333
235.5	0.330
236.0	0.326
236.5	0.322
237.0	0.318
237.5	0.315
238.0	0.312
238.5	0.310
239.0	0.307
239.5	0.305
240.0	0.303
240.5	0.301
241.0	0.299
241.5	0.297
242.0	0.295
242.5	0.293
243.0	0.292
243.5	0.291
244.0	0.290
244.5	0.289
245.0	0.288
245.5	0.287
246.0	0.286
246.5	0.285
247.0	0.285
247.5	0.284
248.0	0.284
248.5	0.284
249.0	0.283
249.5	0.283
250.0	0.283
250.5	0.283
251.0	0.283
251.5	0.283
252.0	0.283
252.5	0.283
253.0	0.283
253.5	0.284
254.0	0.284
254.5	0.284
255.0	0.284
255.5	0.284
256.0	0.285
256.5	0.286
257.0	0.287
257.5	0.288
258.0	0.289
258.5	0.290
259.0	0.291
259.5	0.292
260.0	0.293
260.5	0.295
261.0	0.296
261.5	0.298
262.0	0.300
262.5	0.302
263.0	0.304
263.5	0.306
264.0	0.308
264.5	0.310
265.0	0.312
265.5	0.313
266.0	0.313
266.5	0.314
267.0	0.315
267.5	0.316
268.0	0.318
268.5	0.319
269.0	0.320
269.5	0.322
270.0	0.323
270.5	0.324
271.0	0.325
271.5	0.326
272.0	0.327
272.5	0.327
273.0	0.327
273.5	0.327
274.0	0.327
274.5	0.326
275.0	0.326
275.5	0.326
276.0	0.325
276.5	0.324
277.0	0.323
277.5	0.323
278.0	0.322
278.5	0.322
279.0	0.321
279.5	0.320
280.0	0.319
280.5	0.318
281.0	0.316
281.5	0.314
282.0	0.313
282.5	0.311
283.0	0.310
283.5	0.308
284.0	0.306
284.5	0.305
285.0	0.303
285.5	0.300
286.0	0.297
286.5	0.294
287.0	0.291
287.5	0.289
288.0	0.286
288.5	0.284
289.0	0.282
289.5	0.279
290.0	0.277
290.5	0.275
291.0	0.272
291.5	0.269
292.0	0.266
292.5	0.264
293.0	0.262
293.5	0.261
294.0	0.259
294.5	0.258
295.0	0.256
295.5	0.254
296.0	0.252
296.5	0.250
297.0	0.249
297.5	0.248
298.0	0.247
298.5	0.246
299.0	0.246
299.5	0.245
300.0	0.244
300.5	0.243
301.0	0.243
301.5	0.243
302.0	0.242
302.5	0.240
303.0	0.238
303.5	0.237
304.0	0.235
304.5	0.235
305.0	0.235
305.5	0.235
306.0	0.235
306.5	0.235
307.0	0.235
307.5	0.235
308.0	0.235
308.5	0.235
309.0	0.234
309.5	0.234
310.0	0.233
310.5	0.233
311.0	0.234
311.5	0.234
312.0	0.234
312.5	0.234
313.0	0.234
313.5	0.234
314.0	0.234
314.5	0.235
315.0	0.235
315.5	0.235
316.0	0.235
316.5	0.235
317.0	0.235
317.5	0.237
318.0	0.238
318.5	0.238
319.0	0.237
319.5	0.235
320.0	0.234
320.5	0.233
321.0	0.233
321.5	0.234
322.0	0.235
322.5	0.236
323.0	0.236
323.5	0.235
324.0	0.234
324.5	0.233
325.0	0.231
325.5	0.229
326.0	0.228
326.5	0.227
327.0	0.227
327.5	0.227
328.0	0.226
328.5	0.224
329.0	0.223
329.5	0.222
330.0	0.221
330.5	0.220
331.0	0.219
331.5	0.218
332.0	0.217
332.5	0.215
333.0	0.213
333.5	0.211
334.0	0.208
334.5	0.206
335.0	0.204
335.5	0.203
336.0	0.201
336.5	0.199
337.0	0.197
337.5	0.194
338.0	0.191
338.5	0.187
339.0	0.182
339.5	0.177
340.0	0.174
340.5	0.176
341.0	0.177
341.5	0.173
342.0	0.163
342.5	0.153
343.0	0.147
343.5	0.146
344.0	0.147
344.5	0.148
345.0	0.148
345.5	0.149
346.0	0.150
346.5	0.153
347.0	0.154
347.5	0.150
348.0	0.144
348.5	0.141
349.0	0.144
349.5	0.148
350.0	0.147
350.5	0.142
351.0	0.134
351.5	0.129
352.0	0.125
352.5	0.123
353.0	0.122
353.5	0.120
354.0	0.119
354.5	0.116
355.0	0.112
355.5	0.108
356.0	0.106
356.5	0.107
357.0	0.108
357.5	0.109
358.0	0.106
358.5	0.101
359.0	0.096
359.5	0.095
360.0	0.098
360.5	0.099
361.0	0.097
361.5	0.092
362.0	0.088
362.5	0.088
363.0	0.090
363.5	0.091
364.0	0.089
364.5	0.085
365.0	0.081
365.5	0.080
366.0	0.081
366.5	0.083
367.0	0.084
367.5	0.083
368.0	0.084
368.5	0.087
369.0	0.093
369.5	0.097
370.0	0.096
370.5	0.090
371.0	0.086
371.5	0.087
372.0	0.093
372.5	0.096
373.0	0.091
373.5	0.081
