Batch	scan001
Instrument ID	084303
Data Mode	A
Sample	Sample001
Cycle	Cycle01
Date Collected	05/02/2025
Time Collected	03:38:48
Entries	Data Points
nm	A
200.0	XXX.XXX
200.5	XXX.XXX
201.0	XXX.XXX
201.5	XXX.XXX
202.0	XXX.XXX
202.5	XXX.XXX
203.0	XXX.XXX
203.5	XXX.XXX
204.0	XXX.XXX
204.5	XXX.XXX
205.0	XXX.XXX
205.5	XXX.XXX
206.0	XXX.XXX
206.5	XXX.XXX
207.0	XXX.XXX
207.5	XXX.XXX
208.0	XXX.XXX
208.5	XXX.XXX
209.0	XXX.XXX
209.5	XXX.XXX
210.0	XXX.XXX
210.5	XXX.XXX
211.0	XXX.XXX
211.5	XXX.XXX
212.0	XXX.XXX
212.5	XXX.XXX
213.0	XXX.XXX
213.5	XXX.XXX
214.0	XXX.XXX
214.5	XXX.XXX
215.0	XXX.XXX
215.5	XXX.XXX
216.0	XXX.XXX
216.5	XXX.XXX
217.0	XXX.XXX
217.5	XXX.XXX
218.0	XXX.XXX
218.5	XXX.XXX
219.0	XXX.XXX
219.5	XXX.XXX
220.0	XXX.XXX
220.5	XXX.XXX
221.0	XXX.XXX
221.5	XXX.XXX
222.0	XXX.XXX
222.5	XXX.XXX
223.0	1.429
223.5	1.391
224.0	1.357
224.5	1.326
225.0	1.297
225.5	1.271
226.0	1.246
226.5	1.224
227.0	1.202
227.5	1.182
228.0	1.162
228.5	1.143
229.0	1.125
229.5	1.107
230.0	1.090
230.5	1.074
231.0	1.059
231.5	1.043
232.0	1.028
232.5	1.013
233.0	0.998
233.5	0.984
234.0	0.969
234.5	0.955
235.0	0.942
235.5	0.930
236.0	0.918
236.5	0.906
237.0	0.895
237.5	0.885
238.0	0.876
238.5	0.867
239.0	0.859
239.5	0.851
240.0	0.843
240.5	0.836
241.0	0.830
241.5	0.825
242.0	0.819
242.5	0.814
243.0	0.810
243.5	0.807
244.0	0.804
244.5	0.801
245.0	0.798
245.5	0.796
246.0	0.795
246.5	0.793
247.0	0.793
247.5	0.792
248.0	0.792
248.5	0.793
249.0	0.793
249.5	0.794
250.0	0.795
250.5	0.796
251.0	0.797
251.5	0.799
252.0	0.800
252.5	0.802
253.0	0.803
253.5	0.805
254.0	0.807
254.5	0.810
255.0	0.813
255.5	0.816
256.0	0.819
256.5	0.822
257.0	0.826
257.5	0.830
258.0	0.833
258.5	0.837
259.0	0.839
259.5	0.842
260.0	0.844
260.5	0.848
261.0	0.852
261.5	0.856
262.0	0.859
262.5	0.863
263.0	0.867
263.5	0.870
264.0	0.873
264.5	0.876
265.0	0.877
265.5	0.878
266.0	0.878
266.5	0.878
267.0	0.877
267.5	0.875
268.0	0.874
268.5	0.874
269.0	0.874
269.5	0.874
270.0	0.874
270.5	0.874
271.0	0.874
271.5	0.873
272.0	0.871
272.5	0.868
273.0	0.864
273.5	0.859
274.0	0.854
274.5	0.849
275.0	0.844
275.5	0.838
276.0	0.832
276.5	0.827
277.0	0.822
277.5	0.817
278.0	0.811
278.5	0.805
279.0	0.799
279.5	0.794
280.0	0.788
280.5	0.782
281.0	0.776
281.5	0.770
282.0	0.763
282.5	0.756
283.0	0.749
283.5	0.742
284.0	0.734
284.5	0.727
285.0	0.719
285.5	0.712
286.0	0.705
286.5	0.698
287.0	0.690
287.5	0.683
288.0	0.675
288.5	0.667
289.0	0.660
289.5	0.653
290.0	0.646
290.5	0.639
291.0	0.633
291.5	0.627
292.0	0.621
292.5	0.615
293.0	0.610
293.5	0.606
294.0	0.603
294.5	0.600
295.0	0.597
295.5	0.593
296.0	0.590
296.5	0.587
297.0	0.585
297.5	0.584
298.0	0.582
298.5	0.579
299.0	0.577
299.5	0.574
300.0	0.572
300.5	0.570
301.0	0.569
301.5	0.568
302.0	0.568
302.5	0.567
303.0	0.565
303.5	0.563
304.0	0.562
304.5	0.561
305.0	0.561
305.5	0.561
306.0	0.561
306.5	0.561
307.0	0.561
307.5	0.560
308.0	0.558
308.5	0.556
309.0	0.554
309.5	0.552
310.0	0.551
310.5	0.549
311.0	0.548
311.5	0.546
312.0	0.545
312.5	0.545
313.0	0.544
313.5	0.544
314.0	0.544
314.5	0.543
315.0	0.543
315.5	0.542
316.0	0.542
316.5	0.541
317.0	0.541
317.5	0.541
318.0	0.541
318.5	0.541
319.0	0.541
319.5	0.541
320.0	0.540
320.5	0.540
321.0	0.540
321.5	0.540
322.0	0.540
322.5	0.539
323.0	0.539
323.5	0.538
324.0	0.537
324.5	0.537
325.0	0.537
325.5	0.538
326.0	0.538
326.5	0.538
327.0	0.538
327.5	0.537
328.0	0.538
328.5	0.538
329.0	0.537
329.5	0.537
330.0	0.535
330.5	0.535
331.0	0.534
331.5	0.533
332.0	0.532
332.5	0.532
333.0	0.532
333.5	0.533
334.0	0.534
334.5	0.535
335.0	0.535
335.5	0.534
336.0	0.532
336.5	0.530
337.0	0.530
337.5	0.530
338.0	0.530
338.5	0.530
339.0	0.530
339.5	0.528
340.0	0.526
340.5	0.523
341.0	0.524
341.5	0.526
342.0	0.527
342.5	0.525
343.0	0.521
343.5	0.518
344.0	0.517
344.5	0.516
345.0	0.516
345.5	0.515
346.0	0.513
346.5	0.511
347.0	0.509
347.5	0.511
348.0	0.513
348.5	0.515
349.0	0.514
349.5	0.515
350.0	0.517
350.5	0.520
351.0	0.521
351.5	0.518
352.0	0.514
352.5	0.510
353.0	0.507
353.5	0.506
354.0	0.508
354.5	0.511
355.0	0.512
355.5	0.511
356.0	0.510
356.5	0.510
357.0	0.510
357.5	0.510
358.0	0.509
358.5	0.507
359.0	0.507
359.5	0.509
360.0	0.513
360.5	0.514
361.0	0.511
361.5	0.506
362.0	0.502
362.5	0.503
363.0	0.508
363.5	0.512
364.0	0.514
