Batch	scan003
Instrument ID	084303
Data Mode	A
Sample	Sample001
Cycle	Cycle01
Date Collected	19/02/2025
Time Collected	01:06:56
Entries	Data Points
nm	A
200.0	XXX.XXX
200.5	XXX.XXX
201.0	XXX.XXX
201.5	XXX.XXX
202.0	XXX.XXX
202.5	XXX.XXX
203.0	XXX.XXX
203.5	XXX.XXX
204.0	XXX.XXX
204.5	XXX.XXX
205.0	XXX.XXX
205.5	XXX.XXX
206.0	XXX.XXX
206.5	XXX.XXX
207.0	XXX.XXX
207.5	XXX.XXX
208.0	XXX.XXX
208.5	XXX.XXX
209.0	XXX.XXX
209.5	XXX.XXX
210.0	XXX.XXX
210.5	XXX.XXX
211.0	XXX.XXX
211.5	XXX.XXX
212.0	XXX.XXX
212.5	XXX.XXX
213.0	XXX.XXX
213.5	XXX.XXX
214.0	XXX.XXX
214.5	XXX.XXX
215.0	XXX.XXX
215.5	XXX.XXX
216.0	XXX.XXX
216.5	XXX.XXX
217.0	XXX.XXX
217.5	XXX.XXX
218.0	XXX.XXX
218.5	XXX.XXX
219.0	1.450
219.5	1.400
220.0	1.351
220.5	1.307
221.0	1.269
221.5	1.234
222.0	1.200
222.5	1.167
223.0	1.135
223.5	1.106
224.0	1.079
224.5	1.053
225.0	1.030
225.5	1.008
226.0	0.988
226.5	0.970
227.0	0.952
227.5	0.936
228.0	0.920
228.5	0.905
229.0	0.891
229.5	0.877
230.0	0.864
230.5	0.850
231.0	0.837
231.5	0.825
232.0	0.812
232.5	0.800
233.0	0.788
233.5	0.777
234.0	0.766
234.5	0.755
235.0	0.745
235.5	0.735
236.0	0.726
236.5	0.717
237.0	0.708
237.5	0.700
238.0	0.693
238.5	0.686
239.0	0.679
239.5	0.672
240.0	0.666
240.5	0.660
241.0	0.655
241.5	0.651
242.0	0.647
242.5	0.643
243.0	0.640
243.5	0.636
244.0	0.634
244.5	0.631
245.0	0.629
245.5	0.628
246.0	0.626
246.5	0.625
247.0	0.625
247.5	0.625
248.0	0.625
248.5	0.626
249.0	0.627
249.5	0.628
250.0	0.630
250.5	0.631
251.0	0.632
251.5	0.633
252.0	0.635
252.5	0.636
253.0	0.638
253.5	0.639
254.0	0.642
254.5	0.644
255.0	0.648
255.5	0.651
256.0	0.655
256.5	0.658
257.0	0.662
257.5	0.665
258.0	0.669
258.5	0.672
259.0	0.676
259.5	0.680
260.0	0.684
260.5	0.689
261.0	0.694
261.5	0.699
262.0	0.704
262.5	0.709
263.0	0.715
263.5	0.720
264.0	0.725
264.5	0.730
265.0	0.735
265.5	0.739
266.0	0.742
266.5	0.744
267.0	0.747
267.5	0.749
268.0	0.752
268.5	0.755
269.0	0.757
269.5	0.760
270.0	0.763
270.5	0.766
271.0	0.769
271.5	0.771
272.0	0.772
272.5	0.773
273.0	0.774
273.5	0.774
274.0	0.773
274.5	0.771
275.0	0.769
275.5	0.767
276.0	0.765
276.5	0.763
277.0	0.760
277.5	0.757
278.0	0.754
278.5	0.750
279.0	0.746
279.5	0.741
280.0	0.737
280.5	0.732
281.0	0.726
281.5	0.721
282.0	0.714
282.5	0.707
283.0	0.701
283.5	0.694
284.0	0.687
284.5	0.679
285.0	0.671
285.5	0.662
286.0	0.653
286.5	0.644
287.0	0.635
287.5	0.627
288.0	0.618
288.5	0.609
289.0	0.600
289.5	0.591
290.0	0.583
290.5	0.575
291.0	0.567
291.5	0.560
292.0	0.552
292.5	0.545
293.0	0.538
293.5	0.532
294.0	0.526
294.5	0.521
295.0	0.517
295.5	0.512
296.0	0.507
296.5	0.502
297.0	0.497
297.5	0.493
298.0	0.490
298.5	0.486
299.0	0.483
299.5	0.481
300.0	0.479
300.5	0.477
301.0	0.474
301.5	0.471
302.0	0.469
302.5	0.467
303.0	0.466
303.5	0.465
304.0	0.463
304.5	0.461
305.0	0.459
305.5	0.458
306.0	0.458
306.5	0.456
307.0	0.455
307.5	0.453
308.0	0.452
308.5	0.451
309.0	0.451
309.5	0.451
310.0	0.451
310.5	0.450
311.0	0.449
311.5	0.449
312.0	0.448
312.5	0.448
313.0	0.448
313.5	0.447
314.0	0.447
314.5	0.446
315.0	0.446
315.5	0.445
316.0	0.445
316.5	0.446
317.0	0.446
317.5	0.446
318.0	0.445
318.5	0.445
319.0	0.444
319.5	0.443
320.0	0.442
320.5	0.440
321.0	0.439
321.5	0.438
322.0	0.438
322.5	0.437
323.0	0.436
323.5	0.434
324.0	0.432
324.5	0.430
325.0	0.428
325.5	0.426
326.0	0.425
326.5	0.423
327.0	0.421
327.5	0.420
328.0	0.418
328.5	0.416
329.0	0.413
329.5	0.410
330.0	0.406
330.5	0.402
331.0	0.399
331.5	0.396
332.0	0.393
332.5	0.389
333.0	0.386
333.5	0.383
334.0	0.379
334.5	0.374
335.0	0.369
335.5	0.364
336.0	0.360
336.5	0.355
337.0	0.351
337.5	0.347
338.0	0.343
338.5	0.338
339.0	0.333
339.5	0.326
340.0	0.319
340.5	0.313
341.0	0.308
341.5	0.304
342.0	0.300
342.5	0.298
343.0	0.298
343.5	0.296
344.0	0.293
344.5	0.288
345.0	0.282
345.5	0.277
346.0	0.272
346.5	0.265
347.0	0.258
347.5	0.250
348.0	0.243
348.5	0.239
349.0	0.238
349.5	0.239
350.0	0.237
350.5	0.232
351.0	0.225
351.5	0.219
352.0	0.216
352.5	0.215
353.0	0.215
353.5	0.211
354.0	0.206
354.5	0.201
355.0	0.197
355.5	0.192
356.0	0.183
356.5	0.174
357.0	0.168
357.5	0.168
358.0	0.172
358.5	0.175
359.0	0.176
359.5	0.174
360.0	0.171
360.5	0.167
361.0	0.163
361.5	0.159
362.0	0.155
362.5	0.154
363.0	0.154
363.5	0.151
364.0	0.145
364.5	0.140
365.0	0.138
365.5	0.140
366.0	0.141
