Batch	scan001
Instrument ID	084303
Data Mode	A
Sample	Sample001
Cycle	Cycle01
Date Collected	17/01/2025
Time Collected	01:30:28
Entries	Data Points
nm	A
200.0	XXX.XXX
200.5	XXX.XXX
201.0	XXX.XXX
201.5	XXX.XXX
202.0	XXX.XXX
202.5	XXX.XXX
203.0	XXX.XXX
203.5	XXX.XXX
204.0	XXX.XXX
204.5	XXX.XXX
205.0	XXX.XXX
205.5	XXX.XXX
206.0	XXX.XXX
206.5	XXX.XXX
207.0	XXX.XXX
207.5	XXX.XXX
208.0	XXX.XXX
208.5	XXX.XXX
209.0	XXX.XXX
209.5	XXX.XXX
210.0	XXX.XXX
210.5	XXX.XXX
211.0	XXX.XXX
211.5	XXX.XXX
212.0	XXX.XXX
212.5	XXX.XXX
213.0	XXX.XXX
213.5	XXX.XXX
214.0	XXX.XXX
214.5	1.519
215.0	1.461
215.5	1.408
216.0	1.363
216.5	1.323
217.0	1.287
217.5	1.253
218.0	1.220
218.5	1.188
219.0	1.158
219.5	1.131
220.0	1.105
220.5	1.080
221.0	1.057
221.5	1.034
222.0	1.013
222.5	0.993
223.0	0.973
223.5	0.955
224.0	0.938
224.5	0.921
225.0	0.905
225.5	0.890
226.0	0.876
226.5	0.863
227.0	0.850
227.5	0.839
228.0	0.828
228.5	0.817
229.0	0.808
229.5	0.798
230.0	0.788
230.5	0.779
231.0	0.769
231.5	0.760
232.0	0.751
232.5	0.741
233.0	0.732
233.5	0.723
234.0	0.715
234.5	0.706
235.0	0.697
235.5	0.689
236.0	0.681
236.5	0.674
237.0	0.666
237.5	0.659
238.0	0.653
238.5	0.646
239.0	0.640
239.5	0.635
240.0	0.630
240.5	0.626
241.0	0.621
241.5	0.617
242.0	0.613
242.5	0.610
243.0	0.607
243.5	0.605
244.0	0.602
244.5	0.600
245.0	0.599
245.5	0.598
246.0	0.598
246.5	0.597
247.0	0.597
247.5	0.597
248.0	0.597
248.5	0.598
249.0	0.599
249.5	0.600
250.0	0.601
250.5	0.603
251.0	0.604
251.5	0.605
252.0	0.607
252.5	0.609
253.0	0.611
253.5	0.614
254.0	0.616
254.5	0.619
255.0	0.622
255.5	0.626
256.0	0.629
256.5	0.633
257.0	0.636
257.5	0.640
258.0	0.644
258.5	0.648
259.0	0.652
259.5	0.656
260.0	0.660
260.5	0.665
261.0	0.669
261.5	0.673
262.0	0.678
262.5	0.682
263.0	0.687
263.5	0.691
264.0	0.694
264.5	0.697
265.0	0.698
265.5	0.700
266.0	0.701
266.5	0.703
267.0	0.704
267.5	0.706
268.0	0.707
268.5	0.707
269.0	0.709
269.5	0.710
270.0	0.712
270.5	0.713
271.0	0.713
271.5	0.712
272.0	0.710
272.5	0.706
273.0	0.702
273.5	0.698
274.0	0.694
274.5	0.689
275.0	0.685
275.5	0.680
276.0	0.675
276.5	0.670
277.0	0.665
277.5	0.660
278.0	0.656
278.5	0.651
279.0	0.647
279.5	0.642
280.0	0.637
280.5	0.633
281.0	0.628
281.5	0.624
282.0	0.619
282.5	0.613
283.0	0.608
283.5	0.602
284.0	0.596
284.5	0.589
285.0	0.584
285.5	0.578
286.0	0.574
286.5	0.569
287.0	0.563
287.5	0.558
288.0	0.552
288.5	0.547
289.0	0.542
289.5	0.537
290.0	0.533
290.5	0.528
291.0	0.525
291.5	0.521
292.0	0.518
292.5	0.514
293.0	0.511
293.5	0.507
294.0	0.504
294.5	0.502
295.0	0.500
295.5	0.499
296.0	0.497
296.5	0.495
297.0	0.494
297.5	0.493
298.0	0.492
298.5	0.492
299.0	0.491
299.5	0.491
300.0	0.490
300.5	0.489
301.0	0.488
301.5	0.488
302.0	0.488
302.5	0.487
303.0	0.487
303.5	0.487
304.0	0.488
304.5	0.488
305.0	0.488
305.5	0.487
306.0	0.486
306.5	0.485
307.0	0.485
307.5	0.484
308.0	0.484
308.5	0.484
309.0	0.483
309.5	0.483
310.0	0.483
310.5	0.482
311.0	0.481
311.5	0.480
312.0	0.480
312.5	0.480
313.0	0.481
313.5	0.482
314.0	0.482
314.5	0.481
315.0	0.481
315.5	0.480
316.0	0.481
316.5	0.482
317.0	0.484
317.5	0.484
318.0	0.485
318.5	0.485
319.0	0.486
319.5	0.487
320.0	0.488
320.5	0.488
321.0	0.488
321.5	0.490
322.0	0.493
322.5	0.495
323.0	0.496
323.5	0.496
324.0	0.496
324.5	0.496
325.0	0.498
325.5	0.499
326.0	0.499
326.5	0.499
327.0	0.500
327.5	0.500
328.0	0.500
328.5	0.501
329.0	0.502
329.5	0.503
330.0	0.504
330.5	0.505
331.0	0.506
331.5	0.507
332.0	0.508
332.5	0.508
333.0	0.508
333.5	0.509
334.0	0.510
334.5	0.511
335.0	0.512
335.5	0.512
336.0	0.512
336.5	0.512
337.0	0.512
337.5	0.511
338.0	0.511
338.5	0.510
339.0	0.510
339.5	0.509
340.0	0.507
340.5	0.506
341.0	0.510
341.5	0.516
342.0	0.521
342.5	0.520
343.0	0.517
343.5	0.513
344.0	0.510
344.5	0.511
345.0	0.513
345.5	0.514
346.0	0.510
346.5	0.503
347.0	0.499
347.5	0.502
348.0	0.509
348.5	0.517
349.0	0.524
349.5	0.527
350.0	0.528
350.5	0.527
351.0	0.525
351.5	0.524
352.0	0.523
352.5	0.522
353.0	0.521
353.5	0.521
354.0	0.520
354.5	0.515
355.0	0.509
355.5	0.503
356.0	0.502
356.5	0.506
357.0	0.510
357.5	0.512
358.0	0.511
358.5	0.510
359.0	0.512
359.5	0.514
360.0	0.514
360.5	0.511
361.0	0.507
361.5	0.502
362.0	0.498
362.5	0.496
363.0	0.495
363.5	0.494
364.0	0.495
364.5	0.498
365.0	0.504
365.5	0.512
366.0	0.515
366.5	0.511
367.0	0.506
367.5	0.506
368.0	0.512
368.5	0.517
