Batch	scan003
Instrument ID	084303
Data Mode	A
Sample	Sample001
Cycle	Cycle01
Date Collected	17/01/2025
Time Collected	01:45:46
Entries	Data Points
nm	A
200.0	XXX.XXX
200.5	XXX.XXX
201.0	XXX.XXX
201.5	XXX.XXX
202.0	XXX.XXX
202.5	XXX.XXX
203.0	XXX.XXX
203.5	XXX.XXX
204.0	XXX.XXX
204.5	XXX.XXX
205.0	XXX.XXX
205.5	XXX.XXX
206.0	XXX.XXX
206.5	XXX.XXX
207.0	XXX.XXX
207.5	XXX.XXX
208.0	XXX.XXX
208.5	XXX.XXX
209.0	XXX.XXX
209.5	XXX.XXX
210.0	XXX.XXX
210.5	XXX.XXX
211.0	XXX.XXX
211.5	XXX.XXX
212.0	XXX.XXX
212.5	XXX.XXX
213.0	XXX.XXX
213.5	XXX.XXX
214.0	XXX.XXX
214.5	1.451
215.0	1.404
215.5	1.361
216.0	1.322
216.5	1.286
217.0	1.251
217.5	1.219
218.0	1.188
218.5	1.159
219.0	1.131
219.5	1.105
220.0	1.080
220.5	1.057
221.0	1.035
221.5	1.013
222.0	0.993
222.5	0.973
223.0	0.955
223.5	0.938
224.0	0.921
224.5	0.905
225.0	0.890
225.5	0.875
226.0	0.861
226.5	0.849
227.0	0.837
227.5	0.826
228.0	0.816
228.5	0.805
229.0	0.796
229.5	0.786
230.0	0.778
230.5	0.769
231.0	0.760
231.5	0.751
232.0	0.742
232.5	0.733
233.0	0.725
233.5	0.716
234.0	0.707
234.5	0.699
235.0	0.691
235.5	0.683
236.0	0.676
236.5	0.668
237.0	0.661
237.5	0.654
238.0	0.648
238.5	0.641
239.0	0.636
239.5	0.630
240.0	0.626
240.5	0.621
241.0	0.617
241.5	0.613
242.0	0.609
242.5	0.606
243.0	0.603
243.5	0.601
244.0	0.599
244.5	0.597
245.0	0.596
245.5	0.594
246.0	0.594
246.5	0.593
247.0	0.593
247.5	0.593
248.0	0.593
248.5	0.594
249.0	0.594
249.5	0.595
250.0	0.596
250.5	0.597
251.0	0.598
251.5	0.599
252.0	0.600
252.5	0.602
253.0	0.603
253.5	0.605
254.0	0.607
254.5	0.610
255.0	0.612
255.5	0.615
256.0	0.619
256.5	0.622
257.0	0.625
257.5	0.628
258.0	0.631
258.5	0.634
259.0	0.637
259.5	0.641
260.0	0.645
260.5	0.649
261.0	0.653
261.5	0.658
262.0	0.662
262.5	0.666
263.0	0.669
263.5	0.673
264.0	0.677
264.5	0.680
265.0	0.682
265.5	0.684
266.0	0.685
266.5	0.687
267.0	0.688
267.5	0.689
268.0	0.690
268.5	0.692
269.0	0.693
269.5	0.695
270.0	0.696
270.5	0.697
271.0	0.697
271.5	0.696
272.0	0.694
272.5	0.692
273.0	0.689
273.5	0.686
274.0	0.682
274.5	0.678
275.0	0.674
275.5	0.669
276.0	0.665
276.5	0.661
277.0	0.657
277.5	0.653
278.0	0.648
278.5	0.644
279.0	0.640
279.5	0.636
280.0	0.632
280.5	0.628
281.0	0.624
281.5	0.619
282.0	0.614
282.5	0.608
283.0	0.603
283.5	0.599
284.0	0.594
284.5	0.589
285.0	0.584
285.5	0.579
286.0	0.574
286.5	0.569
287.0	0.564
287.5	0.558
288.0	0.553
288.5	0.548
289.0	0.543
289.5	0.538
290.0	0.534
290.5	0.529
291.0	0.525
291.5	0.521
292.0	0.518
292.5	0.515
293.0	0.512
293.5	0.510
294.0	0.507
294.5	0.504
295.0	0.502
295.5	0.501
296.0	0.499
296.5	0.497
297.0	0.495
297.5	0.494
298.0	0.492
298.5	0.491
299.0	0.490
299.5	0.490
300.0	0.489
300.5	0.488
301.0	0.488
301.5	0.488
302.0	0.487
302.5	0.487
303.0	0.487
303.5	0.486
304.0	0.486
304.5	0.486
305.0	0.485
305.5	0.485
306.0	0.485
306.5	0.484
307.0	0.484
307.5	0.484
308.0	0.483
308.5	0.483
309.0	0.481
309.5	0.480
310.0	0.479
310.5	0.479
311.0	0.479
311.5	0.478
312.0	0.478
312.5	0.477
313.0	0.477
313.5	0.477
314.0	0.477
314.5	0.478
315.0	0.479
315.5	0.480
316.0	0.480
316.5	0.480
317.0	0.480
317.5	0.479
318.0	0.480
318.5	0.480
319.0	0.481
319.5	0.482
320.0	0.482
320.5	0.483
321.0	0.484
321.5	0.486
322.0	0.488
322.5	0.489
323.0	0.489
323.5	0.489
324.0	0.488
324.5	0.489
325.0	0.491
325.5	0.493
326.0	0.494
326.5	0.495
327.0	0.495
327.5	0.496
328.0	0.496
328.5	0.497
329.0	0.497
329.5	0.497
330.0	0.497
330.5	0.497
331.0	0.498
331.5	0.498
332.0	0.498
332.5	0.498
333.0	0.498
333.5	0.499
334.0	0.499
334.5	0.499
335.0	0.498
335.5	0.498
336.0	0.498
336.5	0.498
337.0	0.498
337.5	0.498
338.0	0.497
338.5	0.498
339.0	0.499
339.5	0.499
340.0	0.499
340.5	0.499
341.0	0.500
341.5	0.500
342.0	0.498
342.5	0.493
343.0	0.488
343.5	0.484
344.0	0.481
344.5	0.483
345.0	0.489
345.5	0.498
346.0	0.502
346.5	0.501
347.0	0.495
347.5	0.489
348.0	0.486
348.5	0.487
349.0	0.487
349.5	0.486
350.0	0.483
350.5	0.482
351.0	0.482
351.5	0.483
352.0	0.484
352.5	0.486
353.0	0.492
353.5	0.499
354.0	0.504
354.5	0.505
355.0	0.502
355.5	0.496
356.0	0.491
356.5	0.487
357.0	0.484
357.5	0.481
358.0	0.481
358.5	0.483
359.0	0.487
359.5	0.492
360.0	0.497
360.5	0.496
361.0	0.489
361.5	0.479
362.0	0.472
362.5	0.473
363.0	0.480
363.5	0.485
364.0	0.486
364.5	0.481
365.0	0.476
365.5	0.473
366.0	0.473
366.5	0.475
367.0	0.478
367.5	0.481
368.0	0.484
368.5	0.487
