Batch	scan008
Instrument ID	084303
Data Mode	A
Sample	Sample001
Cycle	Cycle01
Date Collected	14/02/2025
Time Collected	01:01:41
Entries	Data Points
nm	A
200.0	XXX.XXX
200.5	XXX.XXX
201.0	XXX.XXX
201.5	XXX.XXX
202.0	XXX.XXX
202.5	XXX.XXX
203.0	XXX.XXX
203.5	XXX.XXX
204.0	XXX.XXX
204.5	XXX.XXX
205.0	XXX.XXX
205.5	XXX.XXX
206.0	XXX.XXX
206.5	XXX.XXX
207.0	XXX.XXX
207.5	XXX.XXX
208.0	XXX.XXX
208.5	XXX.XXX
209.0	XXX.XXX
209.5	XXX.XXX
210.0	XXX.XXX
210.5	XXX.XXX
211.0	XXX.XXX
211.5	XXX.XXX
212.0	XXX.XXX
212.5	XXX.XXX
213.0	XXX.XXX
213.5	XXX.XXX
214.0	XXX.XXX
214.5	XXX.XXX
215.0	XXX.XXX
215.5	XXX.XXX
216.0	XXX.XXX
216.5	XXX.XXX
217.0	XXX.XXX
217.5	XXX.XXX
218.0	XXX.XXX
218.5	XXX.XXX
219.0	XXX.XXX
219.5	XXX.XXX
220.0	XXX.XXX
220.5	XXX.XXX
221.0	XXX.XXX
221.5	1.581
222.0	1.531
222.5	1.484
223.0	1.441
223.5	1.402
224.0	1.366
224.5	1.333
225.0	1.303
225.5	1.275
226.0	1.250
226.5	1.228
227.0	1.208
227.5	1.190
228.0	1.172
228.5	1.155
229.0	1.140
229.5	1.125
230.0	1.112
230.5	1.099
231.0	1.086
231.5	1.074
232.0	1.061
232.5	1.048
233.0	1.036
233.5	1.024
234.0	1.011
234.5	0.999
235.0	0.987
235.5	0.976
236.0	0.964
236.5	0.954
237.0	0.943
237.5	0.934
238.0	0.924
238.5	0.915
239.0	0.907
239.5	0.899
240.0	0.891
240.5	0.884
241.0	0.876
241.5	0.870
242.0	0.863
242.5	0.857
243.0	0.851
243.5	0.845
244.0	0.840
244.5	0.835
245.0	0.830
245.5	0.825
246.0	0.821
246.5	0.817
247.0	0.813
247.5	0.809
248.0	0.806
248.5	0.803
249.0	0.800
249.5	0.797
250.0	0.794
250.5	0.792
251.0	0.789
251.5	0.786
252.0	0.783
252.5	0.781
253.0	0.779
253.5	0.777
254.0	0.777
254.5	0.776
255.0	0.776
255.5	0.776
256.0	0.778
256.5	0.779
257.0	0.781
257.5	0.784
258.0	0.786
258.5	0.789
259.0	0.793
259.5	0.797
260.0	0.801
260.5	0.807
261.0	0.813
261.5	0.819
262.0	0.826
262.5	0.834
263.0	0.841
263.5	0.848
264.0	0.855
264.5	0.862
265.0	0.869
265.5	0.876
266.0	0.883
266.5	0.890
267.0	0.897
267.5	0.904
268.0	0.911
268.5	0.918
269.0	0.926
269.5	0.934
270.0	0.941
270.5	0.948
271.0	0.954
271.5	0.959
272.0	0.964
272.5	0.969
273.0	0.973
273.5	0.976
274.0	0.978
274.5	0.980
275.0	0.982
275.5	0.984
276.0	0.985
276.5	0.986
277.0	0.987
277.5	0.987
278.0	0.987
278.5	0.987
279.0	0.986
279.5	0.985
280.0	0.984
280.5	0.983
281.0	0.980
281.5	0.978
282.0	0.975
282.5	0.971
283.0	0.967
283.5	0.962
284.0	0.957
284.5	0.952
285.0	0.947
285.5	0.941
286.0	0.935
286.5	0.928
287.0	0.921
287.5	0.914
288.0	0.908
288.5	0.902
289.0	0.895
289.5	0.888
290.0	0.881
290.5	0.874
291.0	0.867
291.5	0.861
292.0	0.855
292.5	0.850
293.0	0.845
293.5	0.840
294.0	0.835
294.5	0.831
295.0	0.826
295.5	0.822
296.0	0.818
296.5	0.815
297.0	0.812
297.5	0.809
298.0	0.806
298.5	0.803
299.0	0.800
299.5	0.798
300.0	0.796
300.5	0.795
301.0	0.794
301.5	0.793
302.0	0.791
302.5	0.790
303.0	0.789
303.5	0.789
304.0	0.789
304.5	0.789
305.0	0.789
305.5	0.788
306.0	0.788
306.5	0.788
307.0	0.787
307.5	0.787
308.0	0.788
308.5	0.789
309.0	0.791
309.5	0.792
310.0	0.794
310.5	0.796
311.0	0.797
311.5	0.799
312.0	0.801
312.5	0.804
313.0	0.806
313.5	0.808
314.0	0.809
314.5	0.809
315.0	0.810
315.5	0.812
316.0	0.814
316.5	0.816
317.0	0.819
317.5	0.821
318.0	0.822
318.5	0.822
319.0	0.821
319.5	0.821
320.0	0.823
320.5	0.824
321.0	0.825
321.5	0.825
322.0	0.824
322.5	0.823
323.0	0.822
323.5	0.822
324.0	0.821
324.5	0.820
325.0	0.817
325.5	0.814
326.0	0.810
326.5	0.807
327.0	0.803
327.5	0.799
328.0	0.794
328.5	0.789
329.0	0.785
329.5	0.781
330.0	0.775
330.5	0.769
331.0	0.762
331.5	0.755
332.0	0.750
332.5	0.745
333.0	0.739
333.5	0.732
334.0	0.723
334.5	0.713
335.0	0.703
335.5	0.696
336.0	0.689
336.5	0.681
337.0	0.671
337.5	0.660
338.0	0.651
338.5	0.645
339.0	0.643
339.5	0.641
340.0	0.634
340.5	0.618
341.0	0.598
341.5	0.580
342.0	0.567
342.5	0.560
343.0	0.555
343.5	0.549
344.0	0.539
344.5	0.525
345.0	0.510
345.5	0.498
346.0	0.491
346.5	0.487
347.0	0.480
347.5	0.472
348.0	0.463
348.5	0.453
349.0	0.443
349.5	0.432
350.0	0.419
350.5	0.406
351.0	0.396
351.5	0.388
352.0	0.383
352.5	0.378
353.0	0.369
353.5	0.356
354.0	0.343
354.5	0.333
355.0	0.326
355.5	0.320
356.0	0.313
356.5	0.306
357.0	0.301
357.5	0.300
358.0	0.298
358.5	0.294
359.0	0.285
359.5	0.274
360.0	0.264
360.5	0.259
361.0	0.255
361.5	0.252
362.0	0.246
362.5	0.239
363.0	0.231
363.5	0.226
364.0	0.225
364.5	0.226
365.0	0.226
