Batch,scan007
Instrument ID,084303
Data Mode,A
Sample,Sample001
Cycle,Cycle01
Date Collected,19/06/2025
Time Collected,04:18:49
Entries,Data Points
nm,A
190.0,XXX.XXX
190.5,XXX.XXX
191.0,XXX.XXX
191.5,XXX.XXX
192.0,XXX.XXX
192.5,XXX.XXX
193.0,XXX.XXX
193.5,XXX.XXX
194.0,XXX.XXX
194.5,XXX.XXX
195.0,XXX.XXX
195.5,XXX.XXX
196.0,XXX.XXX
196.5,XXX.XXX
197.0,XXX.XXX
197.5,XXX.XXX
198.0,XXX.XXX
198.5,XXX.XXX
199.0,XXX.XXX
199.5,XXX.XXX
200.0,XXX.XXX
200.5,XXX.XXX
201.0,XXX.XXX
201.5,XXX.XXX
202.0,XXX.XXX
202.5,XXX.XXX
203.0,XXX.XXX
203.5,XXX.XXX
204.0,XXX.XXX
204.5,XXX.XXX
205.0,XXX.XXX
205.5,XXX.XXX
206.0,XXX.XXX
206.5,XXX.XXX
207.0,XXX.XXX
207.5,XXX.XXX
208.0,XXX.XXX
208.5,XXX.XXX
209.0,XXX.XXX
209.5,XXX.XXX
210.0,XXX.XXX
210.5,XXX.XXX
211.0,XXX.XXX
211.5,XXX.XXX
212.0,XXX.XXX
212.5,XXX.XXX
213.0,XXX.XXX
213.5,XXX.XXX
214.0,XXX.XXX
214.5,XXX.XXX
215.0,XXX.XXX
215.5,XXX.XXX
216.0,XXX.XXX
216.5,XXX.XXX
217.0,XXX.XXX
217.5,XXX.XXX
218.0,XXX.XXX
218.5,XXX.XXX
219.0,XXX.XXX
219.5,XXX.XXX
220.0,XXX.XXX
220.5,XXX.XXX
221.0,XXX.XXX
221.5,XXX.XXX
222.0,XXX.XXX
222.5,XXX.XXX
223.0,XXX.XXX
223.5,XXX.XXX
224.0,XXX.XXX
224.5,XXX.XXX
225.0,XXX.XXX
225.5,XXX.XXX
226.0,XXX.XXX
226.5,XXX.XXX
227.0,XXX.XXX
227.5,XXX.XXX
228.0,XXX.XXX
228.5,XXX.XXX
229.0,XXX.XXX
229.5,XXX.XXX
230.0,XXX.XXX
230.5,XXX.XXX
231.0,XXX.XXX
231.5,XXX.XXX
232.0,XXX.XXX
232.5,XXX.XXX
233.0,XXX.XXX
233.5,XXX.XXX
234.0,XXX.XXX
234.5,XXX.XXX
235.0,XXX.XXX
235.5,XXX.XXX
236.0,XXX.XXX
236.5,XXX.XXX
237.0,XXX.XXX
237.5,2.550
238.0,2.498
238.5,2.450
239.0,2.407
239.5,2.372
240.0,2.345
240.5,2.321
241.0,2.297
241.5,2.272
242.0,2.246
242.5,2.223
243.0,2.202
243.5,2.184
244.0,2.167
244.5,2.150
245.0,2.133
245.5,2.121
246.0,2.112
246.5,2.105
247.0,2.095
247.5,2.083
248.0,2.071
248.5,2.062
249.0,2.056
249.5,2.049
250.0,2.040
250.5,2.030
251.0,2.020
251.5,2.014
252.0,2.009
252.5,2.004
253.0,1.999
253.5,1.995
254.0,1.994
254.5,1.995
255.0,1.997
255.5,1.998
256.0,2.000
256.5,2.004
257.0,2.010
257.5,2.017
258.0,2.025
258.5,2.034
259.0,2.046
259.5,2.059
260.0,2.072
260.5,2.086
261.0,2.103
261.5,2.124
262.0,2.147
262.5,2.172
263.0,2.194
263.5,2.216
264.0,2.239
264.5,2.264
265.0,2.290
265.5,2.317
266.0,2.344
266.5,2.370
267.0,2.395
267.5,2.420
268.0,2.445
268.5,2.473
269.0,2.503
269.5,2.535
270.0,2.565
270.5,2.589
271.0,2.611
271.5,2.631
272.0,2.650
272.5,2.665
273.0,2.673
273.5,2.678
274.0,2.688
274.5,2.704
275.0,2.721
275.5,2.727
276.0,2.717
276.5,2.700
277.0,2.689
277.5,2.688
278.0,2.697
278.5,2.715
279.0,2.745
279.5,2.780
280.0,2.792
280.5,2.761
281.0,2.701
281.5,2.648
282.0,2.625
282.5,2.622
283.0,2.618
283.5,2.601
284.0,2.571
284.5,2.535
285.0,2.499
285.5,2.471
286.0,2.450
286.5,2.432
287.0,2.410
287.5,2.386
288.0,2.365
288.5,2.347
289.0,2.326
289.5,2.299
290.0,2.273
290.5,2.251
291.0,2.231
291.5,2.212
292.0,2.193
292.5,2.175
293.0,2.153
293.5,2.126
294.0,2.099
294.5,2.077
295.0,2.063
295.5,2.054
296.0,2.044
296.5,2.031
297.0,2.015
297.5,2.001
298.0,1.990
298.5,1.981
299.0,1.972
299.5,1.964
300.0,1.956
300.5,1.948
301.0,1.940
301.5,1.934
302.0,1.932
302.5,1.934
303.0,1.936
303.5,1.936
304.0,1.932
304.5,1.924
305.0,1.915
305.5,1.908
306.0,1.905
306.5,1.905
307.0,1.910
307.5,1.917
308.0,1.920
308.5,1.917
309.0,1.910
309.5,1.905
310.0,1.904
310.5,1.905
311.0,1.906
311.5,1.908
312.0,1.913
312.5,1.918
313.0,1.923
313.5,1.927
314.0,1.930
314.5,1.931
315.0,1.932
315.5,1.936
316.0,1.942
316.5,1.949
317.0,1.953
317.5,1.953
318.0,1.950
318.5,1.948
319.0,1.948
319.5,1.949
320.0,1.949
320.5,1.946
321.0,1.941
321.5,1.938
322.0,1.940
322.5,1.944
323.0,1.944
323.5,1.937
324.0,1.925
324.5,1.914
325.0,1.910
325.5,1.911
326.0,1.911
326.5,1.905
327.0,1.889
327.5,1.868
328.0,1.847
328.5,1.835
329.0,1.831
329.5,1.829
330.0,1.817
330.5,1.792
331.0,1.762
331.5,1.737
332.0,1.721
332.5,1.712
333.0,1.702
333.5,1.687
334.0,1.668
334.5,1.645
335.0,1.623
335.5,1.602
336.0,1.584
336.5,1.567
337.0,1.548
337.5,1.524
338.0,1.497
338.5,1.473
339.0,1.454
339.5,1.438
340.0,1.418
340.5,1.390
341.0,1.356
341.5,1.318
342.0,1.279
