"nm"	"Ch"	"Go"	"Illy"	"Mi"	"Ox"	"Ve"
220	1.392	1.543	1.619	1.105	1.8	0.715
220.5	1.355	1.5	1.578	1.08	1.748	0.703
221	1.319	1.458	1.539	1.057	1.698	0.6909999999999999
221.5	1.285	1.417	1.502	1.034	1.65	0.681
222	1.254	1.377	1.468	1.013	1.604	0.671
222.5	1.225	1.341	1.435	0.993	1.56	0.66
223	1.196	1.307	1.405	0.973	1.52	0.65
223.5	1.169	1.276	1.377	0.955	1.483	0.64
224	1.144	1.246	1.35	0.9379999999999999	1.449	0.632
224.5	1.119	1.217	1.323	0.921	1.416	0.622
225	1.095	1.189	1.297	0.905	1.385	0.612
225.5	1.073	1.163	1.272	0.89	1.357	0.603
226	1.053	1.14	1.25	0.876	1.332	0.595
226.5	1.035	1.119	1.23	0.863	1.31	0.588
227	1.018	1.099	1.21	0.85	1.29	0.582
227.5	1.003	1.081	1.192	0.839	1.271	0.576
228	0.988	1.063	1.175	0.828	1.254	0.571
228.5	0.975	1.046	1.158	0.8169999999999999	1.237	0.5649999999999999
229	0.962	1.03	1.142	0.8080000000000001	1.221	0.5580000000000001
229.5	0.95	1.014	1.127	0.798	1.205	0.553
230	0.9379999999999999	0.999	1.113	0.788	1.191	0.548
230.5	0.926	0.984	1.098	0.779	1.177	0.543
231	0.914	0.969	1.084	0.769	1.164	0.539
231.5	0.903	0.955	1.07	0.76	1.151	0.535
232	0.892	0.9409999999999999	1.055	0.751	1.138	0.53
232.5	0.882	0.928	1.041	0.741	1.125	0.525
233	0.871	0.914	1.027	0.732	1.112	0.52
233.5	0.861	0.902	1.014	0.723	1.098	0.517
234	0.851	0.889	1.001	0.715	1.085	0.513
234.5	0.841	0.877	0.989	0.706	1.072	0.508
235	0.832	0.865	0.977	0.697	1.059	0.504
235.5	0.823	0.854	0.965	0.6889999999999999	1.047	0.499
236	0.8149999999999999	0.843	0.954	0.681	1.035	0.494
236.5	0.8070000000000001	0.832	0.9429999999999999	0.674	1.024	0.49
237	0.799	0.822	0.9330000000000001	0.666	1.013	0.488
237.5	0.791	0.8129999999999999	0.923	0.659	1.002	0.486
238	0.784	0.804	0.914	0.653	0.992	0.482
238.5	0.776	0.796	0.905	0.646	0.982	0.479
239	0.77	0.789	0.898	0.64	0.973	0.476
239.5	0.764	0.782	0.89	0.635	0.965	0.474
240	0.758	0.775	0.884	0.63	0.956	0.471
240.5	0.753	0.769	0.877	0.626	0.948	0.469
241	0.748	0.763	0.871	0.621	0.9409999999999999	0.467
241.5	0.743	0.757	0.865	0.617	0.9330000000000001	0.465
242	0.738	0.752	0.859	0.613	0.926	0.463
242.5	0.733	0.748	0.855	0.61	0.92	0.461
243	0.729	0.744	0.851	0.607	0.913	0.46
243.5	0.726	0.741	0.847	0.605	0.907	0.459
244	0.722	0.738	0.843	0.602	0.901	0.457
244.5	0.719	0.735	0.84	0.6	0.895	0.455
245	0.716	0.733	0.837	0.599	0.89	0.455
245.5	0.713	0.731	0.834	0.598	0.885	0.454
246	0.71	0.729	0.832	0.598	0.88	0.454
246.5	0.707	0.728	0.83	0.597	0.876	0.453
247	0.705	0.728	0.828	0.597	0.871	0.453
247.5	0.702	0.728	0.827	0.597	0.866	0.452
248	0.7	0.728	0.826	0.597	0.862	0.452
248.5	0.698	0.728	0.826	0.598	0.858	0.452
249	0.696	0.728	0.825	0.599	0.855	0.452
249.5	0.694	0.73	0.825	0.6	0.851	0.451
250	0.6919999999999999	0.731	0.825	0.601	0.848	0.452
250.5	0.6899999999999999	0.733	0.825	0.603	0.844	0.452
251	0.6889999999999999	0.734	0.825	0.604	0.841	0.453
251.5	0.6870000000000001	0.736	0.825	0.605	0.838	0.452
252	0.6860000000000001	0.737	0.825	0.607	0.835	0.452
252.5	0.6850000000000001	0.738	0.826	0.609	0.832	0.453
253	0.6840000000000001	0.739	0.826	0.611	0.83	0.454
253.5	0.6830000000000001	0.741	0.827	0.614	0.828	0.454
254	0.6820000000000001	0.744	0.829	0.616	0.826	0.455
254.5	0.6820000000000001	0.747	0.831	0.619	0.825	0.456
255	0.6820000000000001	0.75	0.834	0.622	0.825	0.457
255.5	0.6820000000000001	0.754	0.837	0.626	0.826	0.459
256	0.6820000000000001	0.757	0.84	0.629	0.827	0.46
256.5	0.6840000000000001	0.762	0.843	0.633	0.828	0.462
257	0.6850000000000001	0.766	0.846	0.636	0.829	0.463
257.5	0.6870000000000001	0.77	0.85	0.64	0.832	0.465
258	0.6889999999999999	0.774	0.853	0.644	0.834	0.468
258.5	0.6899999999999999	0.778	0.857	0.648	0.838	0.471
259	0.6919999999999999	0.782	0.86	0.652	0.842	0.472
259.5	0.6929999999999999	0.786	0.863	0.656	0.847	0.474
260	0.695	0.79	0.866	0.66	0.852	0.477
260.5	0.697	0.795	0.87	0.665	0.858	0.481
261	0.7	0.8	0.875	0.669	0.864	0.485
261.5	0.704	0.806	0.881	0.673	0.871	0.489
262	0.709	0.8129999999999999	0.887	0.678	0.878	0.493
262.5	0.714	0.819	0.893	0.6820000000000001	0.886	0.497
263	0.719	0.826	0.898	0.6870000000000001	0.895	0.501
263.5	0.724	0.833	0.903	0.6909999999999999	0.904	0.504
264	0.728	0.84	0.908	0.694	0.913	0.507
264.5	0.733	0.845	0.913	0.697	0.921	0.511
265	0.736	0.85	0.917	0.698	0.929	0.514
265.5	0.74	0.855	0.921	0.7	0.9360000000000001	0.517
266	0.742	0.858	0.924	0.701	0.9429999999999999	0.521
266.5	0.745	0.861	0.926	0.703	0.951	0.524
267	0.747	0.864	0.929	0.704	0.958	0.526
267.5	0.75	0.867	0.9320000000000001	0.706	0.966	0.53
268	0.754	0.871	0.9350000000000001	0.707	0.975	0.533
268.5	0.758	0.875	0.9379999999999999	0.707	0.983	0.537
269	0.762	0.88	0.9409999999999999	0.709	0.992	0.541
269.5	0.765	0.885	0.944	0.71	1	0.544
270	0.769	0.889	0.947	0.712	1.009	0.546
270.5	0.773	0.892	0.95	0.713	1.018	0.548
271	0.777	0.894	0.951	0.713	1.026	0.553
271.5	0.78	0.896	0.952	0.712	1.033	0.5580000000000001
272	0.783	0.897	0.953	0.71	1.038	0.5600000000000001
272.5	0.786	0.898	0.953	0.706	1.043	0.5610000000000001
273	0.788	0.898	0.952	0.702	1.047	0.5639999999999999
273.5	0.79	0.897	0.951	0.698	1.051	0.5649999999999999
274	0.792	0.897	0.949	0.694	1.054	0.5649999999999999
274.5	0.792	0.896	0.947	0.6889999999999999	1.057	0.5649999999999999
275	0.792	0.894	0.944	0.6850000000000001	1.06	0.5659999999999999
275.5	0.791	0.892	0.9409999999999999	0.68	1.061	0.5679999999999999
276	0.791	0.891	0.9379999999999999	0.675	1.063	0.57
276.5	0.792	0.888	0.9360000000000001	0.67	1.065	0.57
