Batch	scan006
Instrument ID	084303
Data Mode	%T
Sample	Sample001
Cycle	Cycle01
Date Collected	16/01/2025
Time Collected	03:34:37
Entries	Data Points
nm	%T
390.0	XXX.XXX
391.0	XXX.XXX
392.0	XXX.XXX
393.0	XXX.XXX
394.0	50.229
395.0	50.547
396.0	50.026
397.0	50.368
398.0	51.373
399.0	51.265
400.0	51.045
401.0	53.127
402.0	55.201
403.0	55.474
404.0	56.227
405.0	57.382
406.0	57.284
407.0	56.528
408.0	57.133
409.0	59.126
410.0	60.556
411.0	60.879
412.0	60.055
413.0	59.153
414.0	59.239
415.0	59.156
416.0	59.525
417.0	60.743
418.0	61.010
419.0	60.902
420.0	61.944
421.0	62.787
422.0	61.722
423.0	61.465
424.0	63.246
425.0	63.790
426.0	64.655
427.0	67.140
428.0	66.774
429.0	64.690
430.0	65.321
431.0	66.670
432.0	66.606
433.0	66.465
434.0	66.749
435.0	67.517
436.0	68.536
437.0	69.082
438.0	69.166
439.0	68.929
440.0	68.894
441.0	69.140
442.0	68.673
443.0	68.325
444.0	69.472
445.0	70.882
446.0	70.869
447.0	69.831
448.0	69.717
449.0	71.094
450.0	72.285
451.0	72.251
452.0	71.573
453.0	71.949
454.0	74.063
455.0	74.766
456.0	72.713
457.0	71.773
458.0	73.287
459.0	74.296
460.0	73.482
461.0	73.014
462.0	74.444
463.0	75.824
464.0	75.829
465.0	75.889
466.0	76.280
467.0	76.258
468.0	76.514
469.0	76.928
470.0	76.806
471.0	76.857
472.0	77.305
473.0	77.701
474.0	77.685
475.0	77.277
476.0	77.176
477.0	77.455
478.0	78.056
479.0	78.739
480.0	78.528
481.0	77.917
482.0	78.210
483.0	79.069
484.0	79.457
485.0	79.586
486.0	80.021
487.0	79.957
488.0	79.380
489.0	79.615
490.0	80.554
491.0	81.133
492.0	80.795
493.0	80.287
494.0	80.727
495.0	81.380
496.0	81.500
497.0	81.600
498.0	81.412
499.0	80.972
500.0	81.323
501.0	82.058
502.0	82.206
503.0	81.927
504.0	81.871
505.0	82.448
506.0	83.123
507.0	83.173
508.0	82.757
509.0	82.530
510.0	82.920
511.0	83.487
512.0	83.498
513.0	83.406
514.0	83.545
515.0	83.154
516.0	82.815
517.0	83.617
518.0	84.556
519.0	84.517
520.0	84.408
521.0	84.810
522.0	84.964
523.0	84.854
524.0	84.774
525.0	84.812
526.0	84.987
527.0	84.950
528.0	85.024
529.0	85.535
530.0	86.014
531.0	86.083
532.0	85.690
533.0	85.336
534.0	85.606
535.0	86.124
536.0	86.187
