Batch	scan004
Instrument ID	084303
Data Mode	%T
Sample	Sample001
Cycle	Cycle01
Date Collected	14/02/2025
Time Collected	12:38:54
Entries	Data Points
nm	%T
390.0	XXX.XXX
391.0	XXX.XXX
392.0	XXX.XXX
393.0	XXX.XXX
394.0	38.505
395.0	38.619
396.0	40.756
397.0	41.574
398.0	42.041
399.0	42.844
400.0	43.300
401.0	44.047
402.0	43.706
403.0	42.191
404.0	42.229
405.0	44.100
406.0	46.265
407.0	47.401
408.0	47.560
409.0	48.427
410.0	49.005
411.0	47.833
412.0	47.614
413.0	49.208
414.0	49.714
415.0	49.258
416.0	50.524
417.0	53.396
418.0	54.940
419.0	53.945
420.0	53.161
421.0	54.520
422.0	55.826
423.0	55.660
424.0	55.881
425.0	56.560
426.0	56.307
427.0	56.391
428.0	57.099
429.0	57.495
430.0	58.193
431.0	59.422
432.0	60.798
433.0	61.165
434.0	60.364
435.0	60.195
436.0	61.111
437.0	62.089
438.0	62.441
439.0	62.470
440.0	62.701
441.0	63.202
442.0	63.758
443.0	64.058
444.0	63.989
445.0	63.408
446.0	63.058
447.0	63.554
448.0	64.273
449.0	65.129
450.0	65.904
451.0	66.180
452.0	66.351
453.0	66.714
454.0	66.940
455.0	66.905
456.0	67.000
457.0	67.182
458.0	67.676
459.0	68.690
460.0	69.234
461.0	69.126
462.0	69.333
463.0	69.935
464.0	70.325
465.0	70.293
466.0	70.050
467.0	70.274
468.0	71.106
469.0	71.535
470.0	71.410
471.0	71.329
472.0	71.491
473.0	72.098
474.0	72.627
475.0	72.734
476.0	73.179
477.0	73.880
478.0	74.377
479.0	74.865
480.0	75.124
481.0	75.169
482.0	75.297
483.0	75.357
484.0	75.457
485.0	75.816
486.0	76.142
487.0	75.989
488.0	75.791
489.0	76.242
490.0	77.004
491.0	77.493
492.0	77.434
493.0	76.881
494.0	76.437
495.0	76.975
496.0	78.719
497.0	79.956
498.0	79.607
499.0	79.383
500.0	79.588
501.0	78.908
502.0	78.423
503.0	79.151
504.0	79.712
505.0	79.714
506.0	80.205
507.0	80.956
508.0	81.043
509.0	80.578
510.0	80.418
511.0	80.818
512.0	81.248
513.0	81.333
514.0	81.052
515.0	80.913
516.0	81.436
517.0	82.300
518.0	83.058
519.0	83.200
520.0	82.695
521.0	82.540
522.0	83.009
523.0	83.411
524.0	83.519
525.0	83.617
526.0	83.785
527.0	83.874
528.0	83.971
529.0	84.227
530.0	84.303
531.0	84.233
532.0	84.545
533.0	84.749
534.0	84.516
535.0	84.535
536.0	84.848
