Batch	scan004
Instrument ID	084303
Data Mode	%T
Sample	Sample001
Cycle	Cycle01
Date Collected	16/01/2025
Time Collected	03:21:09
Entries	Data Points
nm	%T
390.0	XXX.XXX
391.0	XXX.XXX
392.0	XXX.XXX
393.0	XXX.XXX
394.0	39.213
395.0	40.955
396.0	41.226
397.0	40.217
398.0	41.047
399.0	43.176
400.0	44.220
401.0	44.399
402.0	43.857
403.0	43.110
404.0	43.441
405.0	44.803
406.0	46.901
407.0	48.851
408.0	49.685
409.0	49.406
410.0	48.493
411.0	47.917
412.0	48.332
413.0	49.441
414.0	50.236
415.0	50.334
416.0	50.752
417.0	50.913
418.0	49.756
419.0	49.972
420.0	52.802
421.0	54.865
422.0	54.678
423.0	54.350
424.0	55.456
425.0	57.195
426.0	57.977
427.0	57.586
428.0	56.978
429.0	56.944
430.0	57.659
431.0	59.065
432.0	60.440
433.0	60.532
434.0	59.511
435.0	58.864
436.0	58.991
437.0	59.574
438.0	61.037
439.0	62.239
440.0	62.186
441.0	62.405
442.0	62.840
443.0	63.328
444.0	64.460
445.0	64.060
446.0	62.247
447.0	62.667
448.0	64.494
449.0	64.358
450.0	63.527
451.0	64.291
452.0	65.344
453.0	65.144
454.0	64.695
455.0	65.521
456.0	67.181
457.0	68.204
458.0	68.255
459.0	68.201
460.0	68.444
461.0	68.319
462.0	67.695
463.0	67.118
464.0	67.469
465.0	69.178
466.0	70.507
467.0	70.311
468.0	70.292
469.0	70.877
470.0	70.775
471.0	70.781
472.0	71.380
473.0	71.459
474.0	71.361
475.0	72.015
476.0	72.744
477.0	72.865
478.0	73.134
479.0	73.088
480.0	72.632
481.0	73.384
482.0	74.641
483.0	75.106
484.0	75.214
485.0	75.369
486.0	75.400
487.0	75.198
488.0	75.288
489.0	75.603
490.0	75.481
491.0	75.320
492.0	75.682
493.0	76.571
494.0	77.532
495.0	77.621
496.0	77.409
497.0	78.102
498.0	78.704
499.0	78.445
500.0	77.951
501.0	77.439
502.0	77.239
503.0	77.777
504.0	78.734
505.0	79.266
506.0	79.289
507.0	79.290
508.0	79.200
509.0	79.364
510.0	79.948
511.0	80.266
512.0	80.229
513.0	80.048
514.0	79.860
515.0	80.092
516.0	80.564
517.0	80.686
518.0	80.919
519.0	81.516
520.0	81.420
521.0	80.825
522.0	80.983
523.0	81.617
524.0	81.954
525.0	82.148
526.0	82.511
527.0	82.630
528.0	82.244
529.0	82.473
530.0	83.397
531.0	83.517
532.0	83.098
533.0	83.249
534.0	83.832
535.0	84.173
536.0	83.849
