Batch,scan011
Instrument ID,084303
Data Mode,%T
Sample,Sample001
Cycle,Cycle01
Date Collected,19/06/2025
Time Collected,04:55:27
Entries,Data Points
nm,%T
390.0,XXX.XXX
391.0,XXX.XXX
392.0,XXX.XXX
393.0,XXX.XXX
394.0,28.544
395.0,27.840
396.0,28.821
397.0,30.298
398.0,31.764
399.0,34.339
400.0,34.894
401.0,32.514
402.0,31.845
403.0,34.138
404.0,35.495
405.0,35.376
406.0,36.812
407.0,38.930
408.0,39.167
409.0,38.464
410.0,38.050
411.0,37.315
412.0,36.663
413.0,37.334
414.0,38.880
415.0,39.789
416.0,39.968
417.0,39.740
418.0,39.320
419.0,40.187
420.0,42.031
421.0,42.759
422.0,42.766
423.0,43.179
424.0,43.293
425.0,43.358
426.0,44.244
427.0,45.026
428.0,45.682
429.0,46.656
430.0,46.818
431.0,46.404
432.0,46.198
433.0,45.844
434.0,45.829
435.0,46.444
436.0,47.468
437.0,48.614
438.0,48.634
439.0,48.182
440.0,48.819
441.0,49.579
442.0,50.223
443.0,51.194
444.0,51.243
445.0,50.154
446.0,49.753
447.0,51.104
448.0,52.671
449.0,52.904
450.0,52.407
451.0,52.357
452.0,52.999
453.0,53.444
454.0,53.735
455.0,54.573
456.0,55.398
457.0,55.995
458.0,56.330
459.0,56.241
460.0,56.667
461.0,57.358
462.0,57.183
463.0,57.257
464.0,58.305
465.0,59.072
466.0,59.417
467.0,59.919
468.0,60.042
469.0,59.634
470.0,59.650
471.0,60.205
472.0,60.392
473.0,60.593
474.0,61.677
475.0,62.557
476.0,62.376
477.0,62.388
478.0,62.908
479.0,63.014
480.0,63.124
481.0,63.386
482.0,63.437
483.0,63.683
484.0,63.842
485.0,64.100
486.0,65.227
487.0,66.399
488.0,66.520
489.0,66.233
490.0,66.490
491.0,66.697
492.0,66.892
493.0,67.572
494.0,67.750
495.0,67.406
496.0,67.675
497.0,68.639
498.0,69.359
499.0,69.355
500.0,69.168
501.0,69.206
502.0,69.521
503.0,69.848
504.0,70.038
505.0,70.478
506.0,70.903
507.0,70.960
508.0,71.383
509.0,72.135
510.0,71.978
511.0,71.247
512.0,71.510
513.0,72.460
514.0,72.983
515.0,73.132
516.0,72.806
517.0,72.485
518.0,73.138
519.0,74.006
520.0,74.369
521.0,74.401
522.0,74.028
523.0,73.645
524.0,73.796
525.0,74.449
526.0,75.023
527.0,75.061
528.0,75.178
529.0,75.640
530.0,75.821
531.0,75.647
532.0,75.371
533.0,75.239
534.0,75.523
535.0,75.895
536.0,75.987
