Illy,Mucilago,Cafeina,Ox,Mi,Ch,Go,Verde,hv
1.2285125235769853e-34,1.4969656100760914e-34,8.43340538198784e-34,2.5788230832539374e-34,3.5565752713717385e-34,4.242507896461024e-34,4.198670632608192e-34,4.152317637507206e-34,9.02943090909091e-19
1.2191141489445519e-34,1.4716846058071418e-34,8.268644668128924e-34,2.5814899608609667e-34,3.6034683241108982e-34,4.227862815434915e-34,4.138201423984081e-34,4.136978612298605e-34,8.988573755656109e-19
1.2731955812965844e-34,1.5311099875894368e-34,8.302150451061759e-34,2.6662048365699885e-34,3.6602786883019918e-34,4.295404732060824e-34,4.239232721282059e-34,4.212896383130125e-34,8.948084684684684e-19
1.3049546737872971e-34,1.5179710545136105e-34,8.222075019269357e-34,2.638538870228852e-34,3.6530242666704557e-34,4.318424054361407e-34,4.218391299566855e-34,4.200399878100384e-34,8.907958744394617e-19
1.3258102672095713e-34,1.5331747978540013e-34,8.085057225414468e-34,2.6342971334086164e-34,3.6503535279324215e-34,4.171946425746582e-34,4.178741329819632e-34,4.158368390139577e-34,8.86819107142857e-19
1.3953598589131189e-34,1.5815305757290338e-34,8.083240859115864e-34,2.6664003139703486e-34,3.721714732145771e-34,4.295338407145441e-34,4.206039135329054e-34,4.1940020438376175e-34,8.828776888888888e-19
1.4222959467747198e-34,1.6455241546611525e-34,8.088723269390623e-34,2.72602461199379e-34,3.765064708419399e-34,4.322827432387202e-34,4.2675936543028164e-34,4.304757516214457e-34,8.789711504424778e-19
1.454615652257315e-34,1.68396283580064e-34,8.0766596008807e-34,2.8086195222429395e-34,3.871469197063357e-34,4.369610340481565e-34,4.309609169341293e-34,4.349069266640371e-34,8.750990308370044e-19
1.54367619062947e-34,1.7547620198120562e-34,8.122076288998879e-34,2.8980741657778383e-34,3.869995832170636e-34,4.422858736935489e-34,4.359740604620972e-34,4.3374317877070054e-34,8.712608771929823e-19
1.5831027478936232e-34,1.8222039422113203e-34,8.148760090142356e-34,2.928697873823388e-34,3.9417279831626495e-34,4.436869226582877e-34,4.378004656419215e-34,4.405809821353388e-34,8.674562445414847e-19
1.6392691210802469e-34,1.8603179545978158e-34,8.12201024265881e-34,3.0124651180909515e-34,3.962217868156787e-34,4.507106789251898e-34,4.39549255987929e-34,4.4125528165240346e-34,8.636846956521738e-19
1.6945796945412097e-34,1.9053388947678487e-34,8.189528747977496e-34,3.0585732808728183e-34,4.05268104668443e-34,4.51600524271422e-34,4.4772862313432584e-34,4.4880100365647465e-34,8.599458008658008e-19
1.7465306487680225e-34,1.9670131743016093e-34,8.152707306593503e-34,3.136447219417027e-34,4.133574281940404e-34,4.597182977520886e-34,4.500130351430789e-34,4.606757203304733e-34,8.562391379310344e-19
1.8148843263956733e-34,2.020563984663567e-34,8.249671508726928e-34,3.1900547597781563e-34,4.1843270975135864e-34,4.648258878973155e-34,4.584745359006941e-34,4.6139802523563974e-34,8.525642918454935e-19
1.8478486193412037e-34,2.0762709231782605e-34,8.19274048124903e-34,3.24684538816312e-34,4.252075577879304e-34,4.660092180187721e-34,4.620494588232836e-34,4.680636508388839e-34,8.489208547008548e-19
1.875851209249685e-34,2.0963482074760788e-34,8.148361408564367e-34,3.2850798186790202e-34,4.268758686828811e-34,4.677358170163686e-34,4.6390168765512856e-34,4.686435190830475e-34,8.453084255319148e-19
1.910850322181645e-34,2.1354166237996327e-34,8.194711023691307e-34,3.3174620391323304e-34,4.272005933044315e-34,4.7064436780262115e-34,4.6473732484762515e-34,4.729091025964553e-34,8.417266101694914e-19
1.9246029777172483e-34,2.151809455238873e-34,8.159041674028514e-34,3.3423805919430226e-34,4.326294130130108e-34,4.734499532851109e-34,4.660431379655143e-34,4.716635037357051e-34,8.381750210970464e-19
1.928493031582166e-34,2.181258142168616e-34,8.086354566330639e-34,3.3637224545245814e-34,4.34949935514394e-34,4.738931045348009e-34,4.661130280403486e-34,4.784776412989838e-34,8.346532773109244e-19
1.9510220470588963e-34,2.199788634488966e-34,8.120181611543163e-34,3.3503397454480872e-34,4.35257365787594e-34,4.789273211730708e-34,4.70770477138774e-34,4.804796972051989e-34,8.311610041841004e-19
1.9357901867116204e-34,2.1629482315192805e-34,7.956071574201155e-34,3.3680157030855686e-34,4.306564959399243e-34,4.705383639382558e-34,4.630931622312951e-34,4.7363679982094604e-34,8.276978333333332e-19
1.9338646407202445e-34,2.150767934280949e-34,7.947474294429116e-34,3.3299948361838394e-34,4.278562494962098e-34,4.729996899672022e-34,4.643894787607415e-34,4.746485009719803e-34,8.242634024896265e-19
1.8790363183545564e-34,2.1176579491312465e-34,7.786621973721215e-34,3.2778336090740124e-34,4.250575768660259e-34,4.6132730036843825e-34,4.5676950628511e-34,4.677380857092617e-34,8.208573553719008e-19
1.8141656911775014e-34,2.0560346551991496e-34,7.569109822442327e-34,3.2259418888674923e-34,4.155006916901424e-34,4.548875884690251e-34,4.44168174518599e-34,4.597983246922288e-34,8.17479341563786e-19
1.7739319689345136e-34,1.9784625344945737e-34,7.3738355780729636e-34,3.1542281934078488e-34,4.041577717742607e-34,4.498861336160129e-34,4.414462780482783e-34,4.508188561048358e-34,8.141290163934425e-19
