Baseline 100%T,,Illy,,Mucilago,,Cafeina,,Ox,,Mi,,Ch,,Go,,Verde,,C2,,C1,,C3,,C4,,OFL1,,OFL2,,OFL3,,
Wavelength (nm),%R,Wavelength (nm),%R,Wavelength (nm),%R,Wavelength (nm),%R,Wavelength (nm),%R,Wavelength (nm),%R,Wavelength (nm),%R,Wavelength (nm),%R,Wavelength (nm),%R,Wavelength (nm),%R,Wavelength (nm),%R,Wavelength (nm),%R,Wavelength (nm),%R,Wavelength (nm),%R,Wavelength (nm),%R,Wavelength (nm),%R,
2500,33.97133255,2500,56.83333206,2500,63.69066238,2500,60.84210968,2500,57.72837448,2500,59.75899124,2500,59.59399414,2500,64.37231445,2500,66.86844635,2500,69.91698456,2500,66.52868652,2500,74.95654297,2500,57.83764648,2500,118.0865402,2500,162.1624451,2500,91.10678101,
2499,33.51974487,2499,59.56877899,2499,63.32748032,2499,62.39562225,2499,59.79995728,2499,59.85511398,2499,60.078125,2499,64.71910095,2499,67.978302,2499,71.48297119,2499,68.03718567,2499,76.62416077,2499,58.92493057,2499,120.336937,2499,164.0137939,2499,92.60704803,
2498,34.33873367,2498,57.4720192,2498,62.68821335,2498,61.73552322,2498,56.83675385,2498,58.63284302,2498,59.94728851,2498,63.93445587,2498,65.9045105,2498,68.801651,2498,65.96765137,2498,75.21453857,2498,59.00728607,2498,116.4318771,2498,159.7586212,2498,89.64430237,
2497,34.06510162,2497,58.02315903,2497,63.13122559,2497,62.29382706,2497,58.36898041,2497,59.33632278,2497,59.46430588,2497,64.88829041,2497,66.53473663,2497,69.59911346,2497,67.01540375,2497,74.96259308,2497,58.71603394,2497,118.0278931,2497,161.2585602,2497,90.90940094,
2496,34.06884766,2496,57.782547,2496,63.51060104,2496,62.49550629,2496,58.12596512,2496,59.05467987,2496,59.19444656,2496,64.58488464,2496,66.53691864,2496,69.88301849,2496,66.82496643,2496,73.94547272,2496,59.40349197,2496,118.8245316,2496,162.0633392,2496,91.15583038,
2495,34.10355759,2495,58.58174133,2495,62.98368454,2495,62.45711517,2495,57.67544556,2495,59.26061249,2495,59.17313004,2495,64.03158569,2495,66.46765137,2495,70.35856628,2495,66.60353088,2495,74.84702301,2495,58.27812958,2495,118.5022354,2495,161.7573853,2495,90.038414,
2494,34.22253418,2494,58.18708038,2494,63.78942108,2494,61.28647232,2494,58.19171524,2494,59.13543701,2494,59.30237198,2494,64.047966,2494,66.78705597,2494,69.57466888,2494,66.38336945,2494,73.40036011,2494,58.15773773,2494,118.8330383,2494,161.2380676,2494,90.31467438,
2493,34.3549118,2493,57.27452087,2493,62.82363129,2493,61.74908829,2493,58.87246704,2493,59.46320724,2493,59.21577072,2493,64.25565338,2493,65.95662689,2493,69.97579193,2493,65.97307587,2493,73.75422668,2493,59.33609009,2493,117.8858795,2493,160.355835,2493,90.14490509,
2492,34.45142746,2492,57.50037003,2492,62.2819252,2492,61.79836273,2492,57.50734329,2492,58.72682953,2492,58.52445221,2492,63.68281937,2492,65.54231262,2492,69.58261871,2492,65.45818329,2492,73.73960876,2492,57.93284225,2492,117.6758881,2492,160.2979279,2492,90.15007019,
2491,34.36594772,2491,58.07262802,2491,61.95567322,2491,61.36681366,2491,57.30804825,2491,58.97356796,2491,59.2661438,2491,64.06929779,2491,66.04792786,2491,69.74477386,2491,65.93757629,2491,73.97373962,2491,58.00955963,2491,117.9671555,2491,160.8464661,2491,89.68992615,
2490,34.26251221,2490,57.33581161,2490,62.74582672,2490,62.19034958,2490,57.93022919,2490,59.07271957,2490,59.30909348,2490,64.07085419,2490,66.80535889,2490,69.57472992,2490,66.42389679,2490,74.78614807,2490,58.85177231,2490,118.9339066,2490,161.8226624,2490,90.20659637,
2489,34.43030548,2489,57.6686554,2489,62.01643372,2489,62.0826416,2489,57.56555176,2489,59.24674988,2489,59.26151276,2489,63.93943405,2489,65.8372345,2489,69.54219818,2489,65.98555756,2489,73.95598602,2489,57.75741196,2489,118.0142365,2489,161.3862,2489,89.34887695,
2488,34.24522018,2488,58.6540451,2488,63.2166748,2488,61.89819717,2488,58.4899826,2488,59.11811447,2488,59.08189392,2488,64.14353943,2488,65.74033356,2488,69.49423218,2488,65.65966797,2488,75.09916687,2488,58.25511169,2488,119.0211411,2488,161.3645172,2488,90.58340454,
2487,34.57384872,2487,57.01464844,2487,62.53499222,2487,60.96834564,2487,57.66242599,2487,57.84392548,2487,60.00406647,2487,63.3954277,2487,66.40569305,2487,68.80715179,2487,65.76873016,2487,73.61057281,2487,57.84429932,2487,117.716301,2487,160.4882507,2487,89.62727356,
2486,34.28048325,2486,58.14783478,2486,62.90655136,2486,62.07650375,2486,58.51934052,2486,59.97549438,2486,59.23206329,2486,63.50076294,2486,66.32150269,2486,69.92919159,2486,65.76023102,2486,74.73529816,2486,58.50067902,2486,119.0207138,2486,161.4829254,2486,90.08158112,
