,     Angle,       PSD
0,5.0,2061
1,5.04003,2045
2,5.08006,2050
3,5.1201,2000
4,5.16013,2009
5,5.20016,2067
6,5.24019,2047
7,5.28023,2066
8,5.32026,2077
9,5.36029,1933
10,5.40032,2027
11,5.44035,1788
12,5.48039,1779
13,5.52042,1808
14,5.56045,1803
15,5.60048,1789
16,5.64052,1759
17,5.68055,1847
18,5.72058,1717
19,5.76061,1806
20,5.80064,1752
21,5.84068,1776
22,5.88071,1831
23,5.92074,1846
24,5.96077,1701
25,6.0008,1691
26,6.04084,1642
27,6.08087,1633
28,6.1209,1689
29,6.16093,1700
30,6.20097,1644
31,6.241,1641
32,6.28103,1659
33,6.32106,1633
34,6.36109,1653
35,6.40113,1679
36,6.44116,1593
37,6.48119,1550
38,6.52122,1604
39,6.56126,1555
40,6.60129,1451
41,6.64132,1491
42,6.68135,1534
43,6.72138,1461
44,6.76142,1498
45,6.80145,1460
46,6.84148,1417
47,6.88151,1466
48,6.92155,1475
49,6.96158,1511
50,7.00161,1380
51,7.04164,1493
52,7.08167,1501
53,7.12171,1437
54,7.16174,1415
55,7.20177,1497
56,7.2418,1340
57,7.28184,1401
58,7.32187,1398
59,7.3619,1403
60,7.40193,1367
61,7.44196,1353
62,7.482,1411
63,7.52203,1360
64,7.56206,1331
65,7.60209,1353
66,7.64213,1322
67,7.68216,1320
68,7.72219,1431
69,7.76222,1340
70,7.80225,1382
71,7.84229,1333
72,7.88232,1441
73,7.92235,1341
74,7.96238,1357
75,8.00241,1350
76,8.04245,1395
77,8.08248,1456
78,8.12251,1395
79,8.16254,1424
80,8.20258,1410
81,8.24261,1481
82,8.28264,1677
83,8.32267,1732
84,8.3627,1845
85,8.40274,1822
86,8.44277,1610
87,8.4828,1435
88,8.52283,1404
89,8.56287,1478
90,8.6029,1456
91,8.64293,1473
92,8.68296,1483
93,8.72299,1386
94,8.76303,1313
95,8.80306,1343
96,8.84309,1333
97,8.88312,1419
98,8.92316,1316
99,8.96319,1300
100,9.00322,1347
101,9.04325,1386
102,9.08328,1382
103,9.12332,1381
104,9.16335,1385
105,9.20338,1352
106,9.24341,1339
107,9.28345,1391
108,9.32348,1406
109,9.36351,1279
110,9.40354,1389
111,9.44357,1311
112,9.48361,1396
113,9.52364,1353
114,9.56367,1389
115,9.6037,1328
116,9.64374,1357
117,9.68377,1377
118,9.7238,1382
119,9.76383,1408
120,9.80386,1444
121,9.8439,1365
122,9.88393,1427
123,9.92396,1334
124,9.96399,1308
125,10.004,1370
126,10.0441,1291
127,10.0841,1329
128,10.1241,1382
129,10.1642,1362
130,10.2042,1386
131,10.2442,1341
132,10.2843,1369
133,10.3243,1440
134,10.3643,1393
135,10.4043,1474
136,10.4444,1384
137,10.4844,1450
138,10.5244,1438
139,10.5645,1456
140,10.6045,1467
141,10.6445,1549
142,10.6846,1508
143,10.7246,1538
144,10.7646,1598
145,10.8047,1605
146,10.8447,1679
147,10.8847,1657
148,10.9248,1537
149,10.9648,1593
150,11.0048,1601
151,11.0449,1597
152,11.0849,1657
153,11.1249,1640
154,11.165,1653
155,11.205,1816
156,11.245,1811
157,11.2851,1852
158,11.3251,1986
159,11.3651,1973
160,11.4052,2124
161,11.4452,2234
162,11.4852,2708
163,11.5252,3076
164,11.5653,3919
165,11.6053,5818
166,11.6453,8793
167,11.6854,14217
168,11.7254,18584
169,11.7654,21161
170,11.8055,23352
171,11.8455,21233
172,11.8855,16920
173,11.9256,19422
174,11.9656,27072
175,12.0056,32541
176,12.0457,27195
177,12.0857,14239
178,12.1257,5755
179,12.1658,3243
180,12.2058,2394
181,12.2458,2163
182,12.2859,2085
183,12.3259,2029
184,12.3659,2058
185,12.406,2119
186,12.446,2398
187,12.486,2738
188,12.5261,2798
189,12.5661,2920
190,12.6061,2386
191,12.6462,2008
192,12.6862,1846
193,12.7262,1860
194,12.7662,1822
195,12.8063,1780
196,12.8463,1803
197,12.8863,1803
198,12.9264,1763
199,12.9664,1791
200,13.0064,1832
201,13.0465,1764
202,13.0865,1807
203,13.1265,1899
204,13.1666,1794
205,13.2066,1797
206,13.2466,1788
207,13.2867,1710
208,13.3267,1729
209,13.3667,1814
210,13.4068,1782
211,13.4468,1824
212,13.4868,1878
213,13.5269,1798
214,13.5669,1826
215,13.6069,1885
216,13.647,1875
