,     Angle,       PSD
0,5.0,1980
1,5.04003,1924
2,5.08006,1869
3,5.1201,1939
4,5.16013,1780
5,5.20016,1836
6,5.24019,1828
7,5.28023,1822
8,5.32026,1833
9,5.36029,1742
10,5.40032,1831
11,5.44035,1851
12,5.48039,1733
13,5.52042,1689
14,5.56045,1741
15,5.60048,1645
16,5.64052,1697
17,5.68055,1655
18,5.72058,1692
19,5.76061,1581
20,5.80064,1679
21,5.84068,1595
22,5.88071,1628
23,5.92074,1671
24,5.96077,1629
25,6.0008,1582
26,6.04084,1538
27,6.08087,1542
28,6.1209,1559
29,6.16093,1580
30,6.20097,1549
31,6.241,1517
32,6.28103,1487
33,6.32106,1473
34,6.36109,1514
35,6.40113,1502
36,6.44116,1523
37,6.48119,1504
38,6.52122,1472
39,6.56126,1455
40,6.60129,1435
41,6.64132,1486
42,6.68135,1480
43,6.72138,1420
44,6.76142,1428
45,6.80145,1406
46,6.84148,1431
47,6.88151,1489
48,6.92155,1389
49,6.96158,1398
50,7.00161,1342
51,7.04164,1392
52,7.08167,1326
53,7.12171,1355
54,7.16174,1409
55,7.20177,1426
56,7.2418,1370
57,7.28184,1403
58,7.32187,1320
59,7.3619,1238
60,7.40193,1349
61,7.44196,1379
62,7.482,1245
63,7.52203,1397
64,7.56206,1277
65,7.60209,1349
66,7.64213,1373
67,7.68216,1354
68,7.72219,1338
69,7.76222,1293
70,7.80225,1247
71,7.84229,1370
72,7.88232,1346
73,7.92235,1311
74,7.96238,1238
75,8.00241,1289
76,8.04245,1286
77,8.08248,1282
78,8.12251,1319
79,8.16254,1218
80,8.20258,1248
81,8.24261,1319
82,8.28264,1295
83,8.32267,1246
84,8.3627,1290
85,8.40274,1229
86,8.44277,1279
87,8.4828,1218
88,8.52283,1239
89,8.56287,1263
90,8.6029,1297
91,8.64293,1334
92,8.68296,1269
93,8.72299,1203
94,8.76303,1255
95,8.80306,1261
96,8.84309,1253
97,8.88312,1288
98,8.92316,1254
99,8.96319,1288
100,9.00322,1231
101,9.04325,1266
102,9.08328,1297
103,9.12332,1265
104,9.16335,1320
105,9.20338,1317
106,9.24341,1277
107,9.28345,1204
108,9.32348,1275
109,9.36351,1249
110,9.40354,1330
111,9.44357,1300
112,9.48361,1248
113,9.52364,1273
114,9.56367,1291
115,9.6037,1271
116,9.64374,1289
117,9.68377,1341
118,9.7238,1312
119,9.76383,1211
120,9.80386,1275
121,9.8439,1329
122,9.88393,1294
123,9.92396,1332
124,9.96399,1301
125,10.004,1354
126,10.0441,1263
127,10.0841,1274
128,10.1241,1311
129,10.1642,1377
130,10.2042,1310
131,10.2442,1307
132,10.2843,1330
133,10.3243,1388
134,10.3643,1339
135,10.4043,1320
136,10.4444,1279
137,10.4844,1339
138,10.5244,1296
139,10.5645,1371
140,10.6045,1311
141,10.6445,1352
142,10.6846,1379
143,10.7246,1384
144,10.7646,1333
145,10.8047,1372
146,10.8447,1314
147,10.8847,1385
148,10.9248,1388
149,10.9648,1476
150,11.0048,1393
151,11.0449,1426
152,11.0849,1443
153,11.1249,1398
154,11.165,1369
155,11.205,1462
156,11.245,1402
157,11.2851,1493
158,11.3251,1435
159,11.3651,1469
160,11.4052,1493
161,11.4452,1517
162,11.4852,1465
163,11.5252,1522
164,11.5653,1520
165,11.6053,1523
166,11.6453,1486
167,11.6854,1454
168,11.7254,1486
169,11.7654,1592
170,11.8055,1538
171,11.8455,1462
172,11.8855,1546
173,11.9256,1715
174,11.9656,1547
175,12.0056,1570
176,12.0457,1609
177,12.0857,1633
178,12.1257,1520
179,12.1658,1619
180,12.2058,1605
181,12.2458,1553
182,12.2859,1573
183,12.3259,1662
184,12.3659,1606
185,12.406,1566
186,12.446,1687
187,12.486,1642
188,12.5261,1661
189,12.5661,1497
190,12.6061,1629
191,12.6462,1625
192,12.6862,1651
193,12.7262,1606
194,12.7662,1718
195,12.8063,1711
196,12.8463,1622
197,12.8863,1636
198,12.9264,1622
199,12.9664,1690
200,13.0064,1696
201,13.0465,1609
202,13.0865,1735
203,13.1265,1711
204,13.1666,1598
205,13.2066,1681
206,13.2466,1726
207,13.2867,1746
208,13.3267,1660
209,13.3667,1710
210,13.4068,1713
211,13.4468,1809
212,13.4868,1746
213,13.5269,1703
214,13.5669,1755
215,13.6069,1771
216,13.647,1756
217,13.687,1755
218,13.727,1778
219,13.7671,1791
220,13.8071,1774
221,13.8471,1844
222,13.8871,1852
223,13.9272,1808
224,13.9672,1905
225,14.0072,1826
226,14.0473,1951
227,14.0873,1844
228,14.1273,1761
229,14.1674,1865
230,14.2074,1823
231,14.2474,1811
232,14.2875,1831
233,14.3275,1788
234,14.3675,1931
235,14.4076,1964
236,14.4476,1785
237,14.4876,1883
238,14.5277,1859
239,14.5677,1941
240,14.6077,1960
241,14.6478,1959
242,14.6878,1929
243,14.7278,1968
244,14.7679,1974
245,14.8079,2035
246,14.8479,1998
247,14.888,2029
248,14.928,2010
249,14.968,1893
250,15.008,2021
251,15.0481,2103
252,15.0881,2013
253,15.1281,1947
254,15.1682,1960
255,15.2082,1982
256,15.2482,2113
257,15.2883,2088
258,15.3283,2123
259,15.3683,2077
260,15.4084,2105
261,15.4484,2117
262,15.4884,2183
263,15.5285,2106
264,15.5685,2081
265,15.6085,2148
266,15.6486,2092
267,15.6886,2207
268,15.7286,2149
269,15.7687,2154
270,15.8087,2158
271,15.8487,2199
272,15.8888,2227
273,15.9288,2218
274,15.9688,2208
275,16.0089,2212
276,16.0489,2160
277,16.0889,2261
278,16.129,2162
279,16.169,2202
280,16.209,2183
281,16.249,2175
282,16.2891,2258
283,16.3291,2192
284,16.3691,2126
285,16.4092,2277
286,16.4492,2199
287,16.4892,2316
288,16.5293,2182
289,16.5693,2300
290,16.6093,2273
291,16.6494,2256
292,16.6894,2245
293,16.7294,2281
294,16.7695,2224
295,16.8095,2251
296,16.8495,2229
297,16.8896,2228
298,16.9296,2270
299,16.9696,2251
300,17.0097,2226
301,17.0497,2289
302,17.0897,2132
303,17.1298,2196
304,17.1698,2323
305,17.2098,2357
306,17.2499,2261
307,17.2899,2249
308,17.3299,2394
309,17.3699,2370
310,17.41,2249
311,17.45,2359
312,17.49,2346
313,17.5301,2455
314,17.5701,2339
315,17.6101,2370
316,17.6502,2364
317,17.6902,2452
318,17.7302,2448
319,17.7703,2425
320,17.8103,2337
321,17.8503,2355
