,     Angle,       PSD
0,5.0,2095
1,5.04003,2094
2,5.08006,2085
3,5.1201,2154
4,5.16013,2113
5,5.20016,2103
6,5.24019,2145
7,5.28023,2102
8,5.32026,2072
9,5.36029,1983
10,5.40032,2012
11,5.44035,2010
12,5.48039,1940
13,5.52042,1896
14,5.56045,1914
15,5.60048,1840
16,5.64052,1856
17,5.68055,1865
18,5.72058,1825
19,5.76061,1888
20,5.80064,1774
21,5.84068,1856
22,5.88071,1811
23,5.92074,1828
24,5.96077,1849
25,6.0008,1802
26,6.04084,1820
27,6.08087,1779
28,6.1209,1844
29,6.16093,1779
30,6.20097,1772
31,6.241,1775
32,6.28103,1675
33,6.32106,1724
34,6.36109,1759
35,6.40113,1716
36,6.44116,1711
37,6.48119,1694
38,6.52122,1703
39,6.56126,1761
40,6.60129,1669
41,6.64132,1623
42,6.68135,1691
43,6.72138,1572
44,6.76142,1645
45,6.80145,1666
46,6.84148,1687
47,6.88151,1594
48,6.92155,1619
49,6.96158,1585
50,7.00161,1627
51,7.04164,1689
52,7.08167,1637
53,7.12171,1625
54,7.16174,1695
55,7.20177,1626
56,7.2418,1601
57,7.28184,1634
58,7.32187,1557
59,7.3619,1552
60,7.40193,1584
61,7.44196,1614
62,7.482,1614
63,7.52203,1564
64,7.56206,1550
65,7.60209,1557
66,7.64213,1585
67,7.68216,1601
68,7.72219,1618
69,7.76222,1522
70,7.80225,1572
71,7.84229,1556
72,7.88232,1593
73,7.92235,1587
74,7.96238,1528
75,8.00241,1561
76,8.04245,1542
77,8.08248,1559
78,8.12251,1564
79,8.16254,1529
80,8.20258,1554
81,8.24261,1478
82,8.28264,1579
83,8.32267,1580
84,8.3627,1577
85,8.40274,1568
86,8.44277,1565
87,8.4828,1565
88,8.52283,1623
89,8.56287,1600
90,8.6029,1602
91,8.64293,1558
92,8.68296,1567
93,8.72299,1554
94,8.76303,1566
95,8.80306,1621
96,8.84309,1513
97,8.88312,1529
98,8.92316,1511
99,8.96319,1547
100,9.00322,1506
101,9.04325,1572
102,9.08328,1559
103,9.12332,1613
104,9.16335,1580
105,9.20338,1510
106,9.24341,1531
107,9.28345,1572
108,9.32348,1568
109,9.36351,1565
110,9.40354,1629
111,9.44357,1545
112,9.48361,1614
113,9.52364,1601
114,9.56367,1683
115,9.6037,1620
116,9.64374,1620
117,9.68377,1588
118,9.7238,1601
119,9.76383,1606
120,9.80386,1553
121,9.8439,1630
122,9.88393,1699
123,9.92396,1618
124,9.96399,1594
125,10.004,1642
126,10.0441,1674
127,10.0841,1569
128,10.1241,1621
129,10.1642,1607
130,10.2042,1708
131,10.2442,1615
132,10.2843,1724
133,10.3243,1655
134,10.3643,1612
135,10.4043,1681
136,10.4444,1740
137,10.4844,1773
138,10.5244,1723
139,10.5645,1684
140,10.6045,1757
141,10.6445,1679
142,10.6846,1737
143,10.7246,1694
144,10.7646,1710
145,10.8047,1705
146,10.8447,1858
147,10.8847,1736
148,10.9248,1797
149,10.9648,1735
150,11.0048,1757
151,11.0449,1746
152,11.0849,1776
153,11.1249,1794
154,11.165,1795
155,11.205,1785
156,11.245,1770
157,11.2851,1804
158,11.3251,1762
159,11.3651,1930
160,11.4052,1806
161,11.4452,1961
162,11.4852,1957
163,11.5252,1862
164,11.5653,1884
165,11.6053,1994
166,11.6453,1848
167,11.6854,1944
168,11.7254,1881
169,11.7654,1998
170,11.8055,1999
171,11.8455,2083
172,11.8855,2085
173,11.9256,2043
174,11.9656,2060
175,12.0056,2067
176,12.0457,2107
177,12.0857,2068
178,12.1257,2074
179,12.1658,2068
180,12.2058,2040
181,12.2458,2029
182,12.2859,2051
183,12.3259,2034
184,12.3659,2081
185,12.406,2072
186,12.446,2015
187,12.486,2064
188,12.5261,2051
189,12.5661,2081
190,12.6061,2107
191,12.6462,2051
192,12.6862,2024
193,12.7262,2085
194,12.7662,2109
195,12.8063,2113
196,12.8463,2160
197,12.8863,2059
198,12.9264,2148
199,12.9664,2113
200,13.0064,2082
201,13.0465,2062
202,13.0865,2034
203,13.1265,2061
204,13.1666,2034
205,13.2066,2199
206,13.2466,2175
207,13.2867,2202
208,13.3267,2092
209,13.3667,2185
210,13.4068,2173
211,13.4468,2152
212,13.4868,2169
213,13.5269,2223
214,13.5669,2161
215,13.6069,2193
216,13.647,2140
217,13.687,2205
218,13.727,2177
219,13.7671,2181
220,13.8071,2227
221,13.8471,2205
222,13.8871,2228
223,13.9272,2146
224,13.9672,2144
225,14.0072,2189
226,14.0473,2278
227,14.0873,2213
228,14.1273,2156
229,14.1674,2220
230,14.2074,2284
231,14.2474,2153
232,14.2875,2283
233,14.3275,2268
234,14.3675,2296
235,14.4076,2368
236,14.4476,2289
237,14.4876,2338
238,14.5277,2247
239,14.5677,2333
240,14.6077,2352
241,14.6478,2275
242,14.6878,2301
243,14.7278,2287
244,14.7679,2369
245,14.8079,2376
246,14.8479,2297
247,14.888,2308
248,14.928,2307
