,     Angle,       PSD
0,5.0,1989
1,5.04003,2027
2,5.08006,2001
3,5.1201,2068
4,5.16013,1946
5,5.20016,1974
6,5.24019,1934
7,5.28023,1965
8,5.32026,2048
9,5.36029,1908
10,5.40032,1887
11,5.44035,1966
12,5.48039,1848
13,5.52042,1848
14,5.56045,1852
15,5.60048,1883
16,5.64052,1883
17,5.68055,1786
18,5.72058,1866
19,5.76061,1771
20,5.80064,1783
21,5.84068,1776
22,5.88071,1758
23,5.92074,1735
24,5.96077,1723
25,6.0008,1717
26,6.04084,1676
27,6.08087,1644
28,6.1209,1794
29,6.16093,1658
30,6.20097,1676
31,6.241,1680
32,6.28103,1750
33,6.32106,1728
34,6.36109,1639
35,6.40113,1629
36,6.44116,1675
37,6.48119,1619
38,6.52122,1606
39,6.56126,1632
40,6.60129,1572
41,6.64132,1686
42,6.68135,1586
43,6.72138,1540
44,6.76142,1630
45,6.80145,1623
46,6.84148,1585
47,6.88151,1571
48,6.92155,1588
49,6.96158,1548
50,7.00161,1550
51,7.04164,1557
52,7.08167,1495
53,7.12171,1570
54,7.16174,1514
55,7.20177,1529
56,7.2418,1528
57,7.28184,1556
58,7.32187,1561
59,7.3619,1557
60,7.40193,1503
61,7.44196,1496
62,7.482,1557
63,7.52203,1524
64,7.56206,1477
65,7.60209,1552
66,7.64213,1465
67,7.68216,1542
68,7.72219,1509
69,7.76222,1568
70,7.80225,1482
71,7.84229,1600
72,7.88232,1483
73,7.92235,1523
74,7.96238,1436
75,8.00241,1528
76,8.04245,1571
77,8.08248,1433
78,8.12251,1451
79,8.16254,1474
80,8.20258,1478
81,8.24261,1540
82,8.28264,1447
83,8.32267,1481
84,8.3627,1536
85,8.40274,1520
86,8.44277,1482
87,8.4828,1563
88,8.52283,1556
89,8.56287,1457
90,8.6029,1539
91,8.64293,1503
92,8.68296,1604
93,8.72299,1489
94,8.76303,1522
95,8.80306,1500
96,8.84309,1456
97,8.88312,1413
98,8.92316,1532
99,8.96319,1543
100,9.00322,1565
101,9.04325,1472
102,9.08328,1536
103,9.12332,1525
104,9.16335,1533
105,9.20338,1496
106,9.24341,1434
107,9.28345,1434
108,9.32348,1511
109,9.36351,1477
110,9.40354,1490
111,9.44357,1518
112,9.48361,1529
113,9.52364,1498
114,9.56367,1441
115,9.6037,1537
116,9.64374,1589
117,9.68377,1490
118,9.7238,1557
119,9.76383,1546
120,9.80386,1516
121,9.8439,1571
122,9.88393,1569
123,9.92396,1542
124,9.96399,1587
125,10.004,1617
126,10.0441,1588
127,10.0841,1605
128,10.1241,1622
129,10.1642,1616
130,10.2042,1568
131,10.2442,1668
132,10.2843,1695
133,10.3243,1667
134,10.3643,1617
135,10.4043,1636
136,10.4444,1581
137,10.4844,1572
138,10.5244,1610
139,10.5645,1553
140,10.6045,1603
141,10.6445,1582
142,10.6846,1669
143,10.7246,1689
144,10.7646,1696
145,10.8047,1692
146,10.8447,1643
147,10.8847,1585
148,10.9248,1637
149,10.9648,1659
150,11.0048,1688
151,11.0449,1706
152,11.0849,1736
153,11.1249,1759
154,11.165,1726
155,11.205,1664
156,11.245,1802
157,11.2851,1709
158,11.3251,1757
159,11.3651,1768
160,11.4052,1691
161,11.4452,1739
162,11.4852,1871
163,11.5252,1769
164,11.5653,1750
165,11.6053,1808
166,11.6453,1837
167,11.6854,1858
168,11.7254,1870
169,11.7654,2010
170,11.8055,1933
171,11.8455,2012
172,11.8855,2081
173,11.9256,1998
174,11.9656,2027
175,12.0056,2106
176,12.0457,1940
177,12.0857,2012
178,12.1257,1904
179,12.1658,1933
180,12.2058,1893
181,12.2458,1929
182,12.2859,1964
183,12.3259,1956
184,12.3659,1914
185,12.406,1963
186,12.446,1896
187,12.486,1990
