,     Angle,       PSD
0,5.0,2288
1,5.04003,2320
2,5.08006,2265
3,5.1201,2337
4,5.16013,2294
5,5.20016,2340
6,5.24019,2296
7,5.28023,2214
8,5.32026,2276
9,5.36029,2223
10,5.40032,2208
11,5.44035,2259
12,5.48039,2087
13,5.52042,2197
14,5.56045,2174
15,5.60048,2057
16,5.64052,2233
17,5.68055,2120
18,5.72058,2055
19,5.76061,2080
20,5.80064,2121
21,5.84068,1980
22,5.88071,2071
23,5.92074,2079
24,5.96077,2033
25,6.0008,2096
26,6.04084,1991
27,6.08087,2004
28,6.1209,2007
29,6.16093,2004
30,6.20097,2017
31,6.241,1995
32,6.28103,2010
33,6.32106,1942
34,6.36109,1914
35,6.40113,2034
36,6.44116,1943
37,6.48119,1936
38,6.52122,1873
39,6.56126,1930
40,6.60129,1950
41,6.64132,1883
42,6.68135,1926
43,6.72138,1843
44,6.76142,1987
45,6.80145,1894
46,6.84148,1917
47,6.88151,1826
48,6.92155,1897
49,6.96158,1812
50,7.00161,1886
51,7.04164,1819
52,7.08167,1882
53,7.12171,1864
54,7.16174,1872
55,7.20177,1941
56,7.2418,1902
57,7.28184,1857
58,7.32187,1828
59,7.3619,1879
60,7.40193,1856
61,7.44196,1863
62,7.482,1867
63,7.52203,1911
64,7.56206,1756
65,7.60209,1829
66,7.64213,1811
67,7.68216,1855
68,7.72219,1794
69,7.76222,1850
70,7.80225,1928
71,7.84229,1806
72,7.88232,1804
73,7.92235,1819
74,7.96238,1886
75,8.00241,1780
76,8.04245,1842
77,8.08248,1881
78,8.12251,1814
79,8.16254,1825
80,8.20258,1879
81,8.24261,1846
82,8.28264,1826
83,8.32267,1912
84,8.3627,1869
85,8.40274,1871
86,8.44277,1949
87,8.4828,1843
88,8.52283,1783
89,8.56287,1887
90,8.6029,1927
91,8.64293,1871
92,8.68296,1869
93,8.72299,1907
94,8.76303,1901
95,8.80306,1968
96,8.84309,1956
97,8.88312,2051
98,8.92316,2029
99,8.96319,1951
100,9.00322,1905
101,9.04325,1960
102,9.08328,1927
103,9.12332,2039
104,9.16335,1966
105,9.20338,1940
106,9.24341,1972
107,9.28345,1934
108,9.32348,1935
109,9.36351,1983
110,9.40354,1938
111,9.44357,1974
112,9.48361,2019
113,9.52364,1928
114,9.56367,2066
115,9.6037,2040
116,9.64374,2072
117,9.68377,1978
118,9.7238,2004
119,9.76383,2040
120,9.80386,2028
121,9.8439,2008
122,9.88393,1972
123,9.92396,2023
124,9.96399,2119
125,10.004,2022
126,10.0441,2098
127,10.0841,2153
128,10.1241,2116
129,10.1642,2121
130,10.2042,2088
131,10.2442,2124
132,10.2843,2117
133,10.3243,2201
134,10.3643,2101
135,10.4043,2075
136,10.4444,2219
137,10.4844,2161
138,10.5244,2167
139,10.5645,2242
140,10.6045,2244
141,10.6445,2165
142,10.6846,2204
143,10.7246,2217
144,10.7646,2251
145,10.8047,2276
146,10.8447,2260
147,10.8847,2283
148,10.9248,2273
149,10.9648,2351
150,11.0048,2368
151,11.0449,2292
152,11.0849,2456
153,11.1249,2429
154,11.165,2346
155,11.205,2502
156,11.245,2415
157,11.2851,2363
158,11.3251,2515
159,11.3651,2515
160,11.4052,2443
161,11.4452,2475
162,11.4852,2483
163,11.5252,2538
164,11.5653,2581
165,11.6053,2517
166,11.6453,2585
167,11.6854,2589
168,11.7254,2577
169,11.7654,2605
170,11.8055,2635
171,11.8455,2678
172,11.8855,2635
173,11.9256,2582
174,11.9656,2735
175,12.0056,2719
176,12.0457,2748
177,12.0857,2699
178,12.1257,2688
179,12.1658,2687
180,12.2058,2830
181,12.2458,2818
182,12.2859,2815
183,12.3259,2758
184,12.3659,2767
185,12.406,2677
186,12.446,2829
187,12.486,2909
188,12.5261,2938
189,12.5661,2884
190,12.6061,2937
191,12.6462,2924
192,12.6862,3002
193,12.7262,2920
194,12.7662,2989
195,12.8063,2999
196,12.8463,2950
197,12.8863,2997
198,12.9264,2973
199,12.9664,3070
200,13.0064,3053
201,13.0465,2972
202,13.0865,3087
203,13.1265,3119
204,13.1666,3103
205,13.2066,3025
206,13.2466,3163
207,13.2867,3151
208,13.3267,3211
209,13.3667,3165
210,13.4068,3067
211,13.4468,3214
212,13.4868,3217
213,13.5269,3143
214,13.5669,3169
215,13.6069,3080
216,13.647,3226
217,13.687,3268
218,13.727,3236
219,13.7671,3338
220,13.8071,3230
221,13.8471,3234
222,13.8871,3281
223,13.9272,3224
224,13.9672,3207
225,14.0072,3302
226,14.0473,3329
227,14.0873,3342
228,14.1273,3462
229,14.1674,3295
230,14.2074,3344
231,14.2474,3399
232,14.2875,3461
233,14.3275,3430
234,14.3675,3279
235,14.4076,3385
236,14.4476,3468
237,14.4876,3466
238,14.5277,3398
239,14.5677,3432
240,14.6077,3606
241,14.6478,3516
242,14.6878,3499
243,14.7278,3576
244,14.7679,3613
245,14.8079,3653
246,14.8479,3756
247,14.888,3982
248,14.928,4018
249,14.968,4132
250,15.008,4021
251,15.0481,3797
252,15.0881,3683
253,15.1281,3637
254,15.1682,3574
255,15.2082,3537
256,15.2482,3407
257,15.2883,3480
258,15.3283,3584
259,15.3683,3404
260,15.4084,3556
261,15.4484,3496
262,15.4884,3457
263,15.5285,3498
264,15.5685,3394
265,15.6085,3497
266,15.6486,3487
267,15.6886,3488
268,15.7286,3566
269,15.7687,3515
270,15.8087,3438
271,15.8487,3414
272,15.8888,3360
273,15.9288,3364
274,15.9688,3398
275,16.0089,3337
276,16.0489,3438
277,16.0889,3423
278,16.129,3414
279,16.169,3397
280,16.209,3426
281,16.249,3431
282,16.2891,3372
283,16.3291,3359
284,16.3691,3434
285,16.4092,3395
286,16.4492,3253
287,16.4892,3352
288,16.5293,3308
289,16.5693,3371
290,16.6093,3343
291,16.6494,3182
292,16.6894,3153
293,16.7294,3244
294,16.7695,3194
295,16.8095,3257
296,16.8495,3345
297,16.8896,3183
298,16.9296,3171
299,16.9696,3203
300,17.0097,3236
301,17.0497,3244
302,17.0897,3048
303,17.1298,3085
304,17.1698,3142
305,17.2098,3104
306,17.2499,3143
307,17.2899,3066
308,17.3299,3068
309,17.3699,3058
310,17.41,3041
311,17.45,3024
312,17.49,3121
313,17.5301,3003
314,17.5701,3020
315,17.6101,3080
316,17.6502,3011
317,17.6902,2925
318,17.7302,2923
319,17.7703,3050
320,17.8103,2910
321,17.8503,2926
322,17.8904,2883
323,17.9304,2853
324,17.9704,2852
325,18.0105,2948
326,18.0505,2860
327,18.0905,2910
328,18.1306,2844
329,18.1706,2870
330,18.2106,2844
331,18.2507,2811
332,18.2907,2808
333,18.3307,2770
334,18.3708,2761
335,18.4108,2739
336,18.4508,2920
337,18.4909,2804
