,     Angle,       PSD
0,5.0,2145
1,5.04003,2173
2,5.08006,2166
3,5.1201,2101
4,5.16013,2079
5,5.20016,2094
6,5.24019,2045
7,5.28023,2055
8,5.32026,1998
9,5.36029,2036
10,5.40032,1939
11,5.44035,1926
12,5.48039,1942
13,5.52042,1979
14,5.56045,1875
15,5.60048,1907
16,5.64052,1897
17,5.68055,1835
18,5.72058,1857
19,5.76061,1833
20,5.80064,1849
21,5.84068,1801
22,5.88071,1883
23,5.92074,1881
24,5.96077,1761
25,6.0008,1741
26,6.04084,1812
27,6.08087,1800
28,6.1209,1769
29,6.16093,1723
30,6.20097,1769
31,6.241,1733
32,6.28103,1765
33,6.32106,1768
34,6.36109,1720
35,6.40113,1696
36,6.44116,1668
37,6.48119,1644
38,6.52122,1728
39,6.56126,1663
40,6.60129,1721
41,6.64132,1674
42,6.68135,1582
43,6.72138,1702
44,6.76142,1695
45,6.80145,1726
46,6.84148,1520
47,6.88151,1557
48,6.92155,1638
49,6.96158,1614
50,7.00161,1672
51,7.04164,1605
52,7.08167,1705
53,7.12171,1579
54,7.16174,1554
55,7.20177,1612
56,7.2418,1517
57,7.28184,1580
58,7.32187,1624
59,7.3619,1590
60,7.40193,1580
61,7.44196,1630
62,7.482,1590
63,7.52203,1544
64,7.56206,1512
65,7.60209,1530
66,7.64213,1535
67,7.68216,1555
68,7.72219,1654
69,7.76222,1579
70,7.80225,1511
71,7.84229,1434
72,7.88232,1535
73,7.92235,1522
74,7.96238,1542
75,8.00241,1542
76,8.04245,1529
77,8.08248,1518
78,8.12251,1507
79,8.16254,1590
80,8.20258,1548
81,8.24261,1433
82,8.28264,1516
83,8.32267,1527
84,8.3627,1531
85,8.40274,1528
86,8.44277,1540
87,8.4828,1542
88,8.52283,1518
89,8.56287,1582
90,8.6029,1525
91,8.64293,1567
92,8.68296,1520
93,8.72299,1537
94,8.76303,1543
95,8.80306,1507
96,8.84309,1559
97,8.88312,1501
98,8.92316,1553
99,8.96319,1460
100,9.00322,1554
101,9.04325,1430
102,9.08328,1517
103,9.12332,1566
104,9.16335,1505
105,9.20338,1461
106,9.24341,1479
107,9.28345,1491
108,9.32348,1548
109,9.36351,1497
110,9.40354,1485
111,9.44357,1574
112,9.48361,1503
113,9.52364,1553
114,9.56367,1487
115,9.6037,1535
116,9.64374,1593
117,9.68377,1597
118,9.7238,1518
119,9.76383,1603
120,9.80386,1513
121,9.8439,1557
122,9.88393,1561
123,9.92396,1614
124,9.96399,1507
125,10.004,1588
126,10.0441,1617
127,10.0841,1613
128,10.1241,1575
129,10.1642,1619
130,10.2042,1531
131,10.2442,1616
132,10.2843,1646
133,10.3243,1563
134,10.3643,1591
135,10.4043,1562
136,10.4444,1594
137,10.4844,1526
138,10.5244,1656
139,10.5645,1610
140,10.6045,1657
141,10.6445,1678
142,10.6846,1693
143,10.7246,1708
144,10.7646,1632
145,10.8047,1727
146,10.8447,1652
147,10.8847,1637
148,10.9248,1682
149,10.9648,1634
150,11.0048,1643
151,11.0449,1622
152,11.0849,1649
153,11.1249,1734
154,11.165,1737
155,11.205,1751
156,11.245,1768
157,11.2851,1760
158,11.3251,1760
159,11.3651,1746
160,11.4052,1800
161,11.4452,1845
162,11.4852,1748
163,11.5252,1822
164,11.5653,1785
165,11.6053,1764
166,11.6453,1793
167,11.6854,1880
168,11.7254,1888
169,11.7654,1965
170,11.8055,1914
171,11.8455,1937
172,11.8855,2038
173,11.9256,1934
174,11.9656,1982
175,12.0056,2021
176,12.0457,1956
177,12.0857,1953
178,12.1257,1924
179,12.1658,1870
180,12.2058,1963
181,12.2458,1966
182,12.2859,1999
183,12.3259,1893
184,12.3659,1956
185,12.406,1900
186,12.446,1946
187,12.486,2060
188,12.5261,1944
189,12.5661,1993
190,12.6061,1972
191,12.6462,1962
192,12.6862,2064
193,12.7262,1913
194,12.7662,1952
195,12.8063,2109
196,12.8463,2015
197,12.8863,1996
198,12.9264,1947
199,12.9664,1937
200,13.0064,1957
201,13.0465,2102
202,13.0865,1989
203,13.1265,2028
204,13.1666,2037
205,13.2066,2084
206,13.2466,2114
207,13.2867,2016
208,13.3267,2025
209,13.3667,2101
210,13.4068,1975
211,13.4468,2010
212,13.4868,2068
213,13.5269,2113
214,13.5669,2093
215,13.6069,2148
216,13.647,2079
217,13.687,2100
218,13.727,2107
219,13.7671,2113
220,13.8071,2079
221,13.8471,2091
222,13.8871,2058
223,13.9272,2035
224,13.9672,2061
225,14.0072,2163
226,14.0473,2084
227,14.0873,2179
228,14.1273,2248
229,14.1674,2214
230,14.2074,2103
231,14.2474,2220
232,14.2875,2174
233,14.3275,2186
234,14.3675,2146
235,14.4076,2155
236,14.4476,2144
237,14.4876,2190
238,14.5277,2175
239,14.5677,2272
240,14.6077,2303
241,14.6478,2139
242,14.6878,2213
243,14.7278,2233
244,14.7679,2173
245,14.8079,2336
246,14.8479,2242
247,14.888,2278
248,14.928,2196
249,14.968,2280
250,15.008,2264
251,15.0481,2322
252,15.0881,2246
253,15.1281,2261
254,15.1682,2224
255,15.2082,2304
256,15.2482,2272
257,15.2883,2318
258,15.3283,2380
259,15.3683,2304
260,15.4084,2257
261,15.4484,2414
262,15.4884,2225
