,     Angle,       PSD
0,5.0,2304
1,5.04003,2334
2,5.08006,2286
3,5.1201,2365
4,5.16013,2344
5,5.20016,2271
6,5.24019,2252
7,5.28023,2173
8,5.32026,2230
9,5.36029,2269
10,5.40032,2248
11,5.44035,2162
12,5.48039,2175
13,5.52042,2215
14,5.56045,2217
15,5.60048,2139
16,5.64052,2095
17,5.68055,2118
18,5.72058,2148
19,5.76061,2050
20,5.80064,2137
21,5.84068,2141
22,5.88071,2045
23,5.92074,1979
24,5.96077,2041
25,6.0008,2071
26,6.04084,2019
27,6.08087,1995
28,6.1209,1946
29,6.16093,1999
30,6.20097,1993
31,6.241,2051
32,6.28103,2035
33,6.32106,2022
34,6.36109,1934
35,6.40113,1994
36,6.44116,1890
37,6.48119,1877
38,6.52122,1903
39,6.56126,1937
40,6.60129,1971
41,6.64132,1882
42,6.68135,1913
43,6.72138,1900
44,6.76142,1840
45,6.80145,1905
46,6.84148,1859
47,6.88151,1921
48,6.92155,1820
49,6.96158,1899
50,7.00161,1912
51,7.04164,1848
52,7.08167,1889
53,7.12171,1941
54,7.16174,1768
55,7.20177,1767
56,7.2418,1825
57,7.28184,1797
58,7.32187,1807
59,7.3619,1801
60,7.40193,1735
61,7.44196,1734
62,7.482,1832
63,7.52203,1813
64,7.56206,1767
65,7.60209,1768
66,7.64213,1876
67,7.68216,1873
68,7.72219,1747
69,7.76222,1810
70,7.80225,1849
71,7.84229,1828
72,7.88232,1839
73,7.92235,1766
74,7.96238,1780
75,8.00241,1836
76,8.04245,1814
77,8.08248,1868
78,8.12251,1845
79,8.16254,1862
80,8.20258,1813
81,8.24261,1779
82,8.28264,1846
83,8.32267,1876
84,8.3627,1730
85,8.40274,1759
86,8.44277,1796
87,8.4828,1758
88,8.52283,1771
89,8.56287,1837
90,8.6029,1801
91,8.64293,1795
92,8.68296,1810
93,8.72299,1838
94,8.76303,1851
95,8.80306,1846
96,8.84309,1768
97,8.88312,1796
98,8.92316,1843
99,8.96319,1894
100,9.00322,1793
101,9.04325,1772
102,9.08328,1806
103,9.12332,1812
104,9.16335,1789
105,9.20338,1810
106,9.24341,1882
107,9.28345,1861
108,9.32348,1723
109,9.36351,1765
110,9.40354,1875
