,     Angle,       PSD
0,5.0,1829
1,5.04003,1725
2,5.08006,1770
3,5.1201,1788
4,5.16013,1753
5,5.20016,1795
6,5.24019,1615
7,5.28023,1671
8,5.32026,1707
9,5.36029,1595
10,5.40032,1647
11,5.44035,1593
12,5.48039,1621
13,5.52042,1644
14,5.56045,1649
15,5.60048,1638
16,5.64052,1524
17,5.68055,1572
18,5.72058,1531
19,5.76061,1497
20,5.80064,1492
21,5.84068,1469
22,5.88071,1591
23,5.92074,1514
24,5.96077,1462
25,6.0008,1400
26,6.04084,1456
27,6.08087,1437
28,6.1209,1464
29,6.16093,1444
30,6.20097,1510
31,6.241,1430
32,6.28103,1362
33,6.32106,1398
34,6.36109,1342
35,6.40113,1396
36,6.44116,1436
37,6.48119,1339
38,6.52122,1359
39,6.56126,1359
40,6.60129,1267
41,6.64132,1318
42,6.68135,1295
43,6.72138,1240
44,6.76142,1274
45,6.80145,1260
46,6.84148,1330
47,6.88151,1295
48,6.92155,1262
49,6.96158,1289
50,7.00161,1294
51,7.04164,1262
52,7.08167,1272
53,7.12171,1223
54,7.16174,1279
55,7.20177,1312
56,7.2418,1239
57,7.28184,1256
58,7.32187,1241
59,7.3619,1178
60,7.40193,1327
61,7.44196,1201
62,7.482,1230
63,7.52203,1192
64,7.56206,1161
65,7.60209,1203
66,7.64213,1186
67,7.68216,1144
68,7.72219,1251
69,7.76222,1255
70,7.80225,1233
71,7.84229,1258
72,7.88232,1117
73,7.92235,1229
74,7.96238,1223
75,8.00241,1168
76,8.04245,1178
77,8.08248,1144
78,8.12251,1232
79,8.16254,1238
80,8.20258,1177
81,8.24261,1141
82,8.28264,1174
83,8.32267,1196
84,8.3627,1145
85,8.40274,1225
86,8.44277,1197
87,8.4828,1167
88,8.52283,1197
89,8.56287,1148
90,8.6029,1102
91,8.64293,1189
92,8.68296,1181
93,8.72299,1192
94,8.76303,1196
95,8.80306,1191
96,8.84309,1167
97,8.88312,1159
98,8.92316,1180
99,8.96319,1132
100,9.00322,1154
101,9.04325,1203
102,9.08328,1174
103,9.12332,1204
104,9.16335,1120
105,9.20338,1237
106,9.24341,1193
107,9.28345,1289
108,9.32348,1159
109,9.36351,1185
110,9.40354,1245
111,9.44357,1198
112,9.48361,1271
113,9.52364,1147
114,9.56367,1167
115,9.6037,1198
116,9.64374,1173
117,9.68377,1139
118,9.7238,1198
119,9.76383,1232
120,9.80386,1153
121,9.8439,1170
122,9.88393,1183
123,9.92396,1292
124,9.96399,1235
125,10.004,1183
126,10.0441,1197
127,10.0841,1233
128,10.1241,1219
129,10.1642,1218
130,10.2042,1227
131,10.2442,1291
132,10.2843,1239
133,10.3243,1253
134,10.3643,1285
135,10.4043,1326
136,10.4444,1332
137,10.4844,1280
138,10.5244,1259
139,10.5645,1256
140,10.6045,1250
141,10.6445,1213
142,10.6846,1255
143,10.7246,1237
144,10.7646,1254
145,10.8047,1244
146,10.8447,1303
147,10.8847,1282
148,10.9248,1298
149,10.9648,1313
150,11.0048,1343
151,11.0449,1289
152,11.0849,1274
153,11.1249,1348
154,11.165,1327
155,11.205,1341
156,11.245,1342
157,11.2851,1286
158,11.3251,1347
159,11.3651,1259
160,11.4052,1340
161,11.4452,1290
162,11.4852,1274
163,11.5252,1344
164,11.5653,1302
165,11.6053,1372
166,11.6453,1314
167,11.6854,1352
168,11.7254,1337
169,11.7654,1408
170,11.8055,1456
171,11.8455,1444
172,11.8855,1471
173,11.9256,1499
174,11.9656,1357
175,12.0056,1442
176,12.0457,1461
177,12.0857,1409
178,12.1257,1408
179,12.1658,1433
180,12.2058,1415
181,12.2458,1439
182,12.2859,1405
183,12.3259,1419
184,12.3659,1456
185,12.406,1478
186,12.446,1431
187,12.486,1430
188,12.5261,1454
189,12.5661,1523
190,12.6061,1488
191,12.6462,1482
192,12.6862,1534
193,12.7262,1522
194,12.7662,1472
195,12.8063,1481
196,12.8463,1504
197,12.8863,1469
198,12.9264,1584
199,12.9664,1527
200,13.0064,1577
201,13.0465,1510
202,13.0865,1478
203,13.1265,1512
204,13.1666,1503
205,13.2066,1581
206,13.2466,1495
207,13.2867,1528
208,13.3267,1534
209,13.3667,1570
210,13.4068,1624
211,13.4468,1547
212,13.4868,1534
213,13.5269,1674
214,13.5669,1587
215,13.6069,1556
216,13.647,1535
217,13.687,1565
218,13.727,1528
219,13.7671,1565
220,13.8071,1613
221,13.8471,1627
222,13.8871,1612
223,13.9272,1623
224,13.9672,1644
225,14.0072,1603
226,14.0473,1682
227,14.0873,1610
228,14.1273,1565
229,14.1674,1646
230,14.2074,1726
231,14.2474,1630
232,14.2875,1711
233,14.3275,1662
234,14.3675,1721
235,14.4076,1814
236,14.4476,1766
237,14.4876,1837
238,14.5277,1751
239,14.5677,1690
240,14.6077,1715
241,14.6478,1652
242,14.6878,1695
243,14.7278,1745
244,14.7679,1700
245,14.8079,1697
246,14.8479,1707
247,14.888,1741
248,14.928,1798
249,14.968,1734
250,15.008,1799
251,15.0481,1748
252,15.0881,1760
253,15.1281,1791
254,15.1682,1732
255,15.2082,1668
256,15.2482,1740
257,15.2883,1730
258,15.3283,1691
259,15.3683,1778
260,15.4084,1714
261,15.4484,1741
262,15.4884,1731
263,15.5285,1750
264,15.5685,1794
265,15.6085,1771
266,15.6486,1770
267,15.6886,1725
268,15.7286,1752
269,15.7687,1758
270,15.8087,1870
271,15.8487,1815
272,15.8888,1800
273,15.9288,1797
274,15.9688,1752
275,16.0089,1775
276,16.0489,1780
277,16.0889,1758
278,16.129,1844
279,16.169,1855
280,16.209,1819
281,16.249,1860
282,16.2891,1895
283,16.3291,1807
284,16.3691,1787
285,16.4092,1822
286,16.4492,1774
287,16.4892,1779
288,16.5293,1770
289,16.5693,1756
290,16.6093,1838
291,16.6494,1857
292,16.6894,1883
293,16.7294,1737
294,16.7695,1786
295,16.8095,1782
296,16.8495,1831
297,16.8896,1804
298,16.9296,1835
299,16.9696,1792
300,17.0097,1828
301,17.0497,1852
302,17.0897,1885
303,17.1298,1841
304,17.1698,1742
305,17.2098,1814
306,17.2499,1860
307,17.2899,1889
308,17.3299,1783
309,17.3699,1837
310,17.41,1937
311,17.45,1911
312,17.49,1921
313,17.5301,1882
314,17.5701,1889
315,17.6101,1883
316,17.6502,1921
317,17.6902,1961
318,17.7302,1880
319,17.7703,1974
320,17.8103,1882
321,17.8503,1924
322,17.8904,1919
323,17.9304,1888
324,17.9704,1834
325,18.0105,1869
326,18.0505,1911
327,18.0905,1858
328,18.1306,1909
329,18.1706,1900
330,18.2106,1878
331,18.2507,1922
332,18.2907,1958
333,18.3307,1907
334,18.3708,1864
335,18.4108,1905
336,18.4508,1922
337,18.4909,1950
338,18.5309,1917
339,18.5709,1941
340,18.6109,1956
341,18.651,1895
342,18.691,1933
343,18.731,1952
344,18.7711,1946
345,18.8111,2029
346,18.8511,1969
347,18.8912,1936
348,18.9312,1889
349,18.9712,2013
350,19.0113,2030
351,19.0513,1940
352,19.0913,1978
353,19.1314,2012
354,19.1714,1987
355,19.2114,1972
356,19.2515,1948
357,19.2915,1959
358,19.3315,1997
359,19.3716,2001
360,19.4116,1991
361,19.4516,1992
362,19.4917,1981
363,19.5317,1986
364,19.5717,2031
365,19.6118,2009
366,19.6518,1996
367,19.6918,2084
368,19.7318,2039
369,19.7719,2135
370,19.8119,2071
371,19.8519,2083
372,19.892,2004
373,19.932,2099
374,19.972,2030
375,20.0121,2058
376,20.0521,2105
377,20.0921,2073
378,20.1322,2085
379,20.1722,2115
380,20.2122,2122
381,20.2523,2167
382,20.2923,2146
383,20.3323,2020
384,20.3724,2088
385,20.4124,2146
386,20.4524,2103
387,20.4925,2115
388,20.5325,2127
389,20.5725,2153
390,20.6126,2087
391,20.6526,2186
392,20.6926,2149
393,20.7327,2117
394,20.7727,2205
395,20.8127,2294
396,20.8528,2152
397,20.8928,2142
398,20.9328,2152
399,20.9728,2141
400,21.0129,2108
401,21.0529,2178
402,21.0929,2144
403,21.133,2279
404,21.173,2120
405,21.213,2207
406,21.2531,2130
407,21.2931,2090
