Wavelength,Illy,Mucilago,Cafeina,Ox,Mi,Ch,Go,Verde
189,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
190,39.9671669,44.59405136,96.77281189,49.10914993,53.6247139,56.10119247,49.2641716,57.66826248
191,42.80335236,44.50233841,94.1362381,49.98532104,54.11322021,56.54802322,59.62401581,56.56570053
192,42.2476387,45.24890518,97.09065247,49.52963638,50.03157425,55.00058365,52.67517471,55.35513306
193,42.00708771,44.8935318,99.20272064,49.87791824,53.32870483,56.93517303,54.81307983,55.92965317
194,40.32040405,45.72764587,95.82859802,50.93359375,54.46366119,55.30283356,53.22616577,54.66783524
195,40.87060165,45.17805481,99.10137939,50.25267029,52.49837112,56.19131851,54.46165085,57.69087601
196,40.17780304,43.49860382,98.90132904,48.15311432,53.47484207,54.57162094,54.18234634,56.44420242
197,38.18569946,42.9276619,96.62444305,49.54136276,51.8603096,54.75085449,53.48647308,55.64509583
198,39.23479462,43.59249878,95.92597198,49.09827042,53.00710678,54.15215302,53.49654388,56.2934761
199,37.8421936,41.24889755,92.2372818,47.05252838,51.42697144,52.73419571,52.88291168,54.800457
200,37.66466904,42.55071259,94.08136749,47.09097672,51.28620148,53.08149338,53.25600433,55.36018753
201,37.12279892,40.57769012,92.71363831,46.07558441,50.90567017,52.99857712,52.39175034,53.22992706
202,36.09996414,40.98338699,92.54478455,46.80031967,50.15119934,53.6722374,52.48124695,53.15859985
203,34.84165573,39.32146072,90.48560333,44.65441132,48.96353912,52.59574509,51.52951431,53.55322266
204,33.51194382,38.51947021,88.14676666,44.13230133,49.0399971,51.4899559,51.66654587,52.91078186
205,34.03084946,37.2231369,87.1470108,43.4557991,48.3026123,50.78996277,51.05587769,51.89700699
206,32.35265732,36.7725563,84.47415161,43.14862823,47.43878174,50.34800339,50.68420029,51.32804108
207,31.50815392,35.5096283,82.83757019,42.66147995,47.15647888,50.20106888,50.21150589,50.40956116
208,30.8318882,34.78487396,80.82539368,41.41593933,46.6431427,49.25189209,49.49827576,50.81144714
209,29.57913589,33.95903015,79.05622101,40.76509857,46.02858734,49.67845535,49.2558403,49.63370895
210,28.52416992,32.57312393,76.10301971,39.41157913,44.94815063,48.52631378,48.317276,49.43547058
211,28.42875481,32.30975723,76.16304016,39.0699501,45.02632904,48.81168365,48.4703331,48.60043716
212,27.98661232,31.57613564,73.8935318,38.7834053,44.54636383,48.81138611,47.88401794,48.52811813
213,27.53069305,30.99835777,72.6926651,38.65057755,44.23387527,48.53532791,47.59546661,48.07393265
214,27.00004005,30.75491524,71.17545319,38.66809464,44.07743073,48.98206711,47.74642944,48.49446487
215,26.6343441,30.01417542,70.06409454,38.31288147,44.28946304,48.40357208,47.9033699,47.770298
216,26.50765228,29.6097374,68.15086365,37.93863678,44.11054993,48.06209183,47.52925873,47.67840195
217,26.4069767,29.31857491,68.1601181,37.34393692,44.03012085,48.37645721,47.5511055,47.45171738
218,26.0063591,28.95962906,67.56102753,37.02751541,43.55331802,47.32351685,47.00185394,47.19784546
219,26.46814537,29.09878731,66.47306824,37.51043701,44.18654633,48.14035416,47.37213516,47.27490616
220,26.51272964,29.06598473,66.3086319,37.54307938,43.74917603,47.60168839,47.36526489,47.11392593
221,26.52983093,28.95818329,65.96662903,37.72335815,44.21501541,47.72994995,47.24200821,47.23531723
222,27.18335152,29.62311745,66.38632202,38.47012329,44.73954773,48.30286026,47.99884033,47.85560608
223,27.61154747,29.62824631,66.36367798,38.44380188,44.88965607,48.63618469,48.09240341,47.99391937
224,27.93202782,29.89139175,66.11122131,38.57797623,45.06641388,48.04346848,48.08098221,47.96841431
225,28.72435188,30.45557785,66.39032745,38.96500015,45.6800766,48.92875671,48.43795395,48.37139893
226,29.10192108,31.15611649,66.69857788,39.54290009,46.12942886,49.28822708,48.9848938,49.18920517
227,29.53043365,31.62618828,66.93648529,40.27697754,46.94743729,49.75418091,49.42490768,49.64171219
228,30.48788071,32.37732697,67.40588379,41.05401993,47.13702774,50.25632858,49.9104805,49.78764343
229,30.97699928,33.09274292,67.80075073,41.43246841,47.75378418,50.54491806,50.22155762,50.37456894
230,31.61667824,33.55428696,67.97960663,42.1679306,48.07315063,51.14178467,50.52901459,50.62317657
231,32.24438858,34.0736084,68.54158783,42.65069199,48.79936981,51.40434647,51.19193649,51.25085831
232,32.83858109,34.73080444,68.6792984,43.34391785,49.46930695,52.06269455,51.53102875,52.11483765
233,33.57314301,35.31733322,69.36405945,43.87604141,49.96611023,52.55738449,52.21053314,52.3704834
234,33.99608994,35.91942596,69.4193573,44.42904663,50.56086731,52.83916473,52.62255096,52.95118713
235,34.37605667,36.22917557,69.52388763,44.86096573,50.86421204,53.15114975,52.94091797,53.20079422
236,34.81650543,36.69438934,70.00401306,45.25537872,51.09098434,53.52855301,53.20393372,53.65246964
237,35.07437515,36.97530365,70.14343262,45.60184479,51.61165619,53.90116501,53.49329758,53.80308533
238,35.2477684,37.36297989,70.12545013,45.92570496,51.95468521,54.14471436,53.71460342,54.39651108
239,35.58246994,37.66252518,70.55480957,46.02252579,52.18247604,54.64155197,54.19103622,54.72685623
240,35.59109879,37.51037979,70.14228058,46.32347107,52.12535858,54.39662933,53.98015976,54.56897736
241,35.71448135,37.55786514,70.389328,46.25615311,52.17033768,54.75262451,54.26995087,54.84455109
242,35.37045288,37.42932129,69.97442627,46.09020233,52.21350861,54.31353378,54.05429077,54.67601395
243,34.92411804,37.0537262,69.29495239,45.92039108,51.8506813,54.16167831,53.54298782,54.44267273
244,34.69056702,36.52680969,68.69429779,45.60788345,51.36748505,54.08755112,53.59631348,54.14155579
245,34.06415558,36.16715622,68.21486664,45.2278862,51.25069427,53.54841995,53.22157288,53.95104218
246,33.67214203,35.48483276,67.28288269,44.67317963,50.78762054,53.30417633,52.92033386,53.62421417
247,32.9982872,34.71347809,66.52146149,43.84497452,50.16617203,52.84924316,52.25357437,52.78265381
248,32.17335892,34.03408813,65.6627655,43.31043243,49.49350739,52.55391693,51.9618454,52.44163895
249,31.43934631,33.0571785,64.64320374,42.80397034,48.8646431,51.61486816,51.6393013,51.82891083
250,30.61621475,32.30000305,63.56201935,41.84080505,48.38434982,51.22331238,50.9093895,51.18013763
251,29.83472061,31.52000237,62.20868301,40.84213257,47.64767456,50.49160004,50.2582016,50.39315033
252,28.72006226,30.40837097,60.81889343,40.04792023,46.62433624,49.74773026,49.41716003,49.66223526
253,28.3343277,29.63186264,59.80973816,39.48325348,45.92882919,49.27449036,48.99369812,49.38388824
254,27.47029877,28.51531601,58.74103928,38.64936066,45.36959457,48.61127853,48.55555344,48.44471359
255,26.7759552,27.7616806,57.35140991,37.90998459,44.76215363,47.98122787,47.8777504,47.91254807
256,26.02202034,27.16628647,56.92362976,37.35811615,44.1453743,47.62719345,47.4647522,47.34590912
257,25.45757866,26.5791111,55.70478439,36.70980453,43.63821793,47.08244324,46.97788239,46.6125679
258,24.92564392,25.94854736,54.8513298,36.1337738,43.22724152,46.62620163,46.33586884,46.17874146
259,24.50182152,25.45388603,54.16854095,35.89868546,42.77596664,46.31986618,46.22543335,45.95090103
260,23.99536324,24.82940483,53.30648422,35.39865494,42.51142883,45.7434082,45.90749741,45.13618851
261,23.66163254,24.45073509,52.54941559,34.69253922,41.81755066,45.39542389,45.272995,44.727108
262,23.30348587,24.36584091,52.09719086,34.63149261,41.88604355,45.24518204,45.29563904,44.5978508
263,23.33938599,23.87321472,51.66924667,34.456604,41.51692581,45.02472687,45.04119492,44.32541275
264,23.27751732,23.61902809,51.19115067,34.30723572,41.19662094,44.67378616,44.91697311,44.04207993
265,23.09852028,23.44005775,50.80981827,34.08552551,41.16724777,44.683918,44.77101135,44.09780502
266,23.0132885,23.28623772,50.70937729,34.07574844,41.0536499,44.55825806,44.86403656,43.84499359
267,22.94957733,23.43558121,50.76412582,33.86035156,41.28769684,44.73305511,44.54695511,44.01583481
268,22.80208588,23.16161156,50.31986237,33.96660614,40.81115341,44.41462708,44.60152817,43.82214355
269,22.84614944,23.08992386,50.11051941,33.85945129,40.90068817,44.21669769,44.50626373,43.58546066
270,22.81044197,23.12008476,50.03662872,33.74252319,40.82546234,44.35319901,44.49561691,43.65717316
271,22.81193542,22.9090786,50.00645447,33.96894455,40.7810936,44.42892838,44.5955925,43.61972809
272,22.79355049,22.8884449,49.87759018,33.71579742,40.47455215,44.1701355,44.38123322,43.45681763
273,22.74885941,22.83747292,49.6260643,33.46724701,40.5599823,43.9917984,44.18642807,43.51660156
274,22.61253357,22.80753326,49.59734344,33.66293335,40.45406723,43.85364914,43.95314789,43.29475021
275,22.73699951,22.72561264,49.78235626,33.46063614,40.40716553,44.08507538,44.0655365,43.21582413
276,22.77685928,22.55286598,49.71011353,33.49348068,40.65359879,44.00154877,44.10732269,43.33022308
277,22.72359467,22.74017334,49.6119957,33.47986221,40.47509003,43.86723709,44.02846527,43.22143936
278,22.69631386,22.68827629,49.7609024,33.54267883,40.47171402,43.85293579,43.96325684,43.13606644
279,22.64596748,22.53702736,49.61242676,33.4287796,40.0643692,43.83199692,43.8708992,43.2932663
280,22.6301384,22.60952568,49.58270645,33.56931686,40.40890121,43.7922554,43.78846741,43.54137802
281,22.59696388,22.41937065,49.50266266,33.41472626,40.27454758,43.7238121,43.77109528,43.14442825
282,22.61533928,22.39308739,49.40600204,33.33849335,40.06375504,43.50493622,43.62880707,42.81080246
283,22.62923241,22.44337463,49.30566025,33.43864059,40.30489349,43.56643677,43.89034271,42.98839569
284,22.61136246,22.51111794,49.32808304,33.48764038,40.16355515,43.56390381,43.76197815,43.03150558
285,22.70937157,22.58903313,49.65288544,33.82182693,40.3919487,43.9429245,44.02983475,43.08180618
286,22.66449165,22.51434135,49.19946289,33.4850235,40.02136612,43.78263474,43.7232399,42.95396042
287,22.58373833,22.37807465,49.41049957,33.4747963,40.05583954,43.43740463,43.45381165,42.94935226
288,22.60941315,22.22142601,49.23138046,33.31166077,40.08922195,43.39012146,43.7569809,42.91471863
289,22.68042564,22.28939438,49.28731155,33.50066376,40.12260056,43.41511154,43.93660736,42.79817581
290,22.65799713,22.26539993,49.14725876,33.42665863,40.08086014,43.63263321,43.80481339,42.93945694
291,22.57849884,22.21236229,48.91191101,33.3717804,40.12753296,43.37440872,43.58063126,42.99787903
292,22.45872688,22.16973686,49.13149643,33.36236191,39.97729111,43.52099609,43.60469055,43.11469269
293,22.79497147,22.24019051,49.30483246,33.37855148,40.10416794,43.67209244,43.57644272,42.85140991
294,22.74030113,22.13832092,49.41591644,33.46489716,40.11597824,43.77040482,43.70827103,42.93148041
295,22.50755119,22.10373306,49.5640831,33.27798462,40.13785934,43.50703812,43.78091812,42.95592117
296,22.53407478,22.08603096,49.67148972,33.36227036,40.14359665,43.36705017,43.99201965,42.73764038
297,22.66681862,22.06616592,49.90249252,33.5359993,40.21297455,43.56744766,43.71892166,43.07338333
298,22.53261375,22.00544548,49.9838295,33.43690491,40.01787186,43.41172028,43.66737747,42.85812759
299,22.5254612,22.0733223,50.20033264,33.5821228,40.278759,43.50971985,43.75993347,43.00998688
300,22.52551079,21.93740082,50.77248764,33.42061234,40.0998497,43.35852814,43.66742706,42.81100464
301,22.46803474,21.82206535,51.29428482,33.45415878,40.135952,43.29327393,43.77030563,42.79664993
302,22.57354927,21.78620148,51.7516861,33.56306076,40.36725616,43.44083023,44.02773285,42.9822197
303,22.50152016,21.7664814,52.77606964,33.48116302,40.20045471,43.33504868,43.83241653,43.09937286
304,22.44925499,21.84965515,53.81130981,33.70661926,40.56135559,43.51379776,43.81420898,42.78455353
305,22.44355774,21.72489738,54.78814316,33.59769821,40.20690536,43.368927,43.72794342,42.69039154
306,22.45306778,21.76329422,56.74043274,33.5953331,40.35784149,43.25634766,43.66638184,42.66830826
307,22.54839897,21.5479393,58.8094635,33.84041977,40.22751999,43.4618454,43.79356384,42.68321609
308,22.34752464,21.49225616,61.40412521,33.62490082,40.37125778,43.45591736,43.66944885,42.7698822
309,22.48714638,21.63266754,64.26641083,33.64657593,40.65426254,43.46080017,44.09328842,43.16396332
310,22.24698448,21.3304882,67.50527191,33.4852066,40.33334732,43.27537537,43.74222565,42.7686615
311,22.22604179,21.5063076,71.26242065,33.58324814,40.43643188,43.41557693,43.63534927,42.45880127
312,22.28033447,21.46732712,75.28800964,33.76210785,40.39958954,43.69498444,43.87393188,42.75995255
313,22.021698,21.31439972,78.60407257,33.58478928,40.28714371,43.30570221,43.68429947,42.6190834
314,22.07223701,21.19044685,82.55844879,33.4957428,40.53408432,43.40198517,43.90440369,42.56464005
315,22.34053421,21.48680496,86.40500641,33.62094498,40.83074951,43.41760254,44.10695267,42.78395081
316,22.08627701,21.22908211,89.21524048,33.68775177,40.63661957,43.28033447,43.95513153,42.79820633
317,22.01406288,21.38828278,92.4487915,33.46513367,40.45255661,43.23102951,43.77286911,42.51602173
318,22.03831673,20.99496078,94.59088135,33.27584457,40.7409668,43.35203171,43.82767487,42.74384308
319,21.94602585,20.94694138,95.907547,33.37987518,40.50106812,43.20497513,43.95025635,42.73087311
320,21.8782177,20.9323101,97.28410339,33.23014832,40.52745819,43.18213272,44.12537766,42.72563171
321,21.9344368,20.78672409,98.24736786,33.41851044,40.58932495,42.9992485,44.17242813,42.60941315
322,21.97480583,20.88938713,98.85683441,33.38271332,40.62838364,43.04155731,43.93557739,42.70933151
323,21.86667252,20.54539108,99.59815979,33.23045731,40.49785614,42.87870789,44.01880264,42.48823166
324,21.81354332,20.61182213,99.54696655,33.09637451,40.82000732,43.15077591,44.24520874,42.53940582
325,21.8755455,20.60955238,99.40322876,33.23880768,40.514328,42.69364166,44.00154495,42.50598145
326,21.73078728,20.51524734,99.61374664,33.19412994,40.61409378,42.74414825,44.19128799,42.28178787
327,21.84559631,20.52433586,100.0060196,33.26681137,40.53391647,42.91620255,44.26997757,42.44199371
328,21.62154961,20.26712227,99.51764679,33.00613403,40.53108215,42.74970627,43.8289566,42.04352951
329,21.70895767,20.15650177,99.25640869,32.9062767,40.46200562,42.54567719,43.72871399,42.1778183
330,21.75153923,20.31602478,99.37511444,32.99619675,40.47690201,42.60810852,44.01839066,42.05688477
331,21.7649231,20.18438339,99.07691193,33.10350037,40.26713562,42.43747711,43.88041306,41.97438812
332,21.55949402,20.03893471,98.50046539,32.99056625,40.24280548,42.36319733,43.89481735,42.31445313
333,21.50453377,20.18389702,99.19907379,32.92961884,40.20443726,42.38034058,43.98171616,41.97137451
334,21.40568733,19.89860916,97.92066956,32.47838211,40.0465889,42.00973892,43.50547791,41.62084579
335,21.47036552,19.96202087,98.4929657,32.85850906,40.36558151,42.20947647,43.54262543,41.89942932
336,21.25515747,19.93552399,98.15670776,32.71561813,40.3014946,41.9562645,43.89255524,41.65314484
337,21.39479256,19.72328568,97.27125549,32.63299561,39.98062134,41.82255173,43.7016983,41.53827286
338,21.54374504,19.68811226,97.74300385,32.4890976,40.26313019,41.89954758,43.85619354,41.50164413
339,21.03751183,19.45145798,97.15856171,32.36178589,40.18867874,41.63299942,43.38056946,41.20925903
340,20.95265388,19.53326416,96.75839233,32.51799774,39.74573517,41.07247543,43.40790558,41.19833374
341,21.13575935,19.4252739,97.07138824,32.42325974,39.78302002,41.46329498,43.20840073,41.11873245
342,21.03608322,19.45109177,96.5683136,32.4758606,39.71202469,41.52627945,43.52671432,40.87153244
343,21.32751846,19.26765823,96.37005615,32.18130875,39.81388092,41.60546494,43.19768524,40.91577911
344,21.09192657,19.35694695,96.76313782,32.18466568,39.76718521,41.21912766,43.39554214,40.85458755
345,21.05241776,19.31620598,96.51161957,32.1272049,39.677948,41.206707,43.12501526,40.76221466
346,20.88262939,19.14558411,96.04740906,31.94924355,39.74039078,41.28793335,43.32321548,40.89718628
347,20.85272408,19.24745941,96.26691437,32.10575485,39.49774933,41.14201355,43.3609314,40.58792496
