Batch	scan003
Instrument ID	084303
Data Mode	A
Sample	Sample001
Cycle	Cycle01
Date Collected	04/02/2025
Time Collected	11:46:21
Entries	Data Points
nm	A
200.0	XXX.XXX
200.5	XXX.XXX
201.0	XXX.XXX
201.5	XXX.XXX
202.0	XXX.XXX
202.5	XXX.XXX
203.0	XXX.XXX
203.5	XXX.XXX
204.0	XXX.XXX
204.5	XXX.XXX
205.0	XXX.XXX
205.5	XXX.XXX
206.0	XXX.XXX
206.5	XXX.XXX
207.0	XXX.XXX
207.5	XXX.XXX
208.0	XXX.XXX
208.5	XXX.XXX
209.0	XXX.XXX
209.5	XXX.XXX
210.0	XXX.XXX
210.5	XXX.XXX
211.0	XXX.XXX
211.5	XXX.XXX
212.0	XXX.XXX
212.5	XXX.XXX
213.0	XXX.XXX
213.5	XXX.XXX
214.0	XXX.XXX
214.5	XXX.XXX
215.0	XXX.XXX
215.5	XXX.XXX
216.0	XXX.XXX
216.5	XXX.XXX
217.0	XXX.XXX
217.5	XXX.XXX
218.0	XXX.XXX
218.5	XXX.XXX
219.0	XXX.XXX
219.5	XXX.XXX
220.0	XXX.XXX
220.5	1.555
221.0	1.507
221.5	1.461
222.0	1.417
222.5	1.375
223.0	1.337
223.5	1.303
224.0	1.271
224.5	1.241
225.0	1.212
225.5	1.185
226.0	1.161
226.5	1.139
227.0	1.119
227.5	1.101
228.0	1.085
228.5	1.069
229.0	1.053
229.5	1.038
230.0	1.024
230.5	1.011
231.0	0.998
231.5	0.985
232.0	0.972
232.5	0.960
233.0	0.948
233.5	0.936
234.0	0.924
234.5	0.913
235.0	0.903
235.5	0.892
236.0	0.883
236.5	0.874
237.0	0.865
237.5	0.856
238.0	0.848
238.5	0.841
239.0	0.834
239.5	0.827
240.0	0.821
240.5	0.815
241.0	0.809
241.5	0.804
242.0	0.800
242.5	0.796
243.0	0.792
243.5	0.789
244.0	0.785
244.5	0.782
245.0	0.779
245.5	0.777
246.0	0.774
246.5	0.771
247.0	0.769
247.5	0.768
248.0	0.767
248.5	0.766
249.0	0.765
249.5	0.764
250.0	0.763
250.5	0.762
251.0	0.761
251.5	0.761
252.0	0.760
252.5	0.760
253.0	0.760
253.5	0.760
254.0	0.760
254.5	0.760
255.0	0.762
255.5	0.763
256.0	0.765
256.5	0.767
257.0	0.769
257.5	0.771
258.0	0.774
258.5	0.776
259.0	0.779
259.5	0.782
260.0	0.784
260.5	0.788
261.0	0.792
261.5	0.797
262.0	0.802
262.5	0.807
263.0	0.813
263.5	0.818
264.0	0.824
264.5	0.829
265.0	0.833
265.5	0.837
266.0	0.840
266.5	0.842
267.0	0.845
267.5	0.848
268.0	0.851
268.5	0.854
269.0	0.858
269.5	0.862
270.0	0.866
270.5	0.869
271.0	0.873
271.5	0.876
272.0	0.878
272.5	0.879
273.0	0.880
273.5	0.880
274.0	0.880
274.5	0.879
275.0	0.877
275.5	0.876
276.0	0.875
276.5	0.874
277.0	0.873
277.5	0.871
278.0	0.869
278.5	0.868
279.0	0.866
279.5	0.864
280.0	0.862
280.5	0.859
281.0	0.855
281.5	0.851
282.0	0.847
282.5	0.843
283.0	0.839
283.5	0.835
284.0	0.830
284.5	0.824
285.0	0.817
285.5	0.810
286.0	0.804
286.5	0.798
287.0	0.791
287.5	0.785
288.0	0.778
288.5	0.772
289.0	0.765
289.5	0.758
290.0	0.751
290.5	0.745
291.0	0.738
291.5	0.732
292.0	0.726
292.5	0.721
293.0	0.716
293.5	0.711
294.0	0.705
294.5	0.700
295.0	0.695
295.5	0.691
296.0	0.687
296.5	0.684
297.0	0.681
297.5	0.678
298.0	0.675
298.5	0.672
299.0	0.669
299.5	0.665
300.0	0.662
300.5	0.660
301.0	0.658
301.5	0.656
302.0	0.655
302.5	0.653
303.0	0.651
303.5	0.648
304.0	0.646
304.5	0.645
305.0	0.645
305.5	0.644
306.0	0.644
306.5	0.643
307.0	0.642
307.5	0.641
308.0	0.640
308.5	0.640
309.0	0.641
309.5	0.641
310.0	0.641
310.5	0.641
311.0	0.641
311.5	0.641
312.0	0.642
312.5	0.642
313.0	0.642
313.5	0.642
314.0	0.642
314.5	0.642
315.0	0.642
315.5	0.642
316.0	0.642
316.5	0.643
317.0	0.644
317.5	0.646
318.0	0.647
318.5	0.648
319.0	0.647
319.5	0.646
320.0	0.645
320.5	0.644
321.0	0.642
321.5	0.641
322.0	0.641
322.5	0.641
323.0	0.641
323.5	0.641
324.0	0.638
324.5	0.636
325.0	0.633
325.5	0.631
326.0	0.628
326.5	0.625
327.0	0.622
327.5	0.618
328.0	0.614
328.5	0.611
329.0	0.607
329.5	0.603
330.0	0.599
330.5	0.594
331.0	0.590
331.5	0.586
332.0	0.582
332.5	0.577
333.0	0.572
333.5	0.566
334.0	0.561
334.5	0.555
335.0	0.549
335.5	0.543
336.0	0.537
336.5	0.531
337.0	0.525
337.5	0.519
338.0	0.513
338.5	0.506
339.0	0.498
339.5	0.488
340.0	0.476
340.5	0.463
341.0	0.454
341.5	0.448
342.0	0.442
342.5	0.434
343.0	0.425
343.5	0.417
344.0	0.413
344.5	0.410
345.0	0.409
345.5	0.407
346.0	0.403
346.5	0.398
347.0	0.391
347.5	0.384
348.0	0.376
348.5	0.368
349.0	0.358
349.5	0.347
350.0	0.338
350.5	0.332
351.0	0.329
351.5	0.323
352.0	0.316
352.5	0.308
353.0	0.302
353.5	0.297
354.0	0.293
354.5	0.288
355.0	0.285
355.5	0.282
356.0	0.279
356.5	0.272
357.0	0.267
357.5	0.263
358.0	0.261
358.5	0.258
359.0	0.253
359.5	0.250
360.0	0.249
360.5	0.245
361.0	0.236
361.5	0.224
362.0	0.212
362.5	0.203
363.0	0.199
363.5	0.200
364.0	0.204
364.5	0.207
365.0	0.206
365.5	0.201
