Batch,scan001
Instrument ID,084303
Data Mode,A
Sample,Sample001
Cycle,Cycle01
Date Collected,19/02/2025
Time Collected,12:53:55
Entries,Data Points
nm,A
200.0,XXX.XXX
200.5,XXX.XXX
201.0,XXX.XXX
201.5,XXX.XXX
202.0,XXX.XXX
202.5,XXX.XXX
203.0,XXX.XXX
203.5,XXX.XXX
204.0,XXX.XXX
204.5,XXX.XXX
205.0,XXX.XXX
205.5,XXX.XXX
206.0,XXX.XXX
206.5,XXX.XXX
207.0,XXX.XXX
207.5,XXX.XXX
208.0,XXX.XXX
208.5,XXX.XXX
209.0,XXX.XXX
209.5,XXX.XXX
210.0,XXX.XXX
210.5,XXX.XXX
211.0,XXX.XXX
211.5,XXX.XXX
212.0,XXX.XXX
212.5,XXX.XXX
213.0,XXX.XXX
213.5,XXX.XXX
214.0,XXX.XXX
214.5,XXX.XXX
215.0,XXX.XXX
215.5,XXX.XXX
216.0,XXX.XXX
216.5,XXX.XXX
217.0,XXX.XXX
217.5,XXX.XXX
218.0,XXX.XXX
218.5,XXX.XXX
219.0,XXX.XXX
219.5,1.360
220.0,1.316
220.5,1.276
221.0,1.240
221.5,1.204
222.0,1.169
222.5,1.136
223.0,1.105
223.5,1.077
224.0,1.051
224.5,1.026
225.0,1.002
225.5,0.979
226.0,0.959
226.5,0.940
227.0,0.923
227.5,0.907
228.0,0.891
228.5,0.877
229.0,0.863
229.5,0.849
230.0,0.836
230.5,0.823
231.0,0.810
231.5,0.798
232.0,0.785
232.5,0.773
233.0,0.762
233.5,0.751
234.0,0.740
234.5,0.730
235.0,0.720
235.5,0.710
236.0,0.701
236.5,0.693
237.0,0.685
237.5,0.677
238.0,0.669
238.5,0.662
239.0,0.655
239.5,0.649
240.0,0.643
240.5,0.639
241.0,0.634
241.5,0.630
242.0,0.626
242.5,0.622
243.0,0.619
243.5,0.616
244.0,0.614
244.5,0.612
245.0,0.610
245.5,0.609
246.0,0.608
246.5,0.607
247.0,0.607
247.5,0.607
248.0,0.607
248.5,0.608
249.0,0.610
249.5,0.611
250.0,0.612
250.5,0.613
251.0,0.614
251.5,0.616
252.0,0.618
252.5,0.619
253.0,0.621
253.5,0.624
254.0,0.627
254.5,0.630
255.0,0.633
255.5,0.637
256.0,0.640
256.5,0.644
257.0,0.648
257.5,0.652
258.0,0.656
258.5,0.660
259.0,0.664
259.5,0.668
260.0,0.671
260.5,0.676
261.0,0.681
261.5,0.687
262.0,0.693
262.5,0.699
263.0,0.704
263.5,0.710
264.0,0.715
264.5,0.720
265.0,0.724
265.5,0.728
266.0,0.731
266.5,0.733
267.0,0.736
267.5,0.739
268.0,0.742
268.5,0.745
269.0,0.748
269.5,0.751
270.0,0.754
270.5,0.757
271.0,0.760
271.5,0.763
272.0,0.764
272.5,0.765
273.0,0.765
273.5,0.765
274.0,0.764
274.5,0.762
275.0,0.760
275.5,0.758
276.0,0.756
276.5,0.755
277.0,0.753
277.5,0.749
278.0,0.746
278.5,0.742
279.0,0.737
279.5,0.733
280.0,0.729
280.5,0.723
281.0,0.717
281.5,0.710
282.0,0.703
282.5,0.696
283.0,0.689
283.5,0.682
284.0,0.674
284.5,0.666
285.0,0.657
285.5,0.649
286.0,0.641
286.5,0.632
287.0,0.623
287.5,0.613
288.0,0.604
288.5,0.595
289.0,0.586
289.5,0.577
290.0,0.569
290.5,0.561
291.0,0.553
291.5,0.546
292.0,0.538
292.5,0.531
293.0,0.524
293.5,0.518
294.0,0.512
294.5,0.507
295.0,0.502
295.5,0.497
296.0,0.492
296.5,0.487
297.0,0.483
297.5,0.479
298.0,0.476
298.5,0.473
299.0,0.470
299.5,0.468
300.0,0.466
300.5,0.463
301.0,0.460
301.5,0.457
302.0,0.455
302.5,0.453
303.0,0.452
303.5,0.452
304.0,0.451
304.5,0.449
305.0,0.447
305.5,0.446
306.0,0.444
306.5,0.443
307.0,0.442
307.5,0.441
308.0,0.440
308.5,0.439
309.0,0.438
309.5,0.438
310.0,0.438
310.5,0.439
311.0,0.439
311.5,0.439
312.0,0.438
312.5,0.437
313.0,0.436
313.5,0.436
314.0,0.435
314.5,0.435
315.0,0.435
315.5,0.435
316.0,0.435
316.5,0.434
317.0,0.434
317.5,0.433
318.0,0.432
318.5,0.432
319.0,0.431
319.5,0.431
320.0,0.432
320.5,0.432
321.0,0.431
321.5,0.430
322.0,0.429
322.5,0.428
323.0,0.426
323.5,0.424
324.0,0.422
324.5,0.420
325.0,0.418
325.5,0.415
326.0,0.413
326.5,0.411
327.0,0.410
327.5,0.409
328.0,0.407
328.5,0.404
329.0,0.401
329.5,0.399
330.0,0.396
330.5,0.393
331.0,0.389
331.5,0.383
332.0,0.379
332.5,0.375
333.0,0.372
333.5,0.369
334.0,0.366
334.5,0.362
335.0,0.359
335.5,0.355
336.0,0.351
336.5,0.346
337.0,0.341
337.5,0.336
338.0,0.332
338.5,0.328
339.0,0.324
339.5,0.321
340.0,0.317
340.5,0.313
341.0,0.307
341.5,0.301
342.0,0.295
342.5,0.289
343.0,0.286
343.5,0.283
344.0,0.279
344.5,0.272
345.0,0.261
345.5,0.250
346.0,0.246
346.5,0.249
347.0,0.255
347.5,0.256
348.0,0.251
348.5,0.241
349.0,0.230
349.5,0.221
350.0,0.216
350.5,0.217
351.0,0.218
351.5,0.217
352.0,0.211
352.5,0.203
353.0,0.195
353.5,0.190
354.0,0.187
354.5,0.186
355.0,0.186
355.5,0.185
356.0,0.182
356.5,0.179
357.0,0.174
357.5,0.169
358.0,0.163
358.5,0.159
359.0,0.159
359.5,0.161
360.0,0.161
360.5,0.157
361.0,0.151
361.5,0.148
362.0,0.147
362.5,0.147
363.0,0.146
363.5,0.144
364.0,0.141
364.5,0.137
365.0,0.133
365.5,0.131
366.0,0.129
