Batch,scan001
Instrument ID,084303
Data Mode,A
Sample,Sample001
Cycle,Cycle01
Date Collected,18/02/2025
Time Collected,10:27:15
Entries,Data Points
nm,A
200.0,XXX.XXX
200.5,XXX.XXX
201.0,XXX.XXX
201.5,XXX.XXX
202.0,XXX.XXX
202.5,XXX.XXX
203.0,XXX.XXX
203.5,XXX.XXX
204.0,XXX.XXX
204.5,XXX.XXX
205.0,XXX.XXX
205.5,XXX.XXX
206.0,XXX.XXX
206.5,XXX.XXX
207.0,XXX.XXX
207.5,XXX.XXX
208.0,XXX.XXX
208.5,XXX.XXX
209.0,XXX.XXX
209.5,XXX.XXX
210.0,XXX.XXX
210.5,XXX.XXX
211.0,XXX.XXX
211.5,XXX.XXX
212.0,XXX.XXX
212.5,XXX.XXX
213.0,XXX.XXX
213.5,XXX.XXX
214.0,XXX.XXX
214.5,XXX.XXX
215.0,XXX.XXX
215.5,XXX.XXX
216.0,1.383
216.5,1.339
217.0,1.300
217.5,1.265
218.0,1.232
218.5,1.201
219.0,1.169
219.5,1.138
220.0,1.108
220.5,1.078
221.0,1.050
221.5,1.023
222.0,0.999
222.5,0.975
223.0,0.952
223.5,0.930
224.0,0.909
224.5,0.889
225.0,0.871
225.5,0.854
226.0,0.838
226.5,0.825
227.0,0.813
227.5,0.802
228.0,0.791
228.5,0.781
229.0,0.772
229.5,0.763
230.0,0.755
230.5,0.747
231.0,0.739
231.5,0.731
232.0,0.723
232.5,0.716
233.0,0.708
233.5,0.700
234.0,0.693
234.5,0.686
235.0,0.678
235.5,0.671
236.0,0.664
236.5,0.657
237.0,0.650
237.5,0.644
238.0,0.638
238.5,0.633
239.0,0.628
239.5,0.623
240.0,0.619
240.5,0.615
241.0,0.611
241.5,0.607
242.0,0.603
242.5,0.600
243.0,0.596
243.5,0.593
244.0,0.590
244.5,0.587
245.0,0.584
245.5,0.581
246.0,0.579
246.5,0.577
247.0,0.575
247.5,0.572
248.0,0.570
248.5,0.568
249.0,0.566
249.5,0.564
250.0,0.562
250.5,0.560
251.0,0.558
251.5,0.557
252.0,0.556
252.5,0.554
253.0,0.553
253.5,0.552
254.0,0.552
254.5,0.551
255.0,0.551
255.5,0.552
256.0,0.553
256.5,0.555
257.0,0.556
257.5,0.558
258.0,0.559
258.5,0.562
259.0,0.565
259.5,0.568
260.0,0.571
260.5,0.575
261.0,0.579
261.5,0.584
262.0,0.589
262.5,0.594
263.0,0.600
263.5,0.605
264.0,0.609
264.5,0.614
265.0,0.618
265.5,0.623
266.0,0.627
266.5,0.631
267.0,0.635
267.5,0.640
268.0,0.645
268.5,0.651
269.0,0.657
269.5,0.663
270.0,0.668
270.5,0.672
271.0,0.676
271.5,0.680
272.0,0.683
272.5,0.685
273.0,0.687
273.5,0.688
274.0,0.689
274.5,0.690
275.0,0.691
275.5,0.691
276.0,0.692
276.5,0.693
277.0,0.694
277.5,0.694
278.0,0.693
278.5,0.693
279.0,0.693
279.5,0.693
280.0,0.693
280.5,0.692
281.0,0.691
281.5,0.689
282.0,0.688
282.5,0.687
283.0,0.685
283.5,0.683
284.0,0.680
284.5,0.677
285.0,0.674
285.5,0.671
286.0,0.667
286.5,0.664
287.0,0.660
287.5,0.657
288.0,0.653
288.5,0.649
289.0,0.645
289.5,0.641
290.0,0.636
290.5,0.633
291.0,0.629
291.5,0.625
292.0,0.621
292.5,0.617
293.0,0.614
293.5,0.612
294.0,0.610
294.5,0.608
295.0,0.605
295.5,0.603
296.0,0.600
296.5,0.597
297.0,0.595
297.5,0.593
298.0,0.591
298.5,0.589
299.0,0.587
299.5,0.585
300.0,0.584
300.5,0.582
301.0,0.581
301.5,0.580
302.0,0.579
302.5,0.577
303.0,0.575
303.5,0.574
304.0,0.574
304.5,0.574
305.0,0.574
305.5,0.573
306.0,0.572
306.5,0.572
307.0,0.572
307.5,0.572
308.0,0.573
308.5,0.573
309.0,0.573
309.5,0.573
310.0,0.573
310.5,0.574
311.0,0.575
311.5,0.576
312.0,0.578
312.5,0.579
313.0,0.580
313.5,0.582
314.0,0.583
314.5,0.585
315.0,0.586
315.5,0.587
316.0,0.587
316.5,0.588
317.0,0.589
317.5,0.589
318.0,0.590
318.5,0.591
319.0,0.593
319.5,0.594
320.0,0.594
320.5,0.593
321.0,0.592
321.5,0.592
322.0,0.592
322.5,0.592
323.0,0.591
323.5,0.591
324.0,0.590
324.5,0.588
325.0,0.586
325.5,0.584
326.0,0.582
326.5,0.580
327.0,0.577
327.5,0.574
328.0,0.571
328.5,0.568
329.0,0.565
329.5,0.561
330.0,0.557
330.5,0.553
331.0,0.549
331.5,0.544
332.0,0.540
332.5,0.536
333.0,0.531
333.5,0.525
334.0,0.517
334.5,0.510
335.0,0.504
335.5,0.499
336.0,0.495
336.5,0.491
337.0,0.487
337.5,0.481
338.0,0.474
338.5,0.465
339.0,0.454
339.5,0.444
340.0,0.434
340.5,0.427
341.0,0.424
341.5,0.424
342.0,0.421
342.5,0.412
343.0,0.398
343.5,0.383
344.0,0.372
344.5,0.367
345.0,0.367
345.5,0.365
346.0,0.360
346.5,0.350
347.0,0.340
347.5,0.332
348.0,0.325
348.5,0.318
349.0,0.311
349.5,0.306
350.0,0.301
350.5,0.296
351.0,0.290
351.5,0.282
352.0,0.273
352.5,0.266
353.0,0.259
353.5,0.253
354.0,0.248
354.5,0.244
355.0,0.240
355.5,0.235
356.0,0.230
356.5,0.226
357.0,0.223
357.5,0.219
358.0,0.213
358.5,0.205
359.0,0.197
359.5,0.191
360.0,0.189
360.5,0.190
361.0,0.192
361.5,0.192
362.0,0.190
362.5,0.185
363.0,0.179
363.5,0.172
364.0,0.165
364.5,0.161
365.0,0.160
365.5,0.162
366.0,0.162
366.5,0.162
367.0,0.164
367.5,0.166
