Batch,scan003
Instrument ID,084303
Data Mode,A
Sample,Sample001
Cycle,Cycle01
Date Collected,16/01/2025
Time Collected,03:14:33
Entries,Data Points
nm,A
200.0,XXX.XXX
200.5,XXX.XXX
201.0,XXX.XXX
201.5,XXX.XXX
202.0,XXX.XXX
202.5,XXX.XXX
203.0,XXX.XXX
203.5,XXX.XXX
204.0,XXX.XXX
204.5,XXX.XXX
205.0,XXX.XXX
205.5,XXX.XXX
206.0,XXX.XXX
206.5,XXX.XXX
207.0,XXX.XXX
207.5,XXX.XXX
208.0,XXX.XXX
208.5,XXX.XXX
209.0,XXX.XXX
209.5,XXX.XXX
210.0,XXX.XXX
210.5,XXX.XXX
211.0,XXX.XXX
211.5,XXX.XXX
212.0,XXX.XXX
212.5,XXX.XXX
213.0,XXX.XXX
213.5,XXX.XXX
214.0,XXX.XXX
214.5,XXX.XXX
215.0,XXX.XXX
215.5,XXX.XXX
216.0,XXX.XXX
216.5,XXX.XXX
217.0,XXX.XXX
217.5,XXX.XXX
218.0,XXX.XXX
218.5,XXX.XXX
219.0,1.912
219.5,1.854
220.0,1.800
220.5,1.748
221.0,1.698
221.5,1.650
222.0,1.604
222.5,1.560
223.0,1.520
223.5,1.483
224.0,1.449
224.5,1.416
225.0,1.385
225.5,1.357
226.0,1.332
226.5,1.310
227.0,1.290
227.5,1.271
228.0,1.254
228.5,1.237
229.0,1.221
229.5,1.205
230.0,1.191
230.5,1.177
231.0,1.164
231.5,1.151
232.0,1.138
232.5,1.125
233.0,1.112
233.5,1.098
234.0,1.085
234.5,1.072
235.0,1.059
235.5,1.047
236.0,1.035
236.5,1.024
237.0,1.013
237.5,1.002
238.0,0.992
238.5,0.982
239.0,0.973
239.5,0.965
240.0,0.956
240.5,0.948
241.0,0.941
241.5,0.933
242.0,0.926
242.5,0.920
243.0,0.913
243.5,0.907
244.0,0.901
244.5,0.895
245.0,0.890
245.5,0.885
246.0,0.880
246.5,0.876
247.0,0.871
247.5,0.866
248.0,0.862
248.5,0.858
249.0,0.855
249.5,0.851
250.0,0.848
250.5,0.844
251.0,0.841
251.5,0.838
252.0,0.835
252.5,0.832
253.0,0.830
253.5,0.828
254.0,0.826
254.5,0.825
255.0,0.825
255.5,0.826
256.0,0.827
256.5,0.828
257.0,0.829
257.5,0.832
258.0,0.834
258.5,0.838
259.0,0.842
259.5,0.847
260.0,0.852
260.5,0.858
261.0,0.864
261.5,0.871
262.0,0.878
262.5,0.886
263.0,0.895
263.5,0.904
264.0,0.913
264.5,0.921
265.0,0.929
265.5,0.936
266.0,0.943
266.5,0.951
267.0,0.958
267.5,0.966
268.0,0.975
268.5,0.983
269.0,0.992
269.5,1.000
270.0,1.009
270.5,1.018
271.0,1.026
271.5,1.033
272.0,1.038
272.5,1.043
273.0,1.047
273.5,1.051
274.0,1.054
274.5,1.057
275.0,1.060
275.5,1.061
276.0,1.063
276.5,1.065
277.0,1.066
277.5,1.067
278.0,1.067
278.5,1.067
279.0,1.068
279.5,1.068
280.0,1.066
280.5,1.064
281.0,1.062
281.5,1.059
282.0,1.056
282.5,1.054
283.0,1.050
283.5,1.045
284.0,1.040
284.5,1.034
285.0,1.028
285.5,1.021
286.0,1.015
286.5,1.008
287.0,1.001
287.5,0.994
288.0,0.986
288.5,0.979
289.0,0.971
289.5,0.964
290.0,0.957
290.5,0.950
291.0,0.943
291.5,0.936
292.0,0.929
292.5,0.923
293.0,0.917
293.5,0.912
294.0,0.908
294.5,0.903
295.0,0.897
295.5,0.892
296.0,0.888
296.5,0.884
297.0,0.880
297.5,0.877
298.0,0.874
298.5,0.871
299.0,0.868
299.5,0.865
300.0,0.862
300.5,0.861
301.0,0.860
301.5,0.859
302.0,0.857
302.5,0.856
303.0,0.854
303.5,0.854
304.0,0.853
304.5,0.854
305.0,0.854
305.5,0.855
306.0,0.855
306.5,0.854
307.0,0.854
307.5,0.854
308.0,0.854
308.5,0.856
309.0,0.857
309.5,0.859
310.0,0.860
310.5,0.861
311.0,0.863
311.5,0.865
312.0,0.867
312.5,0.869
313.0,0.873
313.5,0.876
314.0,0.878
314.5,0.881
315.0,0.883
315.5,0.885
316.0,0.887
316.5,0.888
317.0,0.889
317.5,0.891
318.0,0.892
318.5,0.893
319.0,0.894
319.5,0.894
320.0,0.895
320.5,0.894
321.0,0.894
321.5,0.894
322.0,0.894
322.5,0.894
323.0,0.892
323.5,0.890
324.0,0.887
324.5,0.884
325.0,0.881
325.5,0.878
326.0,0.874
326.5,0.871
327.0,0.867
327.5,0.864
328.0,0.860
328.5,0.856
329.0,0.852
329.5,0.846
330.0,0.838
330.5,0.830
331.0,0.821
331.5,0.813
332.0,0.805
332.5,0.798
333.0,0.791
333.5,0.783
334.0,0.774
334.5,0.764
335.0,0.753
335.5,0.742
336.0,0.732
336.5,0.723
337.0,0.713
337.5,0.704
338.0,0.694
338.5,0.684
339.0,0.673
339.5,0.662
340.0,0.650
340.5,0.638
341.0,0.626
341.5,0.612
342.0,0.597
342.5,0.583
343.0,0.570
343.5,0.556
344.0,0.541
344.5,0.527
345.0,0.516
345.5,0.509
346.0,0.502
346.5,0.493
347.0,0.482
347.5,0.473
348.0,0.464
348.5,0.455
349.0,0.443
349.5,0.429
350.0,0.418
350.5,0.408
351.0,0.399
351.5,0.389
352.0,0.380
352.5,0.371
353.0,0.360
353.5,0.346
354.0,0.332
354.5,0.321
355.0,0.315
355.5,0.310
356.0,0.305
356.5,0.300
357.0,0.297
357.5,0.293
358.0,0.285
358.5,0.272
359.0,0.258
359.5,0.247
360.0,0.242
360.5,0.238
361.0,0.234
361.5,0.228
362.0,0.220
362.5,0.212
363.0,0.206
363.5,0.203
364.0,0.204
364.5,0.206
365.0,0.205
365.5,0.199
366.0,0.189
