Batch,scan009
Instrument ID,084303
Data Mode,A
Sample,Sample001
Cycle,Cycle01
Date Collected,19/06/2025
Time Collected,04:43:18
Entries,Data Points
nm,A
190.0,XXX.XXX
190.5,XXX.XXX
191.0,XXX.XXX
191.5,XXX.XXX
192.0,XXX.XXX
192.5,XXX.XXX
193.0,XXX.XXX
193.5,XXX.XXX
194.0,XXX.XXX
194.5,XXX.XXX
195.0,XXX.XXX
195.5,XXX.XXX
196.0,XXX.XXX
196.5,XXX.XXX
197.0,XXX.XXX
197.5,XXX.XXX
198.0,XXX.XXX
198.5,XXX.XXX
199.0,XXX.XXX
199.5,XXX.XXX
200.0,XXX.XXX
200.5,XXX.XXX
201.0,XXX.XXX
201.5,XXX.XXX
202.0,XXX.XXX
202.5,XXX.XXX
203.0,XXX.XXX
203.5,XXX.XXX
204.0,XXX.XXX
204.5,XXX.XXX
205.0,XXX.XXX
205.5,XXX.XXX
206.0,XXX.XXX
206.5,XXX.XXX
207.0,XXX.XXX
207.5,XXX.XXX
208.0,XXX.XXX
208.5,XXX.XXX
209.0,XXX.XXX
209.5,XXX.XXX
210.0,XXX.XXX
210.5,XXX.XXX
211.0,XXX.XXX
211.5,XXX.XXX
212.0,XXX.XXX
212.5,XXX.XXX
213.0,XXX.XXX
213.5,XXX.XXX
214.0,XXX.XXX
214.5,XXX.XXX
215.0,XXX.XXX
215.5,XXX.XXX
216.0,XXX.XXX
216.5,XXX.XXX
217.0,XXX.XXX
217.5,XXX.XXX
218.0,XXX.XXX
218.5,XXX.XXX
219.0,XXX.XXX
219.5,XXX.XXX
220.0,XXX.XXX
220.5,XXX.XXX
221.0,XXX.XXX
221.5,XXX.XXX
222.0,XXX.XXX
222.5,XXX.XXX
223.0,XXX.XXX
223.5,XXX.XXX
224.0,XXX.XXX
224.5,1.310
225.0,1.269
225.5,1.231
226.0,1.197
226.5,1.169
227.0,1.144
227.5,1.123
228.0,1.105
228.5,1.088
229.0,1.072
229.5,1.056
230.0,1.041
230.5,1.026
231.0,1.013
231.5,0.999
232.0,0.985
232.5,0.972
233.0,0.960
233.5,0.948
234.0,0.936
234.5,0.925
235.0,0.913
235.5,0.903
236.0,0.892
236.5,0.882
237.0,0.873
237.5,0.863
238.0,0.855
238.5,0.848
239.0,0.841
239.5,0.834
240.0,0.828
240.5,0.822
241.0,0.816
241.5,0.811
242.0,0.805
242.5,0.800
243.0,0.795
243.5,0.790
244.0,0.786
244.5,0.782
245.0,0.778
245.5,0.775
246.0,0.772
246.5,0.769
247.0,0.766
247.5,0.763
248.0,0.760
248.5,0.758
249.0,0.756
249.5,0.754
250.0,0.753
250.5,0.751
251.0,0.749
251.5,0.747
252.0,0.746
252.5,0.744
253.0,0.743
253.5,0.741
254.0,0.741
254.5,0.740
255.0,0.741
255.5,0.742
256.0,0.744
256.5,0.745
257.0,0.747
257.5,0.749
258.0,0.751
258.5,0.754
259.0,0.757
259.5,0.760
260.0,0.764
260.5,0.769
261.0,0.775
261.5,0.781
262.0,0.787
262.5,0.793
263.0,0.800
263.5,0.806
264.0,0.812
264.5,0.818
265.0,0.823
265.5,0.828
266.0,0.834
266.5,0.839
267.0,0.846
267.5,0.852
268.0,0.857
268.5,0.862
269.0,0.867
269.5,0.872
270.0,0.879
270.5,0.885
271.0,0.891
271.5,0.896
272.0,0.900
272.5,0.903
273.0,0.905
273.5,0.906
274.0,0.907
274.5,0.907
275.0,0.907
275.5,0.907
276.0,0.906
276.5,0.905
277.0,0.905
277.5,0.905
278.0,0.905
278.5,0.905
279.0,0.905
279.5,0.903
280.0,0.901
280.5,0.899
281.0,0.897
281.5,0.894
282.0,0.890
282.5,0.885
283.0,0.881
283.5,0.876
284.0,0.871
284.5,0.866
285.0,0.862
285.5,0.856
286.0,0.851
286.5,0.844
287.0,0.838
287.5,0.833
288.0,0.827
288.5,0.822
289.0,0.816
289.5,0.809
290.0,0.803
290.5,0.797
291.0,0.791
291.5,0.786
292.0,0.780
292.5,0.775
293.0,0.770
293.5,0.764
294.0,0.759
294.5,0.755
295.0,0.751
295.5,0.748
296.0,0.744
296.5,0.741
297.0,0.737
297.5,0.734
298.0,0.731
298.5,0.728
299.0,0.725
299.5,0.722
300.0,0.720
300.5,0.718
301.0,0.716
301.5,0.714
302.0,0.713
302.5,0.711
303.0,0.710
303.5,0.709
304.0,0.708
304.5,0.707
305.0,0.706
305.5,0.705
306.0,0.704
306.5,0.704
307.0,0.703
307.5,0.703
308.0,0.703
308.5,0.703
309.0,0.704
309.5,0.704
310.0,0.703
310.5,0.703
311.0,0.702
311.5,0.702
312.0,0.703
312.5,0.704
313.0,0.706
313.5,0.708
314.0,0.710
314.5,0.712
315.0,0.714
315.5,0.715
316.0,0.716
316.5,0.716
317.0,0.717
317.5,0.717
318.0,0.717
318.5,0.717
319.0,0.718
319.5,0.719
320.0,0.720
320.5,0.721
321.0,0.720
321.5,0.718
322.0,0.716
322.5,0.714
323.0,0.714
323.5,0.713
324.0,0.712
324.5,0.710
325.0,0.708
325.5,0.706
326.0,0.703
326.5,0.699
327.0,0.696
327.5,0.693
328.0,0.691
328.5,0.687
329.0,0.682
329.5,0.677
330.0,0.672
330.5,0.667
331.0,0.661
331.5,0.656
332.0,0.650
332.5,0.644
333.0,0.638
333.5,0.632
334.0,0.626
334.5,0.619
335.0,0.612
335.5,0.605
336.0,0.597
336.5,0.590
337.0,0.582
337.5,0.574
338.0,0.566
338.5,0.557
339.0,0.548
339.5,0.539
340.0,0.532
340.5,0.527
341.0,0.523
341.5,0.519
342.0,0.514
342.5,0.507
343.0,0.497
343.5,0.483
344.0,0.467
344.5,0.450
345.0,0.437
345.5,0.430
346.0,0.427
346.5,0.423
347.0,0.415
347.5,0.403
348.0,0.391
348.5,0.382
