Batch	scan004
Instrument ID	084303
Data Mode	%T
Sample	Sample001
Cycle	Cycle01
Date Collected	04/02/2025
Time Collected	11:52:21
Entries	Data Points
nm	%T
390.0	XXX.XXX
391.0	XXX.XXX
392.0	XXX.XXX
393.0	XXX.XXX
394.0	50.758
395.0	50.904
396.0	51.008
397.0	51.622
398.0	51.614
399.0	52.313
400.0	53.612
401.0	53.134
402.0	52.830
403.0	54.546
404.0	55.354
405.0	54.268
406.0	53.519
407.0	54.374
408.0	56.679
409.0	59.242
410.0	60.617
411.0	59.994
412.0	58.877
413.0	59.469
414.0	60.247
415.0	60.638
416.0	61.758
417.0	62.210
418.0	62.271
419.0	62.528
420.0	62.143
421.0	62.289
422.0	63.226
423.0	63.812
424.0	64.603
425.0	65.691
426.0	66.161
427.0	66.295
428.0	66.060
429.0	65.339
430.0	64.947
431.0	65.677
432.0	67.379
433.0	68.162
434.0	67.693
435.0	67.269
436.0	67.971
437.0	69.950
438.0	70.756
439.0	70.658
440.0	71.837
441.0	72.562
442.0	72.145
443.0	71.834
444.0	71.636
445.0	72.538
446.0	73.945
447.0	73.257
448.0	72.124
449.0	73.736
450.0	76.044
451.0	75.765
452.0	74.125
453.0	73.264
454.0	73.514
455.0	74.504
456.0	75.400
457.0	76.032
458.0	76.419
459.0	76.532
460.0	77.005
461.0	77.539
462.0	77.280
463.0	77.050
464.0	77.283
465.0	77.237
466.0	77.547
467.0	78.822
468.0	79.782
469.0	79.238
470.0	78.153
471.0	78.249
472.0	79.709
473.0	81.125
474.0	81.289
475.0	80.654
476.0	80.126
477.0	79.734
478.0	79.590
479.0	80.163
480.0	81.213
481.0	81.914
482.0	82.131
483.0	82.444
484.0	82.470
485.0	82.101
486.0	82.673
487.0	83.499
488.0	82.979
489.0	82.471
490.0	83.325
491.0	84.186
492.0	84.000
493.0	83.791
494.0	84.289
495.0	84.686
496.0	84.588
497.0	84.567
498.0	84.807
499.0	85.152
500.0	85.310
501.0	85.250
502.0	85.295
503.0	85.106
504.0	85.127
505.0	85.809
506.0	86.157
507.0	86.197
508.0	86.136
509.0	86.106
510.0	86.843
511.0	87.225
512.0	86.579
513.0	86.362
514.0	86.790
515.0	87.399
516.0	87.872
517.0	87.563
518.0	87.268
519.0	87.506
520.0	87.552
521.0	87.735
522.0	88.232
523.0	88.782
524.0	89.192
525.0	88.899
526.0	88.634
527.0	88.842
528.0	88.763
529.0	88.751
530.0	89.017
531.0	89.198
532.0	89.429
533.0	89.732
534.0	89.846
535.0	89.593
536.0	89.331
