Batch	scan004
Instrument ID	084303
Data Mode	%T
Sample	Sample001
Cycle	Cycle01
Date Collected	17/01/2025
Time Collected	01:51:48
Entries	Data Points
nm	%T
390.0	XXX.XXX
391.0	XXX.XXX
392.0	XXX.XXX
393.0	XXX.XXX
394.0	73.456
395.0	75.632
396.0	78.385
397.0	78.387
398.0	76.559
399.0	75.027
400.0	73.966
401.0	74.849
402.0	77.606
403.0	78.215
404.0	74.679
405.0	71.931
406.0	73.587
407.0	74.989
408.0	73.722
409.0	72.975
410.0	73.059
411.0	73.492
412.0	73.356
413.0	71.006
414.0	69.718
415.0	71.668
416.0	73.808
417.0	74.441
418.0	73.729
419.0	72.621
420.0	73.255
421.0	73.820
422.0	72.340
423.0	72.004
424.0	72.736
425.0	72.978
426.0	74.092
427.0	75.226
428.0	75.091
429.0	73.993
430.0	73.349
431.0	73.777
432.0	74.271
433.0	75.380
434.0	76.742
435.0	76.299
436.0	74.512
437.0	73.327
438.0	73.038
439.0	73.415
440.0	74.367
441.0	74.941
442.0	74.897
443.0	74.380
444.0	73.599
445.0	74.017
446.0	75.742
447.0	77.325
448.0	77.887
449.0	77.295
450.0	77.132
451.0	78.041
452.0	77.952
453.0	77.011
454.0	76.971
455.0	77.408
456.0	77.702
457.0	77.554
458.0	77.040
459.0	77.143
460.0	77.606
461.0	77.519
462.0	77.342
463.0	78.007
464.0	79.200
465.0	79.448
466.0	78.583
467.0	78.288
468.0	79.378
469.0	80.601
470.0	80.408
471.0	79.786
472.0	80.491
473.0	81.213
474.0	80.686
475.0	80.100
476.0	80.310
477.0	81.177
478.0	81.892
479.0	81.453
480.0	80.509
481.0	80.780
482.0	81.652
483.0	81.396
484.0	81.350
485.0	82.499
486.0	82.767
487.0	81.992
488.0	82.206
489.0	83.345
490.0	83.936
491.0	83.450
492.0	82.566
493.0	82.297
494.0	82.847
495.0	83.948
496.0	84.584
497.0	83.882
498.0	83.255
499.0	83.929
500.0	84.994
501.0	85.134
502.0	84.496
503.0	84.655
504.0	85.535
505.0	85.713
506.0	85.135
507.0	84.798
508.0	85.293
509.0	85.681
510.0	85.296
511.0	85.183
512.0	85.587
513.0	85.718
514.0	85.824
515.0	86.265
516.0	86.254
517.0	85.773
518.0	85.923
519.0	86.413
520.0	86.149
521.0	85.404
522.0	85.347
523.0	86.049
524.0	86.431
525.0	86.417
526.0	86.620
527.0	86.934
528.0	87.026
529.0	86.953
530.0	87.124
531.0	87.281
532.0	86.946
533.0	86.871
534.0	87.422
535.0	87.831
536.0	87.706
