Batch,scan004
Instrument ID,084303
Data Mode,%T
Sample,Sample001
Cycle,Cycle01
Date Collected,19/06/2025
Time Collected,03:53:57
Entries,Data Points
nm,%T
390.0,XXX.XXX
391.0,XXX.XXX
392.0,XXX.XXX
393.0,XXX.XXX
394.0,52.130
395.0,54.112
396.0,55.422
397.0,54.586
398.0,55.256
399.0,56.454
400.0,55.712
401.0,54.608
402.0,55.472
403.0,58.586
404.0,60.554
405.0,59.900
406.0,59.099
407.0,59.270
408.0,60.530
409.0,63.008
410.0,64.504
411.0,63.814
412.0,63.038
413.0,62.842
414.0,63.501
415.0,64.745
416.0,64.687
417.0,64.793
418.0,66.841
419.0,68.250
420.0,65.788
421.0,62.447
422.0,63.676
423.0,66.199
424.0,65.651
425.0,64.804
426.0,65.912
427.0,68.216
428.0,69.669
429.0,69.749
430.0,70.122
431.0,70.694
432.0,70.810
433.0,71.246
434.0,71.729
435.0,70.610
436.0,69.680
437.0,71.140
438.0,72.084
439.0,71.352
440.0,71.463
441.0,72.182
442.0,71.866
443.0,71.921
444.0,73.251
445.0,73.742
446.0,73.142
447.0,73.029
448.0,74.092
449.0,75.442
450.0,74.981
451.0,73.861
452.0,74.128
453.0,74.295
454.0,74.144
455.0,74.900
456.0,75.438
457.0,74.649
458.0,74.025
459.0,74.826
460.0,75.775
461.0,76.246
462.0,77.061
463.0,77.687
464.0,77.428
465.0,77.567
466.0,78.821
467.0,79.445
468.0,78.585
469.0,78.180
470.0,79.207
471.0,79.795
472.0,78.947
473.0,78.100
474.0,78.259
475.0,78.810
476.0,79.475
477.0,80.159
478.0,79.894
479.0,79.289
480.0,79.771
481.0,80.525
482.0,80.780
483.0,81.184
484.0,81.649
485.0,81.800
486.0,81.644
487.0,81.227
488.0,81.173
489.0,81.501
490.0,81.606
491.0,81.725
492.0,82.290
493.0,82.796
494.0,82.516
495.0,82.221
496.0,82.456
497.0,82.671
498.0,83.216
499.0,83.797
500.0,83.510
501.0,83.187
502.0,83.862
503.0,84.568
504.0,84.032
505.0,83.323
506.0,83.737
507.0,84.338
508.0,84.184
509.0,83.868
510.0,84.080
511.0,84.766
512.0,85.448
513.0,85.758
514.0,85.880
515.0,85.748
516.0,85.241
517.0,85.301
518.0,86.016
519.0,86.271
520.0,85.974
521.0,85.506
522.0,85.209
523.0,85.420
524.0,85.876
525.0,86.329
526.0,86.706
527.0,86.772
528.0,86.604
529.0,86.665
530.0,86.706
531.0,86.400
532.0,86.641
533.0,87.414
534.0,87.593
535.0,87.198
536.0,86.828
