Batch,scan002
Instrument ID,084303
Data Mode,%T
Sample,Sample001
Cycle,Cycle01
Date Collected,09/05/2025
Time Collected,02:48:16
Entries,Data Points
nm,%T
390.0,XXX.XXX
391.0,XXX.XXX
392.0,XXX.XXX
393.0,XXX.XXX
394.0,31.101
395.0,32.166
396.0,32.350
397.0,34.063
398.0,36.423
399.0,36.761
400.0,36.320
401.0,37.592
402.0,38.703
403.0,38.094
404.0,38.033
405.0,39.303
406.0,39.927
407.0,39.495
408.0,39.730
409.0,40.513
410.0,40.914
411.0,41.453
412.0,42.657
413.0,44.320
414.0,45.588
415.0,45.681
416.0,44.971
417.0,44.722
418.0,45.084
419.0,45.593
420.0,46.537
421.0,47.725
422.0,48.600
423.0,49.522
424.0,50.593
425.0,50.721
426.0,50.393
427.0,50.685
428.0,50.871
429.0,51.188
430.0,52.277
431.0,52.992
432.0,52.186
433.0,51.573
434.0,53.015
435.0,54.462
436.0,54.934
437.0,55.906
438.0,56.723
439.0,56.021
440.0,54.781
441.0,54.899
442.0,55.860
443.0,56.204
444.0,56.313
445.0,57.240
446.0,58.416
447.0,58.505
448.0,57.870
449.0,57.395
450.0,58.193
451.0,60.625
452.0,61.492
453.0,59.801
454.0,59.504
455.0,61.087
456.0,61.642
457.0,61.113
458.0,60.819
459.0,61.049
460.0,61.507
461.0,61.909
462.0,62.373
463.0,62.941
464.0,63.385
465.0,63.815
466.0,64.137
467.0,64.316
468.0,64.848
469.0,65.244
470.0,65.131
471.0,65.162
472.0,65.440
473.0,65.792
474.0,66.036
475.0,65.894
476.0,65.896
477.0,66.617
478.0,67.402
479.0,67.896
480.0,68.198
481.0,68.153
482.0,68.438
483.0,68.973
484.0,68.992
485.0,68.749
486.0,68.552
487.0,69.267
488.0,70.685
489.0,70.822
490.0,70.331
491.0,70.884
492.0,71.691
493.0,71.984
494.0,71.941
495.0,71.786
496.0,71.753
497.0,72.000
498.0,72.345
499.0,72.567
500.0,73.070
501.0,73.452
502.0,73.039
503.0,72.695
504.0,73.339
505.0,74.521
506.0,74.834
507.0,74.105
508.0,73.822
509.0,74.443
510.0,75.168
511.0,75.389
512.0,75.238
513.0,75.537
514.0,76.205
515.0,76.183
516.0,75.825
517.0,75.919
518.0,76.282
519.0,76.763
520.0,76.953
521.0,77.066
522.0,77.518
523.0,77.783
524.0,77.943
525.0,77.971
526.0,77.645
527.0,77.488
528.0,77.505
529.0,77.478
530.0,77.602
531.0,77.958
532.0,78.506
533.0,79.138
534.0,79.549
535.0,79.509
536.0,79.236
