nm,TChMN50,TChMN05,TChMN20,TChMN
390.0,,,,
391.0,,,,
392.0,,,,
393.0,,,,
394.0,21.408,60.219,38.505,45.814
395.0,22.361,59.325,38.619,46.919
396.0,23.057,56.186,40.756,50.278
397.0,22.907,58.286,41.574,51.182
398.0,23.5,62.474,42.041,51.13
399.0,24.949,61.49,42.844,50.128
400.0,25.625,59.725,43.3,49.525
401.0,25.647,61.704,44.047,51.151
402.0,26.568,64.339,43.706,52.369
403.0,28.001,64.73,42.191,53.15
404.0,29.109,63.526,42.229,55.149
405.0,30.583,63.557,44.1,56.177
406.0,31.679,65.518,46.265,55.246
407.0,31.653,66.913,47.401,55.038
408.0,32.018,67.324,47.56,56.113
409.0,32.881,66.476,48.427,56.117
410.0,33.27,64.12,49.005,55.432
411.0,33.876,64.303,47.833,56.677
412.0,34.627,67.646,47.614,59.217
413.0,35.109,68.901,49.208,59.999
414.0,36.174,67.532,49.714,58.587
415.0,37.458,68.468,49.258,57.902
416.0,38.627,70.978,50.524,59.372
417.0,40.2,71.152,53.396,60.376
418.0,40.942,71.14,54.94,59.852
419.0,40.571,71.56,53.945,60.083
420.0,41.154,70.51,53.161,61.214
421.0,42.844,69.867,54.52,62.05
422.0,43.921,70.762,55.826,62.063
423.0,44.045,72.086,55.66,61.19
424.0,44.148,72.49,55.881,61.215
425.0,44.782,72.337,56.56,62.971
426.0,45.831,73.353,56.307,64.757
427.0,46.432,75.103,56.391,65.604
428.0,45.819,76.197,57.099,65.467
429.0,45.294,76.386,57.495,64.29
430.0,46.202,76.658,58.193,64.437
431.0,47.386,76.757,59.422,66.528
432.0,47.572,75.081,60.798,66.599
433.0,47.312,73.539,61.165,64.771
434.0,47.722,74.724,60.364,64.466
435.0,48.887,76.801,60.195,65.731
436.0,49.994,76.954,61.111,66.606
437.0,50.575,75.962,62.089,65.958
438.0,51.109,76.187,62.441,66.253
439.0,51.71,76.729,62.47,68.981
440.0,52.092,76.241,62.701,70.627
441.0,52.906,76.422,63.202,70.078
442.0,53.739,78.0,63.758,69.43
443.0,53.581,79.048,64.058,69.1
444.0,53.544,78.214,63.989,69.131
445.0,54.655,77.093,63.408,69.361
446.0,55.73,77.727,63.058,69.906
447.0,55.328,79.413,63.554,71.257
448.0,54.704,80.924,64.273,71.303
449.0,55.873,81.55,65.129,70.029
450.0,56.976,80.662,65.904,70.7
451.0,56.322,79.474,66.18,72.388
452.0,56.586,79.29,66.351,72.571
453.0,58.519,80.085,66.714,71.984
454.0,59.373,81.723,66.94,71.952
455.0,58.899,82.558,66.905,72.607
456.0,58.706,81.277,67.0,73.526
457.0,58.756,80.248,67.182,73.915
458.0,58.542,81.46,67.676,73.742
459.0,58.8,83.061,68.69,74.169
460.0,60.264,83.079,69.234,74.869
461.0,61.443,82.115,69.126,75.066
462.0,61.061,81.903,69.333,75.303
463.0,60.611,82.943,69.935,75.672
464.0,60.799,83.534,70.325,75.87
465.0,60.841,82.838,70.293,75.61
466.0,61.272,82.404,70.05,75.425
467.0,62.515,83.304,70.274,75.82
468.0,63.094,84.578,71.106,75.797
469.0,62.555,84.513,71.535,75.536
470.0,62.703,83.685,71.41,75.923
471.0,63.881,83.598,71.329,77.01
472.0,64.769,84.214,71.491,78.076
473.0,64.767,85.473,72.098,77.901
474.0,64.41,85.979,72.627,77.883
475.0,64.782,84.861,72.734,78.782
476.0,65.377,84.484,73.179,78.69
477.0,65.002,85.513,73.88,78.228
478.0,64.727,86.157,74.377,78.519
479.0,65.785,85.887,74.865,78.834
480.0,67.067,85.153,75.124,79.003
481.0,67.511,84.833,75.169,78.987
482.0,67.463,85.801,75.297,79.041
483.0,67.295,86.951,75.357,79.83
484.0,67.357,86.309,75.457,80.522
485.0,67.778,85.171,75.816,80.566
486.0,68.131,86.102,76.142,80.515
487.0,68.233,87.723,75.989,80.271
488.0,68.271,87.783,75.791,80.367
489.0,68.537,87.22,76.242,80.902
490.0,68.995,87.283,77.004,80.784
491.0,69.407,87.306,77.493,80.543
492.0,70.03,86.824,77.434,81.189
493.0,70.574,87.056,76.881,82.03
494.0,70.472,87.83,76.437,82.532
495.0,70.257,87.735,76.975,82.906
496.0,70.366,87.55,78.719,82.617
497.0,70.504,87.702,79.956,82.031
498.0,70.643,87.739,79.607,82.103
499.0,71.026,87.756,79.383,82.132
500.0,71.147,87.655,79.588,82.085
501.0,70.863,88.296,78.908,82.873
502.0,71.219,89.152,78.423,83.928
503.0,72.196,88.317,79.151,84.323
504.0,72.95,87.141,79.712,84.064
505.0,73.258,87.878,79.714,83.652
506.0,73.118,89.439,80.205,83.682
507.0,73.181,89.938,80.956,84.152
508.0,73.923,89.653,81.043,84.279
509.0,74.359,89.168,80.578,84.098
510.0,74.288,88.735,80.418,84.788
511.0,74.511,88.828,80.818,85.611
512.0,74.673,89.121,81.248,84.886
513.0,74.527,89.452,81.333,84.128
514.0,74.544,89.815,81.052,84.861
515.0,74.609,89.746,80.913,85.518
516.0,74.935,89.62,81.436,85.345
517.0,75.81,89.861,82.3,85.349
518.0,76.302,90.141,83.058,85.594
519.0,76.284,90.492,83.2,85.663
520.0,76.371,90.854,82.695,85.802
521.0,76.195,90.712,82.54,86.059
522.0,75.953,90.278,83.009,86.304
523.0,76.381,90.225,83.411,86.606
524.0,77.103,90.69,83.519,86.773
525.0,77.352,91.286,83.617,86.736
526.0,77.095,91.467,83.785,86.991
527.0,76.872,91.115,83.874,87.408
528.0,77.122,90.765,83.971,87.013
529.0,77.69,91.02,84.227,86.34
530.0,78.204,91.38,84.303,86.619
531.0,78.525,91.112,84.233,87.106
532.0,78.745,90.977,84.545,87.203
533.0,78.977,91.425,84.749,87.403
534.0,79.192,91.74,84.516,87.576
535.0,79.257,91.609,84.535,87.729
536.0,79.227,91.392,84.848,88.099
